YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
2024,17,49771,J.T. Poston,282.0,193736.6,687
2024,22,35310,Lanto Griffin,281.9,127143.4,451
2024,-108,48119,Ben Taylor,281.9,114179.9,405
2024,11,51890,Greyson Sigg,281.6,160239.8,569
2024,16,51349,Nico Echavarria,281.5,161273.7,573
2024,12,40162,Justin Lower,281.4,180685.9,642
2024,8,47679,Victor Perez,281.1,111599.6,397
2024,-91,37275,Sam Ryder,281.1,149556.5,532
2024,16,52513,Carson Young,281.1,174539.0,621
2024,-52,57900,Chandler Phillips,280.8,183942.3,655
2024,17,52375,Doug Ghim,280.6,182137.1,649
2024,13,32640,Troy Merritt,280.4,149458.3,533
2024,6,55182,Tom Kim,280.3,171534.4,612
2024,12,40115,Adam Svensson,280.3,226213.3,807
2024,6,35532,Tom Hoge,280.1,205626.0,734
2024,-89,32791,K.H. Lee,280.0,145031.0,518
2024,-109,48319,Tom Whitney,279.7,115782.5,414
2024,9,31646,Emiliano Grillo,279.5,176092.6,630
2024,12,36801,Mark Hubbard,279.3,212261.2,760
2024,10,46414,Aaron Rai,278.6,190003.8,682
2024,12,27644,Brian Harman,278.5,199381.0,716
2024,10,37455,Si Woo Kim,277.8,195036.3,702
2024,13,27936,Martin Laird,277.7,128588.1,463
2024,14,30163,Henrik Norlander,277.5,107668.0,388
2024,9,45522,Christiaan Bezuidenhout,277.3,146705.8,529
2024,9,47993,Denny McCarthy,277.1,183146.1,661
2024,15,55789,Taylor Montgomery,277.0,90565.5,327
2024,8,25493,Nick Taylor,275.8,171293.6,621
2024,-75,34076,Joel Dahmen,275.7,180828.4,656
2024,10,28775,Nate Lashley,275.7,147475.5,535
2024,-147,47806,Raul Pereda,275.1,89403.8,325
2024,8,36326,David Lipsky,274.8,128323.7,467
2024,8,29908,C.T. Pan,274.6,127426.8,464
2024,-108,24024,Zach Johnson,274.5,111729.6,407
2024,10,36884,Ben Kohles,274.5,156720.7,571
2024,10,46441,Robby Shelton,274.4,152552.8,556
2024,10,52374,Brandon Wu,274.1,158954.3,580
2024,5,34098,Russell Henley,274.0,154240.5,563
2024,-80,23108,Matt Kuchar,273.4,156380.6,572
2024,6,39327,Ben Silverman,273.4,192495.8,704
2024,-129,29535,Brice Garnett,273.3,101124.8,370
2024,-68,25900,Lucas Glover,273.0,169513.1,621
2024,5,26476,Chez Reavie,272.9,128803.4,472
2024,5,27649,Brandt Snedeker,270.5,125245.9,463
2024,-127,29478,Kevin Kisner,270.1,104509.4,387
2024,-95,22371,Aaron Baddeley,269.9,127112.7,471
2024,3,27770,Camilo Villegas,268.5,97207.1,362
2024,3,34256,Andrew Putnam,267.6,158939.3,594
2024,-36,40058,Zac Blair,267.1,203495.8,762
2024,-45,30927,Brendon Todd,266.8,186243.8,698
2024,-22,26596,Ryan Moore,265.1,148716.3,561
2023,0,51491,Brandon Matthews,313.3,80216.3,256
2023,0,58696,Peter Kuest,307.8,85267.4,277
2023,0,28237,Rory McIlroy,307.4,120818.1,393
2023,0,52955,Ludvig Åberg,304.8,103925.9,341
2023,0,57366,Cameron Young,304.3,163711.4,538
2023,0,51766,Wyndham Clark,303.4,174764.1,576
2023,0,34255,Joseph Bramlett,303.3,151336.3,499
2023,0,33948,Byeong Hun An,302.8,227675.8,752
2023,0,52372,Cameron Champ,302.8,106897.1,353
2023,0,52411,Kyle Westmoreland,302.3,136335.0,451
2023,0,49453,Trevor Cone,301.8,182618.1,605
2023,0,47504,Sam Burns,300.1,161178.1,537
2023,0,48867,Matti Schmid,300.1,108019.6,360
2023,0,51070,Vincent Norrman,299.4,158399.4,529
2023,0,46601,Trey Mullinax,299.2,162762.2,544
2023,0,31323,Gary Woodland,298.9,162921.3,545
2023,0,40250,Taylor Pendrith,298.8,209726.1,702
2023,0,51414,Brent Grant,298.4,149177.8,500
2023,0,52453,Nicolai Hojgaard,298.3,75176.9,252
2023,0,45242,Kevin Yu,297.7,100615.4,338
2023,0,48117,Kurt Kitayama,297.5,72282.5,243
2023,0,46970,Jon Rahm,297.2,142674.3,480
2023,0,45157,Cam Davis,296.8,176282.2,594
2023,0,28420,Ryan Brehm,296.6,154511.1,521
2023,0,33653,Thomas Detry,296.5,156253.4,527
2023,0,56762,Will Gordon,296.3,181916.8,614
2023,0,24502,Adam Scott,296.3,124735.1,421
2023,0,32102,Rickie Fowler,296.2,160863.7,543
2023,0,39546,Keith Mitchell,295.3,187504.4,635
2023,0,54421,Garrick Higgo,294.9,207307.8,703
2023,0,33141,Keegan Bradley,294.8,165688.4,562
2023,0,39058,Lucas Herbert,294.8,96395.1,327
2023,0,27554,Scott Harrington,294.7,160291.7,544
2023,0,35450,Patrick Cantlay,294.4,162792.4,553
2023,0,36724,Augusto Núñez,294.3,134479.6,457
2023,0,55893,Sam Stevens,294.3,230698.6,784
2023,0,48699,Callum Tarren,293.5,202253.8,689
2023,0,32662,Michael Gligic,293.4,120894.8,412
2023,0,58168,Davis Thompson,293.4,198365.6,676
2023,0,27129,Luke List,293.3,212031.3,723
2023,0,46046,Scottie Scheffler,293.0,182841.0,624
2023,0,36799,Stephan Jaeger,292.9,284943.2,973
2023,0,55454,Carl Yuan,292.9,179278.2,612
2023,0,34363,Tyrrell Hatton,292.8,168637.3,576
2023,0,28089,Jason Day,292.5,150952.1,516
2023,0,47988,Nick Hardy,292.2,210663.3,721
2023,0,32333,Kevin Tway,292.2,176486.0,604
2023,0,39067,MJ Daffue,292.0,187454.2,642
2023,0,25632,Jimmy Walker,291.4,179218.4,615
2023,0,46717,Viktor Hovland,291.0,166764.5,573
2023,0,35617,Martin Trainer,290.9,91351.6,314
2023,0,48081,Xander Schauffele,290.6,133963.5,461
2023,0,30911,Tommy Fleetwood,290.5,139134.8,479
2023,0,50188,S.H. Kim,290.5,234431.1,807
2023,0,20229,Stewart Cink,290.1,160129.3,552
2023,0,34046,Jordan Spieth,289.9,158011.2,545
2023,0,39977,Max Homa,289.8,181967.7,628
2023,0,47995,Davis Riley,289.8,182290.3,629
2023,0,47347,Adam Schenk,289.8,224877.7,776
2023,0,35461,Beau Hossler,289.7,227687.1,786
2023,0,36699,Patrick Rodgers,289.7,234918.6,811
2023,0,32366,Kevin Chappell,289.6,101345.5,350
2023,0,50095,Austin Smotherman,289.6,192863.8,666
2023,0,48119,Ben Taylor,289.5,170205.7,588
2023,0,29725,Tony Finau,289.3,186570.0,645
2023,0,54591,Ben Griffin,289.2,222112.6,768
2023,0,29970,Dylan Frittelli,289.1,143096.3,495
2023,0,48887,Matt Wallace,289.1,145407.5,503
2023,0,48084,Wesley Bryan,288.8,67872.3,235
2023,0,40098,Matt Fitzpatrick,288.8,166952.2,578
