YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
2024,47,0,48319,Tom Whitney,34.25%,237,692,+0.030
2024,49,0,45522,Christiaan Bezuidenhout,34.20%,343,1003,-0.137
2024,50,0,51287,Ryo Hisatsune,34.16%,330,966,-0.064
2024,51,0,22371,Aaron Baddeley,34.03%,277,814,-0.087
2024,52,0,57975,Harry Hall,33.84%,331,978,-0.073
2024,52,0,47993,Denny McCarthy,33.84%,375,1108,-0.155
2024,54,0,51890,Greyson Sigg,33.66%,307,912,-0.062
2024,55,0,33204,Shane Lowry,33.61%,287,854,-0.073
2024,56,0,40058,Zac Blair,33.46%,344,1028,-0.084
2024,57,0,52374,Brandon Wu,33.45%,293,876,-0.048
2024,58,0,37275,Sam Ryder,33.41%,278,832,-0.079
2024,59,0,35506,Mackenzie Hughes,33.36%,389,1166,-0.080
2024,60,0,34563,Chesson Hadley,33.33%,282,846,-0.007
2024,61,0,47983,Chad Ramey,33.30%,317,952,-0.032
2024,62,0,27330,Josh Teater,33.27%,175,526,+0.011
2024,63,0,32102,Rickie Fowler,33.26%,316,950,-0.022
2024,64,0,45609,Tyler Duncan,32.82%,256,780,-0.023
2024,65,0,49960,Sepp Straka,32.68%,302,924,-0.056
2024,66,0,27936,Martin Laird,32.67%,264,808,-0.144
2024,67,0,33968,Thorbjørn Olesen,32.66%,179,548,-0.067
2024,68,0,47347,Adam Schenk,32.65%,369,1130,-0.111
2024,69,0,40026,Daniel Berger,32.61%,272,834,-0.070
2024,70,0,50493,Justin Suh,32.56%,280,860,-0.011
2024,71,0,52666,Sami Valimaki,32.53%,255,784,-0.067
2024,72,0,34374,Erik Barnes,32.45%,197,607,+0.066
2024,73,0,47591,Eric Cole,32.41%,433,1336,-0.048
2024,74,0,30911,Tommy Fleetwood,32.37%,290,896,-0.076
2024,75,0,52514,Trace Crowe,32.29%,237,734,-0.093
2024,76,0,35617,Martin Trainer,32.04%,182,568,+0.060
2024,77,0,39977,Max Homa,32.02%,308,962,+0.010
2024,78,0,46442,Maverick McNealy,32.00%,351,1097,-0.125
2024,79,0,29221,Webb Simpson,31.96%,218,682,-0.032
2024,80,0,33399,Adam Hadwin,31.92%,316,990,-0.032
2024,81,0,34099,Harris English,31.78%,347,1092,-0.043
2024,82,0,25900,Lucas Glover,31.69%,341,1076,-0.135
2024,83,0,39975,Michael Kim,31.65%,276,872,+0.004
2024,84,0,50095,Austin Smotherman,31.63%,167,528,-0.132
2024,85,0,26596,Ryan Moore,31.45%,278,884,-0.216
2024,86,0,55789,Taylor Montgomery,31.38%,204,650,-0.029
2024,87,0,28089,Jason Day,31.28%,259,828,-0.066
2024,88,0,32757,Patton Kizzire,31.17%,230,738,-0.061
2024,89,0,32839,Hideki Matsuyama,31.10%,278,894,-0.151
2024,90,0,48153,Matthieu Pavon,30.95%,229,740,+0.026
2024,91,0,26476,Chez Reavie,30.93%,240,776,-0.150
2024,92,0,35310,Lanto Griffin,30.85%,248,804,+0.008
2024,93,0,30927,Brendon Todd,30.69%,380,1238,-0.118
2024,94,0,47806,Raul Pereda,30.65%,152,496,+0.026
2024,95,0,28252,Seamus Power,30.61%,379,1238,-0.071
2024,96,0,49771,J.T. Poston,30.59%,331,1082,-0.085
2024,97,0,29478,Kevin Kisner,30.58%,200,654,-0.015
2024,98,0,27129,Luke List,30.54%,281,920,-0.011
2024,99,0,30926,Chris Kirk,30.47%,287,942,-0.045
2024,100,0,12716,Charley Hoffman,30.29%,255,842,+0.082
2024,101,0,34587,Chan Kim,30.27%,296,978,-0.105
2024,102,0,27770,Camilo Villegas,30.21%,187,619,E
2024,103,0,36871,Matt NeSmith,30.16%,260,862,-0.062
2024,104,0,32366,Kevin Chappell,30.00%,171,570,+0.076
2024,105,0,56630,Akshay Bhatia,29.95%,330,1102,-0.076
2024,106,0,35450,Patrick Cantlay,29.46%,228,774,-0.083
2024,107,0,46717,Viktor Hovland,29.40%,214,728,-0.145
2024,108,0,50497,Adrien Dumont de Chassart,29.35%,236,804,+0.034
2024,108,0,27214,Kevin Streelman,29.35%,233,794,+0.013
2024,108,0,48887,Matt Wallace,29.35%,236,804,-0.093
2024,111,0,59143,Mac Meissner,29.06%,261,898,-0.096
2024,112,0,33408,Tyson Alexander,28.96%,245,846,-0.049
2024,113,0,40098,Matt Fitzpatrick,28.92%,251,868,-0.072
2024,114,0,48117,Kurt Kitayama,28.91%,281,972,-0.157
2024,115,0,47483,Will Zalatoris,28.55%,233,816,+0.009
2024,116,0,39324,J.J. Spaun,28.51%,288,1010,-0.035
2024,117,0,34256,Andrew Putnam,28.49%,298,1046,-0.154
2024,118,0,60067,Joe Highsmith,28.48%,229,804,-0.074
2024,119,0,33653,Thomas Detry,28.35%,254,896,+0.043
2024,120,0,50188,S.H. Kim,28.33%,353,1246,-0.071
2024,121,0,36699,Patrick Rodgers,28.24%,349,1236,-0.037
2024,122,0,46113,Ryan McCormick,28.15%,183,650,+0.022
2024,123,0,59866,Nick Dunlap,28.14%,251,892,-0.064
2024,124,0,39997,Corey Conners,28.11%,307,1092,-0.111
2024,125,0,47995,Davis Riley,28.04%,272,970,+0.004
2024,126,0,32070,Rafael Campos,27.96%,170,608,-0.012
2024,127,0,47988,Nick Hardy,27.78%,295,1062,-0.003
2024,128,0,59442,Parker Coody,27.64%,183,662,+0.082
2024,129,0,27139,David Skinns,27.61%,259,938,-0.058
2024,129,0,55454,Carl Yuan,27.61%,206,746,+0.141
2024,131,0,48119,Ben Taylor,27.47%,206,750,+0.034
2024,132,0,47679,Victor Perez,27.39%,229,836,-0.074
2024,133,0,34046,Jordan Spieth,27.32%,241,882,-0.062
2024,134,0,46046,Scottie Scheffler,26.96%,234,868,-0.197
2024,135,0,51977,Max Greyserman,26.85%,236,879,-0.106
2024,136,0,33141,Keegan Bradley,26.81%,267,996,-0.011
2024,137,0,48867,Matti Schmid,26.78%,233,870,-0.004
2024,138,0,24502,Adam Scott,26.74%,231,864,-0.100
2024,139,0,52215,Robert MacIntyre,26.73%,232,868,-0.043
2024,140,0,51634,Sahith Theegala,26.65%,315,1182,-0.048
2024,141,0,46340,Alex Smalley,26.59%,218,820,+0.046
2024,142,0,49947,Taylor Moore,26.51%,324,1222,-0.028
2024,143,0,28420,Ryan Brehm,26.50%,168,634,+0.119
2024,144,0,51696,Rico Hoey,26.46%,245,926,-0.090
2024,145,0,40006,Erik van Rooyen,26.43%,258,976,-0.039
2024,146,0,45157,Cam Davis,26.39%,265,1004,+0.008
2024,147,0,51894,Vince Whaley,26.20%,196,748,+0.010
2024,148,0,48084,Wesley Bryan,26.12%,128,490,-0.023
2024,149,0,32333,Kevin Tway,26.11%,164,628,-0.159
2024,150,0,45242,Kevin Yu,25.98%,238,916,-0.071
2024,151,0,58168,Davis Thompson,25.95%,287,1106,-0.084
2024,152,0,47420,Jake Knapp,25.83%,248,960,-0.004
2024,153,0,52955,Ludvig Åberg,25.54%,236,924,-0.093
2024,154,0,55893,Sam Stevens,24.50%,270,1102,+0.022
2024,155,0,54576,Patrick Fishburn,24.29%,188,774,-0.027
2024,156,0,37212,Paul Barjon,24.26%,148,610,+0.074
2024,157,0,52453,Nicolai Højgaard,24.12%,150,622,-0.027
2024,158,0,54421,Garrick Higgo,23.68%,207,874,-0.024
2024,159,0,36799,Stephan Jaeger,23.67%,240,1014,-0.113
2024,160,0,60767,Blaine Hale Jr.,23.57%,124,526,+0.121
2024,161,0,29936,Ryan Fox,23.26%,221,950,+0.009
2024,162,0,39546,Keith Mitchell,23.19%,244,1052,-0.041
2024,163,0,29725,Tony Finau,22.67%,224,988,-0.116
2024,164,0,33448,Justin Thomas,22.58%,187,828,-0.102
2024,165,0,47504,Sam Burns,21.60%,200,926,-0.050
2024,166,0,50484,Hayden Springer,21.58%,167,774,-0.048
2024,167,0,57366,Cameron Young,21.43%,216,1008,-0.079
2024,168,0,56149,Wilson Furr,21.14%,134,634,+0.007
2024,169,0,40250,Taylor Pendrith,20.99%,207,986,-0.087
2024,170,0,38991,Alejandro Tosti,20.97%,177,844,+0.181
2024,171,0,51766,Wyndham Clark,20.83%,180,864,-0.078
2024,172,0,51070,Vincent Norrman,20.59%,132,641,+0.167
2024,173,0,48699,Callum Tarren,20.45%,164,802,+0.116
2024,174,0,48081,Xander Schauffele,20.15%,193,958,-0.104
2024,175,0,27064,Jhonattan Vegas,19.88%,167,840,-0.048
2024,176,0,34255,Joseph Bramlett,19.58%,195,996,-0.036
2024,177,0,59836,Pierceson Coody,19.37%,167,862,+0.048
2024,178,0,31323,Gary Woodland,19.22%,191,994,+0.037
2024,179,0,28237,Rory McIlroy,18.63%,161,864,-0.081
2024,180,0,52372,Cameron Champ,18.25%,123,674,+0.016
2024,181,0,37378,Min Woo Lee,17.77%,145,816,E
2024,182,0,47663,Kevin Dougherty,17.59%,121,688,+0.033
2024,183,0,59095,Chris Gotterup,17.27%,157,909,+0.057
2024,184,0,33948,Byeong Hun An,16.20%,150,926,-0.073
2023,1,0,24024,Zach Johnson,38.82%,302,778,-0.060
2023,2,0,50525,Collin Morikawa,38.36%,333,868,-0.078
2023,3,0,37275,Sam Ryder,38.17%,468,1226,-0.126
2023,4,0,33399,Adam Hadwin,37.59%,424,1128,-0.085
2023,5,0,32816,Satoshi Kodaira,37.46%,224,598,-0.107
2023,6,0,23108,Matt Kuchar,36.82%,408,1108,-0.113
2023,7,0,25900,Lucas Glover,36.58%,409,1118,-0.037
2023,8,0,59018,Ryan Gerard,36.43%,247,678,-0.093
2023,9,0,25818,Scott Piercy,36.27%,354,976,-0.056
2023,10,0,29535,Brice Garnett,36.25%,319,880,-0.110
2023,11,0,45522,Christiaan Bezuidenhout,36.23%,400,1104,-0.080
2023,12,0,26476,Chez Reavie,36.07%,430,1192,-0.049
2023,13,0,27644,Brian Harman,36.00%,396,1100,-0.061
2023,13,0,46414,Aaron Rai,36.00%,437,1214,-0.064
2023,15,0,34098,Russell Henley,35.98%,367,1020,-0.125
2023,16,0,52374,Brandon Wu,35.87%,424,1182,-0.045
2023,17,0,35901,Paul Haley II,35.70%,342,958,-0.006
2023,18,0,51349,Nico Echavarria,35.66%,271,760,+0.011
2023,18,0,32640,Troy Merritt,35.66%,348,976,-0.046
2023,20,0,34466,Peter Malnati,35.50%,377,1062,-0.034
2023,21,0,55182,Tom Kim,35.47%,376,1060,-0.130
2023,22,0,40058,Zac Blair,35.35%,309,874,-0.162
2023,23,0,47079,Harrison Endycott,35.23%,334,948,E
2023,24,0,37455,Si Woo Kim,35.20%,421,1196,-0.088
2023,25,0,46435,Austin Cook,35.05%,272,776,-0.096
2023,26,0,40115,Adam Svensson,35.00%,504,1440,-0.105
2023,27,0,35449,Adam Long,34.97%,419,1198,-0.091
2023,28,0,34610,Matthias Schwab,34.93%,394,1128,+0.003
2023,29,0,33410,Andrew Landry,34.58%,305,882,E
2023,30,0,32139,Danny Willett,34.51%,255,739,-0.059
2023,31,0,30926,Chris Kirk,34.46%,366,1062,-0.107
2023,32,0,25493,Nick Taylor,34.45%,359,1042,-0.042
2023,33,0,22056,Cameron Percy,34.35%,215,626,-0.093
2023,34,0,40162,Justin Lower,34.29%,384,1120,-0.047
2023,35,0,35532,Tom Hoge,34.26%,407,1188,-0.049
2023,36,0,45609,Tyler Duncan,34.24%,378,1104,-0.079
2023,37,0,33122,Russell Knox,34.22%,401,1172,-0.092
2023,38,0,52513,Carson Young,34.20%,357,1044,-0.031
2023,39,0,49960,Sepp Straka,34.04%,367,1078,-0.022
2023,40,0,27349,Alex Noren,33.99%,344,1012,-0.032
2023,41,0,27214,Kevin Streelman,33.96%,400,1178,-0.105
2023,42,0,26596,Ryan Moore,33.89%,303,894,-0.175
2023,43,0,51950,Max McGreevy,33.82%,301,890,+0.037
2023,44,0,46441,Robby Shelton,33.80%,390,1154,-0.085
2023,45,0,36871,Matt NeSmith,33.79%,396,1172,-0.088
2023,46,0,30927,Brendon Todd,33.69%,407,1208,-0.128
2023,47,0,34076,Joel Dahmen,33.60%,340,1012,-0.009
2023,48,0,28775,Nate Lashley,33.56%,394,1174,-0.094
2023,49,0,36326,David Lipsky,33.54%,377,1124,-0.048
2023,50,0,29221,Webb Simpson,33.47%,247,738,-0.004
2023,51,0,54591,Ben Griffin,33.33%,416,1248,-0.101
2023,52,0,39971,Sungjae Im,33.28%,396,1190,-0.101
2023,53,0,36801,Mark Hubbard,33.23%,413,1243,-0.070
2023,54,0,39324,J.J. Spaun,33.19%,387,1166,-0.047
2023,55,0,47591,Eric Cole,33.07%,500,1512,-0.046
2023,56,0,22405,Justin Rose,32.89%,246,748,-0.069
2023,57,0,19803,Ryan Armour,32.87%,305,928,-0.115
2023,58,0,29420,Billy Horschel,32.79%,242,738,+0.025
2023,59,0,27936,Martin Laird,32.66%,309,946,-0.065
2023,60,0,54628,Lee Hodges,32.61%,403,1236,-0.022
2023,61,0,53165,Doc Redman,32.51%,303,932,+0.010
2023,62,0,24925,Jonathan Byrd,32.36%,167,516,-0.096
2023,63,0,35310,Lanto Griffin,32.32%,203,628,-0.005
2023,64,0,55708,Hayden Buckley,32.16%,292,908,+0.003
2023,65,0,31646,Emiliano Grillo,32.14%,394,1226,-0.051
2023,66,0,33413,Ben Martin,32.04%,355,1108,-0.079
2023,67,0,54783,Dylan Wu,32.03%,351,1096,-0.077
2023,68,0,32839,Hideki Matsuyama,32.00%,313,978,-0.089
2023,69,0,51890,Greyson Sigg,31.96%,397,1242,-0.068
2023,70,0,29908,C.T. Pan,31.93%,175,548,-0.114
2023,71,0,35879,Kelly Kraft,31.83%,324,1018,-0.074
2023,72,0,27963,Chris Stroud,31.64%,181,572,-0.083
2023,73,0,47983,Chad Ramey,31.46%,392,1246,-0.046
2023,74,0,31557,Jim Herman,31.37%,272,867,E
2023,75,0,52375,Doug Ghim,31.30%,323,1032,-0.043
2023,76,0,22371,Aaron Baddeley,31.27%,257,822,-0.136
2023,76,0,49766,Hank Lebioda,31.27%,182,582,-0.038
2023,76,0,31202,William McGirt,31.27%,162,518,-0.037
2023,79,0,57362,Austin Eckroat,31.25%,310,992,-0.042
2023,79,0,49298,Kramer Hickok,31.25%,340,1088,+0.015
2023,81,0,49771,J.T. Poston,31.22%,374,1198,-0.032
2023,82,0,32448,James Hahn,31.21%,299,958,-0.074
2023,83,0,23320,Ryan Palmer,31.06%,282,908,-0.053
2023,84,0,34409,David Lingmerth,30.97%,253,817,-0.036
2023,85,0,51997,Andrew Novak,30.91%,293,948,-0.106
2023,86,0,33597,Harry Higgs,30.75%,254,826,+0.028
2023,87,0,47993,Denny McCarthy,30.66%,374,1220,-0.091
2023,88,0,50493,Justin Suh,30.61%,412,1346,-0.017
2023,89,0,39954,Cody Gribble,30.60%,213,696,-0.005
2023,90,0,30163,Henrik Norlander,30.38%,288,948,-0.080
2023,91,0,39997,Corey Conners,29.94%,315,1052,-0.038
2023,92,0,47128,Richy Werenski,29.84%,299,1002,-0.057
2023,93,0,34256,Andrew Putnam,29.82%,371,1244,-0.148
2023,94,0,35506,Mackenzie Hughes,29.80%,295,990,-0.122
2023,95,0,34563,Chesson Hadley,29.76%,325,1092,-0.065
2023,96,0,32366,Kevin Chappell,29.68%,149,502,-0.034
2023,96,0,34431,Robert Streb,29.68%,257,866,+0.023
2023,98,0,32757,Patton Kizzire,29.48%,342,1160,-0.020
2023,99,0,39975,Michael Kim,29.14%,278,954,+0.025
2023,99,0,50095,Austin Smotherman,29.14%,329,1129,+0.061
2023,101,0,28089,Jason Day,29.10%,259,890,-0.046
2023,102,0,30911,Tommy Fleetwood,29.07%,250,860,-0.084
2023,103,0,55789,Taylor Montgomery,28.93%,342,1182,-0.105
2023,104,0,35617,Martin Trainer,28.76%,153,532,E
2023,105,0,28252,Seamus Power,28.62%,261,912,+0.015
2023,106,0,35461,Beau Hossler,28.51%,349,1224,+0.009
2023,106,0,49947,Taylor Moore,28.51%,321,1126,-0.012
2023,108,0,31577,Tano Goya,28.49%,257,902,-0.070
2023,109,0,40098,Matt Fitzpatrick,28.46%,251,882,-0.108
2023,110,0,39335,Kevin Roy,28.40%,209,736,-0.010
2023,111,0,24140,Sean O'Hair,28.37%,122,430,-0.041
2023,112,0,25632,Jimmy Walker,28.18%,297,1054,-0.007
2023,113,0,25686,Jason Dufner,28.11%,271,964,-0.011
2023,114,0,50188,S.H. Kim,28.04%,378,1348,-0.063
2023,115,0,56630,Akshay Bhatia,28.02%,227,810,-0.026
2023,116,0,46340,Alex Smalley,27.82%,360,1294,+0.019
2023,117,0,34363,Tyrrell Hatton,27.61%,254,920,-0.087
2023,118,0,33141,Keegan Bradley,27.55%,259,940,-0.023
2023,119,0,47347,Adam Schenk,27.42%,374,1364,-0.059
2023,120,0,48081,Xander Schauffele,27.41%,236,861,-0.059
2023,121,0,29725,Tony Finau,27.22%,276,1014,-0.101
2023,122,0,33204,Shane Lowry,27.18%,212,780,-0.047
2023,123,0,31560,Brian Stuard,27.08%,189,698,-0.101
2023,124,0,27974,Sung Kang,27.06%,118,436,-0.136
2023,125,0,48119,Ben Taylor,26.96%,317,1176,+0.025
2023,126,0,33408,Tyson Alexander,26.85%,261,972,+0.011
2023,127,0,32791,K.H. Lee,26.71%,305,1142,-0.046
2023,128,0,47995,Davis Riley,26.62%,280,1052,-0.018
2023,129,0,40006,Erik van Rooyen,26.52%,205,773,+0.054
2023,130,0,36724,Augusto Núñez,26.43%,213,806,+0.038
2023,131,0,29289,S.Y. Noh,26.25%,168,640,+0.030
2023,132,0,34099,Harris English,26.23%,299,1140,-0.027
2023,133,0,27095,Nick Watney,25.98%,199,766,+0.015
2023,134,0,58967,Trevor Werbylo,25.75%,207,804,+0.058
2023,135,0,36799,Stephan Jaeger,25.71%,382,1486,-0.065
2023,136,0,35450,Patrick Cantlay,25.64%,222,866,-0.158
2023,137,0,46717,Viktor Hovland,25.61%,250,976,-0.112
2023,138,0,34046,Jordan Spieth,25.58%,221,864,-0.063
2023,139,0,20229,Stewart Cink,25.33%,232,916,+0.009
2023,140,0,12716,Charley Hoffman,25.31%,202,798,+0.099
2023,141,0,30692,Scott Stallings,25.27%,237,938,-0.059
2023,142,0,51634,Sahith Theegala,25.21%,303,1202,-0.003
2023,143,0,48887,Matt Wallace,25.16%,233,926,+0.056
2023,144,0,33448,Justin Thomas,25.11%,234,932,+0.004
2023,145,0,32333,Kevin Tway,25.04%,279,1114,+0.043
2023,146,0,48084,Wesley Bryan,25.00%,108,432,+0.074
2023,147,0,36699,Patrick Rodgers,24.78%,287,1158,+0.035
2023,148,0,37338,Zecheng Dou,24.76%,261,1054,+0.061
2023,149,0,39058,Lucas Herbert,24.62%,164,666,+0.037
2023,150,0,48117,Kurt Kitayama,24.61%,188,764,+0.037
2023,151,0,32662,Michael Gligic,24.52%,177,722,+0.085
2023,152,0,32102,Rickie Fowler,24.51%,276,1126,-0.105
2023,153,0,57975,Harry Hall,24.46%,251,1026,-0.040
2023,154,0,39977,Max Homa,24.35%,262,1076,-0.065
2023,155,0,55893,Sam Stevens,23.96%,276,1152,-0.007
2023,156,0,39546,Keith Mitchell,23.74%,244,1028,E
2023,157,0,29970,Dylan Frittelli,23.72%,194,818,+0.077
2023,158,0,46970,Jon Rahm,23.44%,196,836,-0.036
2023,159,0,45157,Cam Davis,23.39%,261,1116,-0.038
2023,159,0,47988,Nick Hardy,23.39%,290,1240,+0.038
2023,161,0,58168,Davis Thompson,23.35%,283,1212,-0.035
2023,162,0,46442,Maverick McNealy,23.22%,157,676,+0.038
2023,163,0,55454,Carl Yuan,22.55%,216,958,+0.037
2023,164,0,27129,Luke List,22.14%,255,1152,+0.004
2023,165,0,47504,Sam Burns,21.77%,221,1015,E
2023,166,0,40250,Taylor Pendrith,21.54%,240,1114,+0.042
2023,167,0,31323,Gary Woodland,21.26%,216,1016,-0.037
2023,168,0,45242,Kevin Yu,21.19%,142,670,+0.042
2023,169,0,46046,Scottie Scheffler,21.11%,217,1028,-0.171
2023,170,0,54421,Garrick Higgo,20.93%,262,1252,-0.050
2023,171,0,48867,Matti Schmid,20.80%,151,726,+0.026
2023,172,0,51414,Brent Grant,20.78%,165,794,+0.073
2023,173,0,33653,Thomas Detry,20.77%,194,934,+0.165
2023,174,0,27554,Scott Harrington,20.53%,163,794,+0.012
2023,175,0,24502,Adam Scott,20.47%,149,728,-0.081
2023,176,0,57366,Cameron Young,20.28%,191,942,+0.026
2023,177,0,51070,Vincent Norrman,19.47%,176,904,+0.023
2023,178,0,56762,Will Gordon,19.29%,238,1234,+0.071
2023,179,0,39067,MJ Daffue,18.99%,196,1032,+0.051
2023,180,0,52453,Nicolai Hojgaard,18.94%,89,470,+0.056
2023,181,0,48699,Callum Tarren,18.79%,215,1144,+0.121
2023,182,0,46601,Trey Mullinax,18.70%,175,936,+0.051
2023,183,0,49453,Trevor Cone,18.45%,162,878,+0.031
2023,184,0,51766,Wyndham Clark,18.33%,217,1184,+0.014
2023,185,0,58696,Peter Kuest,18.18%,100,550,-0.050
2023,186,0,33948,Byeong Hun An,17.80%,219,1230,+0.009
2023,187,0,28420,Ryan Brehm,17.70%,166,938,E
2023,188,0,52372,Cameron Champ,17.32%,142,820,+0.070
2023,189,0,52955,Ludvig Åberg,17.20%,108,628,-0.019
2023,190,0,52411,Kyle Westmoreland,16.87%,136,806,+0.037
2023,191,0,51491,Brandon Matthews,16.10%,94,584,+0.053
2023,192,0,28237,Rory McIlroy,15.35%,124,808,+0.065
2023,193,0,34255,Joseph Bramlett,15.25%,143,938,-0.028
2022,1,0,27644,Brian Harman,40.06,423,1056,-0.128
2022,2,0,25198,Francesco Molinari,36.98,206,557,-0.063
2022,3,0,28114,Dawie van der Walt,36.9,245,664,-0.004
2022,4,0,39324,J.J. Spaun,36.46,369,1012,-0.136
2022,5,0,47983,Chad Ramey,36.39,278,764,-0.072
2022,6,0,27214,Kevin Streelman,36.28,402,1108,-0.045
2022,7,0,23108,Matt Kuchar,36.0,301,836,-0.183
2022,8,0,45522,Christiaan Bezuidenhout,35.99,275,764,-0.098
2022,9,0,24925,Jonathan Byrd,35.57,212,596,-0.090
2022,10,0,32150,Michael Thompson,35.53,366,1030,-0.098
2022,11,0,49771,J.T. Poston,35.52,395,1112,-0.035
2022,12,0,29420,Billy Horschel,35.14,272,774,-0.107
2022,12,0,35449,Adam Long,35.14,369,1050,-0.043
2022,14,0,29221,Webb Simpson,34.81,252,724,-0.056
2022,15,0,27936,Martin Laird,34.79,295,848,+0.047
2022,16,0,28775,Nate Lashley,34.72,293,844,-0.143
2022,17,0,34466,Peter Malnati,34.69,419,1208,-0.048
2022,17,0,32640,Troy Merritt,34.69,358,1032,-0.134
2022,19,0,24361,Pat Perez,34.52,243,704,-0.123
2022,20,0,25493,Nick Taylor,34.14,325,952,E
2022,21,0,23621,Rory Sabbatini,33.95,237,698,-0.068
2022,22,0,37455,Si Woo Kim,33.92,386,1138,-0.052
2022,23,0,34076,Joel Dahmen,33.91,350,1032,-0.083
2022,23,0,35532,Tom Hoge,33.91,350,1032,-0.054
2022,25,0,52375,Doug Ghim,33.9,320,944,-0.028
2022,25,0,33399,Adam Hadwin,33.9,358,1056,-0.070
2022,27,0,49766,Hank Lebioda,33.8,317,938,-0.047
2022,28,0,36326,David Lipsky,33.73,336,996,-0.065
2022,29,0,51890,Greyson Sigg,33.53,334,996,-0.030
2022,30,0,51997,Andrew Novak,33.51,250,746,-0.060
2022,31,0,35110,Brett Drewitt,33.45,194,580,+0.072
2022,32,0,27770,Camilo Villegas,33.38,237,710,-0.059
2022,33,0,33486,Roger Sloan,33.37,287,860,-0.010
2022,34,0,31420,Anirban Lahiri,33.33,278,834,-0.043
2022,34,0,37275,Sam Ryder,33.33,362,1086,-0.055
2022,36,0,30978,Kiradech Aphibarnrat,33.27,165,496,-0.079
2022,37,0,35506,Mackenzie Hughes,33.26,304,914,-0.023
2022,37,0,22056,Cameron Percy,33.26,147,442,-0.116
2022,39,0,30163,Henrik Norlander,33.17,276,832,-0.101
2022,40,0,40115,Adam Svensson,33.16,386,1164,-0.127
2022,41,0,30926,Chris Kirk,33.11,290,876,-0.062
2022,42,0,45609,Tyler Duncan,32.74,294,898,-0.170
2022,42,0,29535,Brice Garnett,32.74,275,840,-0.080
2022,44,0,24024,Zach Johnson,32.72,250,764,-0.072
2022,45,0,33122,Russell Knox,32.68,336,1028,-0.018
2022,45,0,34610,Matthias Schwab,32.68,249,762,-0.076
2022,47,0,47993,Denny McCarthy,32.48,393,1210,-0.071
