YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2019,0,49771,J.T. Poston,"44' 7""",153504,287,12792.0,+14.00
2019,0,31323,Gary Woodland,"44' 7""",121512,227,10126.0,+16.00
2019,0,30911,Tommy Fleetwood,"44' 8""",78250,146,6520.833,-3.00
2019,0,26596,Ryan Moore,"44' 8""",70204,131,5850.333,+6.00
2019,0,34264,Hudson Swafford,"44' 8""",100840,188,8403.333,+4.00
2019,0,34076,Joel Dahmen,"44' 9""",117693,219,9807.75,+29.00
2019,0,29908,C.T. Pan,"44' 9""",105733,197,8811.083,+25.00
2019,0,10809,Jim Furyk,"44' 10""",67748,126,5645.667,+13.00
2019,0,23621,Rory Sabbatini,"44' 10""",125976,234,10498.0,+5.00
2019,0,52372,Cameron Champ,"44' 11""",164832,306,13736.0,+38.00
2019,0,29478,Kevin Kisner,"45' 0""",114519,212,9543.25,+24.00
2019,0,49766,Hank Lebioda,"45' 0""",105773,196,8814.417,+34.00
2019,0,24361,Pat Perez,"45' 0""",61059,113,5088.25,+18.00
2019,0,27649,Brandt Snedeker,"45' 0""",165181,306,13765.083,E
2019,0,20472,Alex Cejka,"45' 1""",65460,121,5455.0,+22.00
2019,0,25572,Graeme McDowell,"45' 2""",92170,170,7680.833,+26.00
2019,0,25818,Scott Piercy,"45' 3""",115652,213,9637.667,+21.00
2019,0,35506,Mackenzie Hughes,"45' 4""",141921,261,11826.75,+6.00
2019,0,37380,Curtis Luck,"45' 4""",104508,192,8709.0,+29.00
2019,0,29518,Brendan Steele,"45' 4""",82083,151,6840.25,+20.00
2019,0,40115,Adam Svensson,"45' 4""",96363,177,8030.25,+14.00
2019,0,45609,Tyler Duncan,"45' 5""",97525,179,8127.083,+34.00
2019,0,36699,Patrick Rodgers,"45' 5""",95394,175,7949.5,+15.00
2019,0,49964,Aaron Wise,"45' 5""",96420,177,8035.0,+10.00
2019,0,24924,Bill Haas,"45' 6""",117840,216,9820.0,+8.00
2019,0,39546,Keith Mitchell,"45' 6""",115841,212,9653.417,+17.00
2019,0,30978,Kiradech Aphibarnrat,"45' 7""",78759,144,6563.25,+18.00
2019,0,19846,Brian Gay,"45' 8""",113420,207,9451.667,+17.00
2019,0,32757,Patton Kizzire,"45' 9""",104223,190,8685.25,+14.00
2019,0,30944,Jason Kokrak,"45' 9""",136737,249,11394.75,+22.00
2019,0,29420,Billy Horschel,"45' 10""",117733,214,9811.083,+34.00
2019,0,27958,Ryan Blaum,"45' 11""",142711,259,11892.583,+60.00
2019,0,35532,Tom Hoge,"45' 11""",142723,259,11893.583,+32.00
2019,0,34261,Scott Langley,"45' 11""",108068,196,9005.667,+29.00
2019,0,31557,Jim Herman,"46' 0""",56836,103,4736.333,+17.00
2019,0,35461,Beau Hossler,"46' 0""",142447,258,11870.583,+37.00
2019,0,36852,Jim Knous,"46' 0""",93906,170,7825.5,+13.00
2019,0,46435,Austin Cook,"46' 1""",76378,138,6364.833,+17.00
2019,0,35376,Roberto Díaz,"46' 2""",91452,165,7621.0,+26.00
2019,0,25198,Francesco Molinari,"46' 2""",57097,103,4758.083,+17.00
2019,0,28259,Sangmoon Bae,"46' 3""",80504,145,6708.667,+23.00
2019,0,32200,Roberto Castro,"46' 3""",93866,169,7822.167,+30.00
2019,0,30191,Julián Etulain,"46' 3""",132128,238,11010.667,+23.00
2019,0,37275,Sam Ryder,"46' 3""",102192,184,8516.0,+15.00
2019,0,25804,Bubba Watson,"46' 4""",107773,194,8981.083,+10.00
2019,0,32816,Satoshi Kodaira,"46' 5""",91349,164,7612.417,+20.00
2019,0,48081,Xander Schauffele,"46' 5""",98641,177,8220.083,+3.00
2019,0,49960,Sepp Straka,"46' 5""",111431,200,9285.917,+16.00
2019,0,27974,Sung Kang,"46' 6""",143458,257,11954.833,+36.00
2019,0,21961,Charles Howell III,"46' 7""",142029,254,11835.75,+22.00
2019,0,35891,Cameron Smith,"46' 7""",108532,194,9044.333,+13.00
2019,0,47504,Sam Burns,"46' 8""",138432,247,11536.0,+23.00
2019,0,27349,Alex Noren,"46' 8""",80135,143,6677.917,+20.00
2019,0,47856,Seth Reeves,"46' 8""",128350,229,10695.833,+23.00
2019,0,29484,Peter Uihlein,"46' 9""",147559,263,12296.583,+20.00
2019,0,19803,Ryan Armour,"46' 11""",100228,178,8352.333,+35.00
2019,0,51766,Wyndham Clark,"46' 11""",163735,291,13644.583,-3.00
2019,0,28252,Seamus Power,"46' 11""",139133,247,11594.417,+45.00
2019,0,26476,Chez Reavie,"46' 11""",86108,153,7175.667,+22.00
2019,0,34360,Patrick Reed,"47' 0""",155602,276,12966.833,+18.00
2019,0,40009,Dominic Bozzelli,"47' 1""",108424,192,9035.333,+11.00
2019,0,29970,Dylan Frittelli,"47' 1""",145820,258,12151.667,+19.00
2019,0,20572,Rod Pampling,"47' 1""",85376,151,7114.667,+31.00
2019,0,28089,Jason Day,"47' 2""",93312,165,7776.0,+21.00
2019,0,29479,Scott Brown,"47' 3""",125847,222,10487.25,+28.00
2019,0,46523,Joey Garber,"47' 3""",87942,155,7328.5,+20.00
2019,0,35450,Patrick Cantlay,"47' 6""",127078,223,10589.833,-1.00
2019,0,36799,Stephan Jaeger,"47' 6""",135678,238,11306.5,+6.00
2019,0,37454,Whee Kim,"47' 6""",93438,164,7786.5,+40.00
2019,0,34306,John Chin,"47' 7""",93632,164,7802.667,+30.00
2019,0,26300,Matt Jones,"47' 8""",134491,235,11207.583,+13.00
2019,0,47347,Adam Schenk,"47' 9""",164986,288,13748.833,+25.00
2019,0,39975,Michael Kim,"47' 10""",116566,203,9713.833,+41.00
2019,0,40026,Daniel Berger,"47' 11""",108130,188,9010.833,+14.00
2019,0,39324,J.J. Spaun,"47' 11""",128294,223,10691.167,+10.00
2019,0,32150,Michael Thompson,"47' 11""",108648,189,9054.0,+32.00
2019,0,27644,Brian Harman,"48' 3""",108275,187,9022.917,+13.00
2019,0,29974,Branden Grace,"48' 5""",95785,165,7982.083,+21.00
2019,0,32102,Rickie Fowler,"48' 6""",126877,218,10573.083,+15.00
2019,0,35879,Kelly Kraft,"48' 7""",132236,227,11019.667,+46.00
2019,0,25396,Kevin Na,"48' 10""",82016,140,6834.667,+17.00
2019,0,29535,Brice Garnett,"49' 0""",101066,172,8422.167,+12.00
2019,0,22405,Justin Rose,"49' 1""",92412,157,7701.0,+22.00
2019,0,24502,Adam Scott,"49' 3""",101031,171,8419.25,+20.00
2019,0,28679,Fabián Gómez,"49' 4""",89370,151,7447.5,+18.00
2019,0,35617,Martin Trainer,"49' 4""",129692,219,10807.667,+43.00
2019,0,47993,Denny McCarthy,"49' 7""",135063,227,11255.25,-3.00
2019,0,21731,Freddie Jacobson,"50' 7""",89196,147,7433.0,+35.00
2019,0,26951,Johnson Wagner,"50' 7""",92306,152,7692.167,+20.00
2019,0,49298,Kramer Hickok,"51' 4""",106626,173,8885.5,+22.00
2018,0,30925,Dustin Johnson,"37' 3""",97930,219,8160.833,+2.00
2018,0,27214,Kevin Streelman,"38' 5""",108344,235,9028.667,+6.00
2018,0,24138,Ian Poulter,"39' 5""",73760,156,6146.667,+7.00
2018,0,25804,Bubba Watson,"39' 5""",123994,262,10332.833,+11.00
2018,0,33410,Andrew Landry,"40' 1""",117375,244,9781.25,+34.00
2018,0,47287,Ethan Tracy,"40' 3""",105847,219,8820.583,+27.00
2018,0,34076,Joel Dahmen,"40' 5""",111946,231,9328.833,+4.00
2018,0,29485,Brett Stegmaier,"40' 5""",93593,193,7799.417,+28.00
2018,0,28775,Nate Lashley,"40' 8""",64434,132,5369.5,+6.00
2018,0,27141,J.B. Holmes,"40' 9""",128186,262,10682.167,+4.00
2018,0,47959,Bryson DeChambeau,"40' 10""",130359,266,10863.25,+12.00
2018,0,22405,Justin Rose,"40' 10""",79908,163,6659.0,+1.00
2018,0,25818,Scott Piercy,"40' 11""",120772,246,10064.333,+31.00
2018,0,1810,Phil Mickelson,"41' 2""",152187,308,12682.25,+6.00
2018,0,34046,Jordan Spieth,"41' 3""",114739,232,9561.583,+9.00
2018,0,30944,Jason Kokrak,"41' 7""",178083,357,14840.25,E
2018,0,12510,Chad Campbell,"41' 8""",111494,223,9291.167,+14.00
2018,0,20229,Stewart Cink,"42' 0""",125526,249,10460.5,+8.00
2018,0,39997,Corey Conners,"42' 0""",135443,269,11286.917,+35.00
2018,0,27644,Brian Harman,"42' 0""",105308,209,8775.667,+25.00
2018,0,23621,Rory Sabbatini,"42' 0""",130138,258,10844.833,+2.00
2018,0,35461,Beau Hossler,"42' 1""",149054,295,12421.167,+27.00
2018,0,35891,Cameron Smith,"42' 2""",120862,239,10071.833,+8.00
2018,0,34563,Chesson Hadley,"42' 3""",154566,305,12880.5,+33.00
2018,0,26476,Chez Reavie,"42' 3""",74586,147,6215.5,+21.00
2018,0,30692,Scott Stallings,"42' 3""",160822,317,13401.833,+20.00
2018,0,29908,C.T. Pan,"42' 4""",123459,243,10288.25,+34.00
2018,0,32366,Kevin Chappell,"42' 6""",105038,206,8753.167,+26.00
2018,0,26331,Charl Schwartzel,"42' 6""",78565,154,6547.083,+19.00
2018,0,45526,Abraham Ancer,"42' 7""",155465,304,12955.417,+20.00
2018,0,46601,Trey Mullinax,"42' 7""",127153,249,10596.083,+15.00
2018,0,34363,Tyrrell Hatton,"42' 8""",75742,148,6311.833,+8.00
2018,0,27936,Martin Laird,"42' 8""",104426,204,8702.167,+15.00
2018,0,23541,Ben Crane,"42' 9""",77972,152,6497.667,+22.00
2018,0,20157,Retief Goosen,"42' 9""",85182,166,7098.5,+23.00
2018,0,32757,Patton Kizzire,"42' 9""",166834,325,13902.833,+23.00
2018,0,22056,Cameron Percy,"42' 10""",81776,159,6814.667,+11.00
2018,0,26329,Louis Oosthuizen,"42' 11""",75142,146,6261.833,+18.00
2018,0,37338,Zecheng Dou,"43' 0""",87124,169,7260.333,+34.00
2018,0,26758,David Hearn,"43' 0""",86653,168,7221.083,+25.00
2018,0,27129,Luke List,"43' 0""",178131,345,14844.25,+16.00
2018,0,50526,Tom Lovelady,"43' 0""",162576,315,13548.0,+26.00
2018,0,46435,Austin Cook,"43' 1""",139051,269,11587.583,+36.00
2018,0,31416,Derek Fathauer,"43' 1""",156027,302,13002.25,+46.00
2018,0,22371,Aaron Baddeley,"43' 2""",158098,305,13174.833,+25.00
2018,0,25364,Paul Casey,"43' 2""",87573,169,7297.75,+14.00
2018,0,29725,Tony Finau,"43' 2""",180146,348,15012.167,+20.00
2018,0,30926,Chris Kirk,"43' 2""",164875,318,13739.583,+18.00
2018,0,33141,Keegan Bradley,"43' 3""",112714,217,9392.833,+20.00
2018,0,23108,Matt Kuchar,"43' 3""",108381,209,9031.75,+12.00
2018,0,29484,Peter Uihlein,"43' 3""",148491,286,12374.25,+24.00
2018,0,27095,Nick Watney,"43' 4""",150688,290,12557.333,+19.00
2018,0,24925,Jonathan Byrd,"43' 5""",96453,185,8037.75,+17.00
2018,0,25892,Steve Wheatcroft,"43' 5""",74961,144,6246.75,+26.00
2018,0,21961,Charles Howell III,"43' 6""",133661,256,11138.417,+18.00
2018,0,29461,Jamie Lovemark,"43' 8""",166064,317,13838.667,+9.00
2018,0,25632,Jimmy Walker,"43' 8""",143963,275,11996.917,+35.00
2018,0,23320,Ryan Palmer,"43' 9""",112930,215,9410.833,+30.00
2018,0,34021,Bud Cauley,"43' 10""",78335,149,6527.917,+8.00
2018,0,39328,Conrad Shindler,"43' 10""",77912,148,6492.667,+25.00
2018,0,36689,Brooks Koepka,"43' 11""",119088,226,9924.0,+21.00
2018,0,33418,Shawn Stefani,"43' 11""",129009,245,10750.75,+21.00
2018,0,24924,Bill Haas,"44' 0""",136758,259,11396.5,+9.00
2018,0,27649,Brandt Snedeker,"44' 0""",130860,248,10905.0,+9.00
2018,0,35376,Roberto Díaz,"44' 1""",112744,213,9395.333,+40.00
2018,0,12716,Charley Hoffman,"44' 1""",131805,249,10983.75,+21.00
2018,0,36799,Stephan Jaeger,"44' 1""",141342,267,11778.5,+7.00
2018,0,32839,Hideki Matsuyama,"44' 1""",107452,203,8954.333,+30.00
2018,0,20572,Rod Pampling,"44' 1""",79908,151,6659.0,+20.00
2018,0,35310,Lanto Griffin,"44' 2""",146165,276,12180.417,+12.00
2018,0,20472,Alex Cejka,"44' 3""",107764,203,8980.333,+22.00
2018,0,45609,Tyler Duncan,"44' 3""",135385,255,11282.083,+32.00
2018,0,34213,Grayson Murray,"44' 3""",123160,232,10263.333,+35.00
2018,0,49964,Aaron Wise,"44' 3""",129667,244,10805.583,+35.00
2018,0,19803,Ryan Armour,"44' 4""",118065,222,9838.75,+11.00
2018,0,29268,Bronson Burgoon,"44' 4""",104299,196,8691.583,+34.00
2018,0,37455,Si Woo Kim,"44' 4""",151028,284,12585.667,+29.00
2018,0,28237,Rory McIlroy,"44' 4""",105817,199,8818.083,+22.00
2018,0,24140,Sean O'Hair,"44' 4""",119221,224,9935.083,+30.00
2018,0,28252,Seamus Power,"44' 4""",151623,285,12635.25,+20.00
2018,0,39546,Keith Mitchell,"44' 5""",169543,318,14128.583,+16.00
2018,0,26596,Ryan Moore,"44' 5""",92718,174,7726.5,+12.00
2018,0,24361,Pat Perez,"44' 5""",92220,173,7685.0,+27.00
2018,0,27556,Ted Potter Jr.,"44' 6""",132404,248,11033.667,+37.00
2018,0,39324,J.J. Spaun,"44' 6""",120660,226,10055.0,+31.00
2018,0,34264,Hudson Swafford,"44' 6""",74722,140,6226.833,-2.00
2018,0,27958,Ryan Blaum,"44' 7""",140834,263,11736.167,+35.00
2018,0,31560,Brian Stuard,"44' 7""",121015,226,10084.583,+35.00
2018,0,28307,Matt Every,"44' 8""",138191,258,11515.917,+53.00
2018,0,29420,Billy Horschel,"44' 8""",124826,233,10402.167,+20.00
2018,0,29478,Kevin Kisner,"44' 9""",111094,207,9257.833,+26.00
2018,0,33122,Russell Knox,"44' 9""",102559,191,8546.583,+18.00
2018,0,27895,Jonas Blixt,"44' 10""",105498,196,8791.5,+4.00
2018,0,28679,Fabián Gómez,"44' 10""",136540,254,11378.333,+34.00
2018,0,29223,Sam Saunders,"44' 10""",143707,267,11975.583,+28.00
2018,0,32333,Kevin Tway,"44' 10""",207704,386,17308.667,+31.00
2018,0,26851,Marc Leishman,"44' 11""",142869,265,11905.75,+40.00
2018,0,35544,Andrew Yun,"44' 11""",80364,149,6697.0,+33.00
2018,0,34409,David Lingmerth,"45' 0""",102506,190,8542.167,+11.00
2018,0,27942,Rob Oppenheim,"45' 0""",121601,225,10133.417,+42.00
2018,0,29518,Brendan Steele,"45' 0""",102617,190,8551.417,+18.00
2018,0,22582,Kyle Thompson,"45' 0""",69605,129,5800.417,+17.00
2018,0,35545,Blayne Barber,"45' 1""",109182,202,9098.5,+26.00
2018,0,28500,Martin Flores,"45' 1""",161632,299,13469.333,+45.00
2018,0,46402,Talor Gooch,"45' 1""",152662,282,12721.833,+37.00
2018,0,34466,Peter Malnati,"45' 1""",154648,286,12887.333,+33.00
2018,0,46970,Jon Rahm,"45' 1""",96368,178,8030.667,+27.00
2018,0,37275,Sam Ryder,"45' 1""",119097,220,9924.75,+28.00
2018,0,46501,Ollie Schniederjans,"45' 1""",188374,348,15697.833,+52.00
2018,0,33448,Justin Thomas,"45' 1""",138573,256,11547.75,+3.00
2018,0,23353,J.J. Henry,"45' 2""",107879,199,8989.917,+20.00
2018,0,25198,Francesco Molinari,"45' 2""",89471,165,7455.917,+30.00
2018,0,25900,Lucas Glover,"45' 3""",81972,151,6831.0,+16.00
2018,0,35532,Tom Hoge,"45' 3""",149831,276,12485.917,+34.00
2018,0,26300,Matt Jones,"45' 3""",99853,184,8321.083,+37.00
2018,0,35879,Kelly Kraft,"45' 4""",132826,244,11068.833,+46.00
2018,0,47993,Denny McCarthy,"45' 4""",88670,163,7389.167,+20.00
2018,0,24502,Adam Scott,"45' 4""",94175,173,7847.917,+18.00
2018,0,23325,Vaughn Taylor,"45' 4""",114680,211,9556.667,+27.00
2018,0,31323,Gary Woodland,"45' 4""",131726,242,10977.167,+15.00
2018,0,24358,Robert Garrigus,"45' 5""",146725,269,12227.083,+13.00
2018,0,35421,Brandon Harkins,"45' 5""",202163,371,16846.917,+43.00
2018,0,33399,Adam Hadwin,"45' 6""",104321,191,8693.417,+28.00
2018,0,31420,Anirban Lahiri,"45' 7""",137361,251,11446.75,+42.00
2018,0,49771,J.T. Poston,"45' 7""",123117,225,10259.75,+40.00
2018,0,30911,Tommy Fleetwood,"45' 8""",99689,182,8307.417,+32.00
2018,0,26951,Johnson Wagner,"45' 8""",103505,189,8625.417,+18.00
2018,0,40058,Zac Blair,"45' 9""",103817,189,8651.417,+33.00
2018,0,29222,Billy Hurley III,"45' 10""",125465,228,10455.417,+46.00
2018,0,33204,Shane Lowry,"45' 10""",99030,180,8252.5,+38.00
2018,0,24024,Zach Johnson,"46' 0""",124857,226,10404.75,+21.00
2018,0,27963,Chris Stroud,"46' 0""",120274,218,10022.833,+27.00
2018,0,34098,Russell Henley,"46' 2""",84801,153,7066.75,+30.00
2018,0,21528,Henrik Stenson,"46' 2""",44914,81,3742.833,-2.00
2018,0,33948,Byeong Hun An,"46' 3""",148664,268,12388.667,+35.00
2018,0,35450,Patrick Cantlay,"46' 3""",125914,227,10492.833,+9.00
2018,0,29926,Danny Lee,"46' 3""",125915,227,10492.917,+27.00
2018,0,37278,Nicholas Lindheim,"46' 3""",131432,237,10952.667,+37.00
2018,0,48084,Wesley Bryan,"46' 4""",111765,201,9313.75,+51.00
2018,0,34431,Robert Streb,"46' 4""",137248,247,11437.333,+37.00
2018,0,28132,Tyrone Van Aswegen,"46' 4""",176886,318,14740.5,+48.00
2018,0,40009,Dominic Bozzelli,"46' 5""",135425,243,11285.417,+12.00
2018,0,34174,John Huh,"46' 5""",152101,273,12675.083,+39.00
2018,0,25686,Jason Dufner,"46' 6""",92699,166,7724.917,+21.00
2018,0,32448,James Hahn,"46' 6""",119459,214,9954.917,+30.00
2018,0,32640,Troy Merritt,"46' 6""",135684,243,11307.0,+26.00
2018,0,25240,D.A. Points,"46' 6""",96548,173,8045.667,+9.00
2018,0,32150,Michael Thompson,"46' 7""",92298,165,7691.5,+22.00
2018,0,30978,Kiradech Aphibarnrat,"46' 9""",57173,102,4764.417,+16.00
2018,0,34360,Patrick Reed,"46' 9""",152000,271,12666.667,+17.00
2018,0,32102,Rickie Fowler,"46' 10""",106804,190,8900.333,+30.00
2018,0,8793,Tiger Woods,"46' 10""",111180,198,9265.0,+26.00
2018,0,32876,Martin Piller,"47' 0""",147725,262,12310.417,+56.00
2018,0,31202,William McGirt,"47' 1""",166818,295,13901.5,+28.00
2018,0,25396,Kevin Na,"47' 1""",136816,242,11401.333,+39.00
2018,0,34358,Jonathan Randolph,"47' 1""",122579,217,10214.917,+33.00
2018,0,47347,Adam Schenk,"47' 1""",152477,270,12706.417,+35.00
2018,0,37189,Harold Varner III,"47' 1""",166710,295,13892.5,+58.00
2018,0,33413,Ben Martin,"47' 2""",105837,187,8819.75,+37.00
2018,0,29535,Brice Garnett,"47' 3""",160396,283,13366.333,+47.00
2018,0,19846,Brian Gay,"47' 3""",145757,257,12146.417,+55.00
2018,0,35506,Mackenzie Hughes,"47' 3""",133742,236,11145.167,+34.00
2018,0,24781,Hunter Mahan,"47' 3""",102569,181,8547.417,+18.00
2018,0,48081,Xander Schauffele,"47' 3""",146881,259,12240.083,+44.00
2018,0,47125,Matt Atkins,"47' 4""",95350,168,7945.833,+12.00
2018,0,26499,Rafa Cabrera Bello,"47' 4""",79581,140,6631.75,+19.00
2018,0,40026,Daniel Berger,"47' 5""",112122,197,9343.5,+19.00
2018,0,37454,Whee Kim,"47' 5""",146840,258,12236.667,+54.00
2018,0,25572,Graeme McDowell,"47' 6""",93508,164,7792.333,+16.00
2018,0,34256,Andrew Putnam,"47' 7""",176436,309,14703.0,+22.00
2018,0,29221,Webb Simpson,"47' 7""",164567,288,13713.917,+12.00
2018,0,47128,Richy Werenski,"47' 7""",135960,238,11330.0,+49.00
2018,0,39975,Michael Kim,"47' 8""",120682,211,10056.833,+39.00
2018,0,28089,Jason Day,"47' 9""",109396,191,9116.333,+25.00
2018,0,24846,Ricky Barnes,"47' 11""",132921,231,11076.75,+19.00
2018,0,30110,Kyle Stanley,"47' 11""",99457,173,8288.083,+35.00
2018,0,27064,Jhonattan Vegas,"47' 11""",156489,272,13040.75,+28.00
2018,0,33419,Cameron Tringale,"48' 0""",133116,231,11093.0,+53.00
2018,0,29974,Branden Grace,"48' 4""",98589,170,8215.75,+32.00
2018,0,39327,Ben Silverman,"48' 5""",150354,259,12529.5,+47.00
2018,0,25493,Nick Taylor,"48' 6""",158346,272,13195.5,+37.00
2018,0,32816,Satoshi Kodaira,"49' 1""",73627,125,6135.583,+38.00
2018,0,34099,Harris English,"49' 2""",146793,249,12232.75,+9.00
2018,0,29479,Scott Brown,"49' 3""",178970,303,14914.167,+52.00
2018,0,31646,Emiliano Grillo,"49' 4""",121324,205,10110.333,+21.00
2018,0,39954,Cody Gribble,"49' 5""",136486,230,11373.833,+41.00
2018,0,20593,Greg Chalmers,"49' 8""",96516,162,8043.0,+22.00
2018,0,10809,Jim Furyk,"49' 8""",83437,140,6953.083,+13.00
2018,0,32254,Xinjun Zhang,"49' 8""",110830,186,9235.833,+32.00
2018,0,27349,Alex Noren,"49' 10""",101717,170,8476.417,+19.00
2018,0,27974,Sung Kang,"50' 6""",162409,268,13534.083,+69.00
2018,0,25834,Daniel Summerhays,"50' 8""",102790,169,8565.833,+33.00
2018,0,36699,Patrick Rodgers,"51' 11""",154509,248,12875.75,+46.00
2017,0,30925,Dustin Johnson,"37' 10""",104940,231,8745.0,8.0
2017,0,34409,David Lingmerth,"39' 3""",106416,226,8868.0,14.0
2017,0,26289,Boo Weekley,"39' 7""",79721,168,6643.417,12.0
2017,0,34099,Harris English,"40' 0""",156936,327,13078.0,23.0
2017,0,46970,Jon Rahm,"40' 0""",114753,239,9562.75,-8.0
2017,0,27095,Nick Watney,"40' 1""",118260,246,9855.0,27.0
2017,0,30692,Scott Stallings,"40' 2""",132092,274,11007.667,53.0
2017,0,34046,Jordan Spieth,"40' 7""",118415,243,9867.917,-3.0
2017,0,27129,Luke List,"40' 8""",167013,342,13917.75,-1.0
2017,0,34021,Bud Cauley,"40' 9""",136544,279,11378.667,32.0
2017,0,25804,Bubba Watson,"41' 1""",95735,194,7977.917,21.0
2017,0,29221,Webb Simpson,"41' 2""",121101,245,10091.75,6.0
2017,0,33120,Mark Anderson,"41' 5""",85537,172,7128.083,16.0
2017,0,22371,Aaron Baddeley,"41' 5""",97986,197,8165.5,19.0
2017,0,23320,Ryan Palmer,"41' 6""",96161,193,8013.417,25.0
2017,0,20104,Ken Duke,"41' 8""",95497,191,7958.083,29.0
2017,0,28500,Martin Flores,"41' 8""",158501,317,13208.417,13.0
2017,0,1810,Phil Mickelson,"41' 8""",143969,288,11997.417,38.0
2017,0,28093,Miguel Angel Carballo,"41' 9""",89138,178,7428.167,31.0
2017,0,25632,Jimmy Walker,"41' 9""",100266,200,8355.5,34.0
2017,0,23621,Rory Sabbatini,"42' 0""",91294,181,7607.833,7.0
2017,0,24924,Bill Haas,"42' 1""",130164,258,10847.0,22.0
2017,0,33461,Morgan Hoffmann,"42' 1""",153433,304,12786.083,39.0
2017,0,35300,Andrew Loupe,"42' 1""",118189,234,9849.083,38.0
2017,0,25686,Jason Dufner,"42' 2""",125075,247,10422.917,28.0
2017,0,31557,Jim Herman,"42' 2""",95149,188,7929.083,8.0
2017,0,27649,Brandt Snedeker,"42' 2""",68243,135,5686.917,15.0
2017,0,33448,Justin Thomas,"42' 2""",136539,270,11378.25,-5.0
2017,0,19803,Ryan Armour,"42' 3""",73587,145,6132.25,20.0
2017,0,27436,Graham DeLaet,"42' 4""",113680,224,9473.333,15.0
2017,0,26329,Louis Oosthuizen,"42' 4""",84290,166,7024.167,15.0
2017,0,27064,Jhonattan Vegas,"42' 5""",150551,296,12545.917,23.0
2017,0,29926,Danny Lee,"42' 6""",132496,260,11041.333,38.0
2017,0,32839,Hideki Matsuyama,"42' 6""",111673,219,9306.083,15.0
2017,0,28237,Rory McIlroy,"42' 6""",64257,126,5354.75,8.0
2017,0,48081,Xander Schauffele,"42' 8""",140868,275,11739.0,15.0
2017,0,24507,Jason Bohn,"42' 9""",118970,232,9914.167,38.0
2017,0,26331,Charl Schwartzel,"42' 9""",102511,200,8542.583,16.0
2017,0,29420,Billy Horschel,"42' 10""",152753,297,12729.417,47.0
2017,0,23108,Matt Kuchar,"42' 10""",114577,223,9548.083,32.0
2017,0,25198,Francesco Molinari,"42' 10""",82773,161,6897.75,29.0
2017,0,24361,Pat Perez,"42' 10""",137771,268,11480.917,26.0
2017,0,23983,Luke Donald,"42' 11""",75195,146,6266.25,18.0
2017,0,20157,Retief Goosen,"42' 11""",84474,164,7039.5,28.0
2017,0,26596,Ryan Moore,"42' 11""",96306,187,8025.5,37.0
2017,0,46601,Trey Mullinax,"42' 11""",166779,324,13898.25,27.0
2017,0,20771,Steven Alker,"43' 0""",73263,142,6105.25,18.0
2017,0,36801,Mark Hubbard,"43' 0""",123220,239,10268.333,38.0
2017,0,22046,Geoff Ogilvy,"43' 0""",123277,239,10273.083,21.0
2017,0,49771,J.T. Poston,"43' 1""",154583,299,12881.917,34.0
2017,0,34358,Jonathan Randolph,"43' 1""",90933,176,7577.75,32.0
2017,0,32200,Roberto Castro,"43' 2""",84984,164,7082.0,15.0
2017,0,34466,Peter Malnati,"43' 2""",130087,251,10840.583,30.0
2017,0,20593,Greg Chalmers,"43' 3""",132823,256,11068.583,35.0
2017,0,22405,Justin Rose,"43' 3""",100129,193,8344.083,8.0
2017,0,25720,Chad Collins,"43' 4""",111354,214,9279.5,30.0
2017,0,46550,Brandon Hagy,"43' 4""",165467,318,13788.917,7.0
2017,0,25396,Kevin Na,"43' 4""",121122,233,10093.5,5.0
2017,0,32333,Kevin Tway,"43' 4""",172698,332,14391.5,44.0
2017,0,35532,Tom Hoge,"43' 5""",86409,166,7200.75,24.0
2017,0,26951,Johnson Wagner,"43' 5""",106184,204,8848.667,28.0
2017,0,25900,Lucas Glover,"43' 6""",137411,263,11450.917,30.0
2017,0,25240,D.A. Points,"43' 6""",96092,184,8007.667,17.0
2017,0,26476,Chez Reavie,"43' 8""",113199,216,9433.25,24.0
2017,0,31420,Anirban Lahiri,"43' 9""",109146,208,9095.5,32.0
2017,0,24024,Zach Johnson,"43' 10""",101451,193,8454.25,27.0
2017,0,46501,Ollie Schniederjans,"43' 10""",195489,372,16290.75,44.0
2017,0,21209,Sergio Garcia,"43' 11""",85859,163,7154.917,23.0
2017,0,30926,Chris Kirk,"43' 11""",127641,242,10636.75,48.0
2017,0,35110,Brett Drewitt,"44' 0""",94575,179,7881.25,34.0
2017,0,12716,Charley Hoffman,"44' 0""",183916,348,15326.333,15.0
2017,0,29222,Billy Hurley III,"44' 0""",132540,251,11045.0,30.0
2017,0,33413,Ben Martin,"44' 0""",112481,213,9373.417,34.0
2017,0,25818,Scott Piercy,"44' 0""",102348,194,8529.0,37.0
2017,0,29518,Brendan Steele,"44' 1""",125893,238,10491.083,31.0
2017,0,25349,Tim Wilkinson,"44' 1""",85679,162,7139.917,15.0
2017,0,29740,Brad Fritsch,"44' 2""",96486,182,8040.5,32.0
2017,0,32448,James Hahn,"44' 2""",137812,260,11484.333,10.0
2017,0,28132,Tyrone Van Aswegen,"44' 3""",149856,282,12488.0,40.0
2017,0,24357,K.J. Choi,"44' 4""",91010,171,7584.167,25.0
