RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
73,0,33410,Andrew Landry,65
73,0,27129,Luke List,65
73,0,01706,Davis Love III,65
73,0,50526,Tom Lovelady,65
73,0,34466,Peter Malnati,65
73,0,28158,Steve Marino,65
73,0,47993,Denny McCarthy,65
73,0,01810,Phil Mickelson,65
73,0,48822,Sebastián Muñoz,65
73,0,45486,Joaquin Niemann,65
73,0,24140,Sean O'Hair,65
73,0,33968,Thorbjørn Olesen,65
73,0,26329,Louis Oosthuizen,65
73,0,23320,Ryan Palmer,65
73,0,28252,Seamus Power,65
73,0,53165,Doc Redman,65
73,0,34360,Patrick Reed,65
73,0,29223,Sam Saunders,65
73,0,47347,Adam Schenk,65
73,0,30786,Brady Schnell,65
73,0,06567,Vijay Singh,65
73,0,27649,Brandt Snedeker,65
73,0,33418,Shawn Stefani,65
73,0,34431,Robert Streb,65
73,0,25493,Nick Taylor,65
73,0,23325,Vaughn Taylor,65
73,0,33419,Cameron Tringale,65
73,0,25632,Jimmy Walker,65
73,0,48887,Matt Wallace,65
73,0,32139,Danny Willett,65
73,0,49964,Aaron Wise,65
73,0,56278,Matthew Wolff,65
133,0,33948,Byeong Hun An,66
133,0,22371,Aaron Baddeley,66
133,0,24846,Ricky Barnes,66
133,0,40026,Daniel Berger,66
133,0,47504,Sam Burns,66
133,0,24925,Jonathan Byrd,66
133,0,24357,K.J. Choi,66
133,0,20229,Stewart Cink,66
133,0,51766,Wyndham Clark,66
133,0,34076,Joel Dahmen,66
133,0,49633,Charlie Danielson,66
133,0,25686,Jason Dufner,66
133,0,30907,Rhys Enoch,66
133,0,28307,Matt Every,66
133,0,30736,Oscar Fraustro,66
133,0,52375,Doug Ghim,66
133,0,22892,Jason Gore,66
133,0,31646,Emiliano Grillo,66
133,0,34563,Chesson Hadley,66
133,0,20766,Padraig Harrington,66
133,0,49298,Kramer Hickok,66
133,0,12716,Charley Hoffman,66
133,0,27141,J.B. Holmes,66
133,0,47056,Rikuya Hoshino,66
133,0,27408,Martin Kaymer,66
133,0,37454,Whee Kim,66
133,0,36852,Jim Knous,66
133,0,31420,Anirban Lahiri,66
133,0,32640,Troy Merritt,66
