RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,30911,Tommy Fleetwood,$2094455,91239200,118206250
47,0,32254,Xinjun Zhang,$88000,0,8800000
49,0,33870,Ashun Wu,$80167,0,8016667
50,0,35261,Miguel Tabuena,$77411,3303600,4437500
51,0,35461,Beau Hossler,$77028,7702760
52,0,49298,Kramer Hickok,$75300,7530000
53,0,26328,Shaun Norris,$69250,2450000,4475000
54,0,33974,Dean Burmester,$67000,0,6700000
55,0,45988,Brett Coletta,$66410,6641000
56,0,39251,Ryan Ruffels,$65572,6557200
57,0,24179,David Drysdale,$64500,6450000
58,0,28937,George Coetzee,$62000,0,6200000
58,0,37338,Zecheng Dou,$62000,0,6200000
60,0,29078,Chan Shih-chang,$60570,1407000,4650000
61,0,31670,Matthew Griffin,$60106,1635600,4375000
62,0,37157,Renato Paratore,$60000,0,6000000
63,0,46048,Jordan Niebrugge,$58637,5863686
64,0,47994,Lee McCoy,$56667,5666700
65,0,34168,Soomin Lee,$56645,1302000,4362500
66,0,22983,Bradley Dredge,$55000,0,5500000
66,0,24748,WC Liang,$55000,0,5500000
68,0,34643,Michael Johnson,$54768,5476800
69,0,29930,Mike Hendry,$52000,0,5200000
70,0,26525,Grégory Bourdy,$51500,0,5150000
71,0,34261,Scott Langley,$49308,4930800
72,0,34579,Alexander Levy,$47750,0,4775000
72,0,35107,Jordan Zunic,$47750,0,4775000
74,0,19904,Paul Lawrie,$47500,0,4750000
75,0,36326,David Lipsky,$46625,0,4662500
76,0,35376,Roberto Díaz,$45625,0,4562500
77,0,34362,Laurie Canter,$45286,4528600
78,0,47996,Jack Maguire,$44975,4497500
79,0,24077,Matthew Millar,$44375,0,4437500
80,0,29670,Pablo Larrazabal,$44250,0,4425000
81,0,32979,Jacques Blaauw,$43000,0,4300000
82,0,45409,Huilin Zhang,$42500,0,4250000
83,0,35973,Nathan Holman,$42125,0,4212500
84,0,48117,Kurt Kitayama,$39257,3925714
85,0,39953,Chase Seiffert,$38047,3804660
86,0,49633,Charlie Danielson,$31302,3130200
87,0,46154,Yi Keun Chang,$31070,3107000
87,0,28751,Andrew Dodt,$31070,3107000
89,0,49932,Jonathan Garrick,$28490,2849002
90,0,47989,Sam Horsfield,$27904,2790400
91,0,47986,Rich Berberian Jr.,$26284,2628400
92,0,47363,Toby Tree,$25843,2584300
93,0,47741,Wesley McClain,$25744,2574400
94,0,24461,Thomas Aiken,$25026,2502600
95,0,29772,Michael Lorenzo-Vera,$24500,2450000
96,0,36799,Stephan Jaeger,$24301,2430075
96,0,23821,Yusaku Miyazato,$24301,2430075
98,0,47663,Kevin Dougherty,$23696,2369600
99,0,37094,Joseph Dean,$23556,2355600
100,0,34255,Joseph Bramlett,$23516,2351600
101,0,46402,Talor Gooch,$23213,2321300
102,0,47610,Tyler Light,$22971,2297100
103,0,29936,Ryan Fox,$22875,2287500
104,0,35731,Kent Bulle,$22850,2285000
105,0,29970,Dylan Frittelli,$20800,2080000
106,0,51766,Wyndham Clark,$16934,1693350
107,0,40162,Justin Lower,$16425,1642500
108,0,27330,Josh Teater,$16253,1625334
109,0,45526,Abraham Ancer,$15820,1582002
109,0,33667,Carlos Ortiz,$15820,1582002
111,0,28697,Gaganjeet Bhullar,$15750,1575000
112,0,39356,Alex Moon,$15375,1537500
113,0,40055,Daniel Obremski,$14981,1498100
114,0,31273,Gavin Kyle Green,$14070,1407000
115,0,25203,SSP Chawrasia,$13860,1386000
116,0,23699,Danny Chia,$12880,1288000
117,0,51316,Kenny Pigman,$12586,1258600
118,0,25108,Chip Deason,$12352,1235200
118,0,32698,Bobby Gates,$12352,1235200
120,0,45582,Jared Sawada,$12000,1200000
121,0,21409,Chris Evans,$11890,1189000
122,0,50666,Matt Gilchrest,$11326,1132600
122,0,33904,Grant Leaver,$11326,1132600
124,0,49303,Anders Albertson,$11280,1128000
124,0,37092,Hyung-Sung Kim,$11280,1128000
126,0,39004,Dru Love,$10788,1078800
127,0,47125,Matt Atkins,$8190,819000
128,0,49884,Cody Blick,$7128,712800
129,0,39460,Cyril Bouniol,$5790,579000
