RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
18,0,34264,Hudson Swafford,9,0,4,9,2019120
18,0,25632,Jimmy Walker,9,0,1,11,2019260
38,0,29479,Scott Brown,8,1,1,13,2019140
38,0,25364,Paul Casey,8,0,2,10,2019470
38,0,25686,Jason Dufner,8,2,2,2,2019360
38,0,06522,Ernie Els,8,1,1,3,2019080
38,0,30911,Tommy Fleetwood,8,0,1,18,2019050
38,0,29974,Branden Grace,8,3,1,15,2019150
38,0,37455,Si Woo Kim,8,0,2,17,2019320
38,0,33410,Andrew Landry,8,5,2,1,2019390
38,0,26851,Marc Leishman,8,4,1,17,2019360
38,0,29461,Jamie Lovemark,8,0,2,13,2019080
38,0,37380,Curtis Luck,8,0,1,12,2019180
38,0,32839,Hideki Matsuyama,8,1,1,18,2019460
38,0,48822,Sebastián Muñoz,8,0,2,2,2019120
38,0,26329,Louis Oosthuizen,8,0,2,5,2019230
38,0,22405,Justin Rose,8,2,4,12,2019340
38,0,35617,Martin Trainer,8,0,2,8,2019220
38,0,33419,Cameron Tringale,8,2,3,16,2019130
55,0,45526,Abraham Ancer,7,1,4,12,2019030
55,0,20098,Stuart Appleby,7,0,4,18,2019040
55,0,20229,Stewart Cink,7,0,3,6,2019150
55,0,23983,Luke Donald,7,0,1,18,2019280
55,0,32102,Rickie Fowler,7,0,1,8,2019470
55,0,21209,Sergio Garcia,7,7,1,4,2019430
55,0,20574,Mathew Goggin,7,7,1,4,2019300
55,0,34563,Chesson Hadley,7,1,1,11,2019010
55,0,33399,Adam Hadwin,7,1,4,12,2019030
55,0,46550,Brandon Hagy,7,0,2,15,2019310
55,0,35421,Brandon Harkins,7,2,1,1,2019280
55,0,49298,Kramer Hickok,7,0,1,6,2019200
55,0,21731,Freddie Jacobson,7,0,1,3,2019180
55,0,30925,Dustin Johnson,7,3,3,3,2019220
55,0,30711,Colt Knost,7,0,1,1,2019300
55,0,23108,Matt Kuchar,7,0,2,9,2019320
55,0,27936,Martin Laird,7,2,2,18,2019330
55,0,29926,Danny Lee,7,0,1,7,2019010
55,0,35296,Haotong Li,7,0,3,5,2019340
55,0,27129,Luke List,7,0,3,14,2019010
55,0,29772,Michael Lorenzo-Vera,7,0,1,4,2019320
55,0,01706,Davis Love III,7,0,1,1,2019120
55,0,50526,Tom Lovelady,7,2,2,4,2019300
55,0,28300,Joost Luiten,7,0,3,6,2019320
55,0,25396,Kevin Na,7,0,4,11,2019150
55,0,33667,Carlos Ortiz,7,0,1,9,2019400
55,0,29908,C.T. Pan,7,0,1,3,2019470
55,0,24361,Pat Perez,7,2,2,17,2019210
55,0,37275,Sam Ryder,7,3,2,17,2019210
55,0,23621,Rory Sabbatini,7,1,4,13,2019460
55,0,46501,Ollie Schniederjans,7,5,2,10,2019170
55,0,24502,Adam Scott,7,2,2,11,2019030
55,0,39327,Ben Silverman,7,3,4,9,2019280
55,0,29221,Webb Simpson,7,2,4,1,2019420
55,0,35891,Cameron Smith,7,0,1,13,2019430
55,0,34046,Jordan Spieth,7,1,4,16,2019280
55,0,34431,Robert Streb,7,0,2,17,2019120
55,0,31560,Brian Stuard,7,0,1,4,2019340
55,0,32150,Michael Thompson,7,0,2,10,2019230
55,0,32139,Danny Willett,7,0,3,1,2019420
55,0,37340,Chase Wright,7,0,2,14,2019260
96,0,30978,Kiradech Aphibarnrat,6,2,1,2,2019460
96,0,40026,Daniel Berger,6,4,2,10,2019200
96,0,27958,Ryan Blaum,6,0,3,12,2019210
96,0,39997,Corey Conners,6,0,2,7,2019460
96,0,28089,Jason Day,6,0,2,8,2019220
96,0,35376,Roberto Díaz,6,3,3,3,2019130
96,0,37273,Derek Ernst,6,0,2,15,2019040
96,0,30191,Julián Etulain,6,1,1,7,2019010
96,0,28307,Matt Every,6,1,4,7,2019160
96,0,40098,Matt Fitzpatrick,6,0,1,3,2019050
96,0,29970,Dylan Frittelli,6,2,2,13,2019350
96,0,29535,Brice Garnett,6,2,4,7,2019380
96,0,19846,Brian Gay,6,0,2,5,2019330
96,0,25900,Lucas Glover,6,0,2,9,2019470
96,0,12782,Tim Herron,6,1,4,15,2019330
96,0,27141,J.B. Holmes,6,0,1,2,2019460
96,0,39977,Max Homa,6,0,3,4,2019460
96,0,35461,Beau Hossler,6,3,3,15,2019260
