RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
50,0,01810,Phil Mickelson,22.14,155,700,-0.129
50,0,29289,S.Y. Noh,22.14,232,1048,-0.121
53,0,34099,Harris English,22.05,228,1034,-0.202
54,0,30852,Ryo Ishikawa,22.04,190,862,-0.168
55,0,35300,Andrew Loupe,21.89,153,699,-0.026
56,0,32839,Hideki Matsuyama,21.76,195,896,-0.236
57,0,32333,Kevin Tway,21.61,142,657,-0.113
58,0,32366,Kevin Chappell,21.58,262,1214,-0.168
59,0,21209,Sergio Garcia,21.25,119,560,-0.168
60,0,34360,Patrick Reed,21.10,219,1038,-0.164
61,0,24924,Bill Haas,20.94,240,1146,-0.208
62,0,22046,Geoff Ogilvy,20.90,213,1019,-0.113
63,0,25562,Andres Romero,20.87,210,1006,-0.133
64,0,34098,Russell Henley,20.68,218,1054,-0.170
65,0,27214,Kevin Streelman,20.60,173,840,-0.098
66,0,33418,Shawn Stefani,20.43,163,798,-0.172
67,0,01706,Davis Love III,20.21,177,876,-0.186
67,0,35541,John Peterson,20.21,155,767,-0.155
69,0,25686,Jason Dufner,20.07,118,588,-0.085
69,0,34046,Jordan Spieth,20.07,222,1106,-0.212
71,0,22371,Aaron Baddeley,20.05,165,823,-0.121
72,0,21528,Henrik Stenson,19.17,102,532,-0.147
73,0,27770,Camilo Villegas,19.11,224,1172,-0.138
74,0,22378,Trevor Immelman,19.10,179,937,-0.128
75,0,33413,Ben Martin,19.00,167,879,-0.132
76,0,27330,Josh Teater,18.97,198,1044,-0.126
77,0,28259,Sangmoon Bae,18.92,172,909,-0.163
78,0,06567,Vijay Singh,18.83,200,1062,-0.220
79,0,27644,Brian Harman,18.54,261,1408,-0.180
80,0,20396,Lee Westwood,18.44,111,602,-0.171
81,0,20229,Stewart Cink,18.43,185,1004,-0.189
82,0,23353,J.J. Henry,18.38,200,1088,-0.160
82,0,28486,Michael Putnam,18.38,233,1268,-0.197
84,0,23621,Rory Sabbatini,18.25,165,904,-0.182
85,0,34409,David Lingmerth,18.24,170,932,-0.106
86,0,35732,Wes Roach,18.22,127,697,-0.102
87,0,34563,Chesson Hadley,18.20,180,989,-0.144
88,0,24912,Will MacKenzie,18.01,183,1016,-0.115
89,0,30926,Chris Kirk,17.96,217,1208,-0.147
90,0,32448,James Hahn,17.81,181,1016,-0.122
91,0,22913,John Rollins,17.75,166,935,-0.090
92,0,23623,Bo Van Pelt,17.67,165,934,-0.164
93,0,27895,Jonas Blixt,17.58,106,603,-0.132
94,0,29221,Webb Simpson,17.57,182,1036,-0.049
95,0,25191,Gonzalo Fernandez-Castaño,17.39,168,966,-0.161
96,0,29740,Brad Fritsch,17.28,94,544,-0.223
97,0,20645,John Senden,17.11,193,1128,-0.161
98,0,29479,Scott Brown,16.87,196,1162,-0.097
99,0,24846,Ricky Barnes,16.82,183,1088,-0.246
100,0,26956,Bronson La'Cassie,16.50,83,503,-0.241
101,0,28307,Matt Every,16.48,149,904,-0.128
102,0,24138,Ian Poulter,16.38,94,574,-0.117
103,0,32150,Michael Thompson,16.31,137,840,-0.161
104,0,28475,Jeff Overton,16.30,150,920,-0.200
105,0,20157,Retief Goosen,16.19,176,1087,-0.159
105,0,24361,Pat Perez,16.19,169,1044,-0.107
107,0,29478,Kevin Kisner,16.09,157,976,-0.153
108,0,27963,Chris Stroud,15.89,160,1007,-0.238
