RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
71,0,01127,Danny Briggs,2
71,0,01133,Billy Ray Brown,2
71,0,01139,Olin Browne,2
71,0,01143,Brad Bryant,2
71,0,01150,George Burns,2
71,0,01154,Bill Buttner,2
71,0,01156,Curt Byrum,2
71,0,01181,Jon Chaffee,2
71,0,01200,Keith Clearwater,2
71,0,01214,Frank Conner,2
71,0,01219,John Cook,2
71,0,01266,Clark Dennis,2
71,0,01288,Ed Dougherty,2
71,0,09011,David Duval,2
71,0,01306,David Edwards,2
71,0,01320,Bob Estes,2
71,0,01331,Rick Fehr,2
71,0,01353,Bruce Fleisher,2
71,0,01376,Bob Friend,2
71,0,01378,David Frost,2
71,0,01381,Fred Funk,2
71,0,01385,Jim Gallagher Jr.,2
71,0,01390,Buddy Gardner,2
71,0,01408,Kelly Gibson,2
71,0,01414,Bob Gilder,2
71,0,01435,Wayne Grady,2
71,0,01443,Hubert Green,2
71,0,01444,Ken Green,2
71,0,01457,Jay Haas,2
71,0,06284,Jim Hallet,2
71,0,06575,Dudley Hart,2
71,0,01495,Morris Hatalsky,2
71,0,01512,Bunky Henry,2
71,0,06122,Greg Hickman,2
71,0,01549,Mike Hulbert,2
71,0,01550,Ed Humenik,2
71,0,01559,Hale Irwin,2
71,0,01569,Peter Jacobsen,2
71,0,01571,Barry Jaeckel,2
71,0,01633,Tom Kite,2
71,0,01662,Greg Ladehoff,2
71,0,06128,Steve Lamontagne,2
71,0,08277,Greg Lesher,2
71,0,01684,Rick Lewallen,2
71,0,01706,Davis Love III,2
71,0,01707,Steve Lowery,2
71,0,01724,Jeff Maggert,2
71,0,01736,Roger Maltbie,2
71,0,01748,Doug Martin,2
71,0,01755,Dick Mast,2
71,0,01782,Mike McCullough,2
71,0,01797,Rocco Mediate,2
71,0,01823,Larry Mize,2
71,0,01871,Mike Nicolette,2
71,0,01887,Mark O'Meara,2
71,0,01901,Jay Overton,2
71,0,01905,Joe Ozaki,2
71,0,01910,Arnold Palmer,2
71,0,01926,Steve Pate,2
71,0,01938,David Peoples,2
71,0,01943,Chris Perry,2
71,0,01946,Peter Persons,2
71,0,01952,Billy Pierot,2
71,0,01960,Don Pooley,2
71,0,01975,Tom Purtzer,2
71,0,01984,Sam Randolph,2
71,0,01996,Mike Reid,2
71,0,07327,Steven Richardson,2
71,0,02033,Dave Rummells,2
71,0,02041,Bill Sander,2
71,0,02067,Ted Schulz,2
71,0,02095,Larry Silveira,2
71,0,02100,Tim Simpson,2
71,0,02101,Joey Sindelar,2
71,0,02131,Mike Springer,2
71,0,02135,Mike Standly,2
71,0,02167,Mike Sullivan,2
71,0,06581,David Sutherland,2
71,0,02185,Lance Ten Broeck,2
71,0,02195,Leonard Thompson,2
71,0,02206,David Toms,2
71,0,02223,Bob Tway,2
71,0,10615,Darren Vaughn,2
71,0,02242,Lanny Wadkins,2
71,0,02246,Duffy Waldorf,2
71,0,02292,Bob Wolcott,2
71,0,02311,Kim Young,2
71,0,02313,Bruce Zabriski,2
71,0,02321,Fuzzy Zoeller,2
165,0,06142,Mitch Adcock,1
165,0,01024,Billy Andrade,1
165,0,01060,Dave Barr,1
165,0,08797,Bill Barrett,1
165,0,01093,Ronnie Black,1
165,0,01106,Jim Booros,1
165,0,06124,Patrick Burke,1
165,0,01157,Tom Byrum,1
165,0,01168,David Canipe,1
165,0,01191,Barry Cheesman,1
165,0,01239,Michael Cunning,1
165,0,06034,Marco Dawson,1
165,0,01284,Mike Donald,1
165,0,01303,Bob Eastwood,1
165,0,01305,Danny Edwards,1
165,0,06599,John Elliott,1
165,0,01346,Ed Fiori,1
165,0,01413,Larry Gilbert,1
165,0,01418,Bill Glasson,1
165,0,07571,Uly Grisette,1
