RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
102,0,02214,Kirk Triplett,20.00,24,120,+3.04
105,0,23778,Brad Adamonis,19.85,27,136,+3.52
105,0,01161,Mark Calcavecchia,19.85,27,136,+3.15
107,0,30711,Colt Knost,19.84,25,126,+3.56
108,0,26951,Johnson Wagner,19.75,32,162,+3.56
109,0,06197,Michael Allen,19.57,27,138,+3.37
110,0,25396,Kevin Na,19.54,34,174,+3.50
111,0,31416,Derek Fathauer,19.30,22,114,+3.41
112,0,07867,Woody Austin,19.05,32,168,+3.59
113,0,26498,Matt Weibring,18.64,22,118,+2.77
114,0,07457,Steve Flesch,18.49,27,146,+3.19
115,0,06004,Stephen Ames,18.46,24,130,+3.38
116,0,10117,Bob Heintz,18.18,20,110,+3.65
117,0,10585,Scott McCarron,18.13,33,182,+3.48
118,0,23718,Nathan Green,18.00,36,200,+3.28
119,0,23108,Matt Kuchar,17.95,28,156,+3.29
120,0,06527,Steve Stricker,17.91,24,134,+3.50
121,0,24361,Pat Perez,17.86,25,140,+3.48
122,0,08075,Jerry Kelly,17.68,29,164,+3.28
123,0,24138,Ian Poulter,17.39,16,92,+3.50
124,0,01320,Bob Estes,17.31,27,156,+3.37
125,0,24357,K.J. Choi,16.96,19,112,+3.21
126,0,23135,Tim Clark,16.91,23,136,+3.39
126,0,01577,Lee Janzen,16.91,23,136,+2.91
128,0,21731,Freddie Jacobson,16.88,26,154,+3.46
129,0,06621,Joe Durant,16.67,18,108,+2.50
129,0,06539,Rick Price,16.67,16,96,+3.06
131,0,01766,Billy Mayfair,16.44,24,146,+3.13
132,0,24503,Jeff Klauk,16.32,31,190,+3.48
133,0,24449,Parker McLachlin,16.20,23,142,+2.83
134,0,24507,Jason Bohn,15.91,28,176,+3.21
135,0,01473,Todd Hamilton,15.49,22,142,+3.27
136,0,20634,Peter Lonard,15.24,25,164,+2.64
137,0,22295,Darron Stiles,15.22,14,92,+2.86
138,0,23325,Vaughn Taylor,14.88,25,168,+3.60
139,0,21753,Brian Davis,14.65,29,198,+3.07
140,0,01941,Tom Pernice Jr.,14.63,24,164,+3.08
141,0,10733,Kent Jones,14.62,19,130,+2.74
142,0,01313,Steve Elkington,14.29,20,140,+2.95
143,0,28620,Aron Price,14.20,23,162,+2.74
144,0,01797,Rocco Mediate,14.18,19,134,+2.47
145,0,10809,Jim Furyk,14.08,20,142,+3.40
146,0,20498,Briny Baird,13.92,22,158,+2.86
146,0,20104,Ken Duke,13.92,22,158,+2.91
148,0,12705,Cliff Kresge,13.89,20,144,+2.20
149,0,23614,Rich Beem,13.77,19,138,+2.89
150,0,22621,Ben Curtis,13.46,14,104,+3.43
151,0,02206,David Toms,13.33,24,180,+3.29
152,0,10860,Justin Leonard,13.25,22,166,+3.55
153,0,22961,David Mathis,13.16,20,152,+2.80
153,0,23800,Bryce Molder,13.16,15,114,+2.73
155,0,24024,Zach Johnson,13.10,22,168,+2.82
155,0,02239,Scott Verplank,13.10,22,168,+3.55
157,0,25190,Jeff Quinney,12.82,20,156,+2.75
158,0,22548,Patrick Sheehan,12.79,11,86,+2.73
159,0,08931,Glen Day,12.68,18,142,+2.56
160,0,26668,Marc Turnesa,12.34,19,154,+2.63
161,0,27060,John Mallinger,12.20,20,164,+3.15
162,0,10423,Mike Weir,12.16,18,148,+2.94
163,0,21350,Ryuji Imada,12.00,18,150,+3.39
163,0,26476,Chez Reavie,12.00,18,150,+3.33
165,0,20160,Charlie Wi,11.67,21,180,+3.57
166,0,06643,Paul Goydos,11.64,17,146,+2.59
167,0,25240,D.A. Points,11.29,21,186,+2.33
168,0,27466,Spencer Levin,11.27,16,142,+3.19
169,0,20472,Alex Cejka,11.04,17,154,+2.59
170,0,20127,Chris Riley,10.56,15,142,+2.87
171,0,27649,Brandt Snedeker,9.86,14,142,+2.86
172,0,23983,Luke Donald,9.85,13,132,+3.31
173,0,06251,Chris DiMarco,9.68,18,186,+2.83
174,0,06012,Greg Kraft,8.89,8,90,+1.38
175,0,01677,Tom Lehman,8.14,7,86,+1.86
176,0,26420,Richard Johnson,8.13,13,160,+2.23
177,0,12602,Dean Wilson,7.79,12,154,+1.75
178,0,22348,Nick O'Hern,7.56,13,172,+2.15
179,0,01132,Mark Brooks,7.45,7,94,+2.00
180,0,30927,Brendon Todd,6.86,7,102,+2.14
181,0,01142,Bart Bryant,5.56,6,108,+1.50
182,0,01329,Brad Faxon,5.08,6,118,+2.67
183,0,19846,Brian Gay,2.84,5,176,+0.80
184,0,01928,Corey Pavin,.77,1,130,-10.00
