RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,ATTEMPTS
101,0,45242,Kevin Yu,+.098,82
103,0,20229,Stewart Cink,+.099,131
103,0,56762,Will Gordon,+.099,152
105,0,46970,Jon Rahm,+.101,109
106,0,34098,Russell Henley,+.103,97
106,0,37455,Si Woo Kim,+.103,116
108,0,31646,Emiliano Grillo,+.105,162
108,0,31323,Gary Woodland,+.105,133
108,0,54783,Dylan Wu,+.105,153
111,0,34099,Harris English,+.106,132
112,0,26476,Chez Reavie,+.107,140
113,0,12716,Charley Hoffman,+.110,82
113,0,30927,Brendon Todd,+.110,136
115,0,19803,Ryan Armour,+.111,90
115,0,46414,Aaron Rai,+.111,117
115,0,55454,Carl Yuan,+.111,153
118,0,35310,Lanto Griffin,+.115,61
118,0,25632,Jimmy Walker,+.115,139
120,0,36801,Mark Hubbard,+.116,129
121,0,47993,Denny McCarthy,+.117,145
122,0,47988,Nick Hardy,+.119,134
122,0,29908,C.T. Pan,+.119,59
124,0,49960,Sepp Straka,+.120,108
124,0,52374,Brandon Wu,+.120,133
126,0,34255,Joseph Bramlett,+.121,132
126,0,31577,Tano Goya,+.121,91
128,0,33399,Adam Hadwin,+.122,131
129,0,51890,Greyson Sigg,+.124,129
130,0,39975,Michael Kim,+.125,144
130,0,36326,David Lipsky,+.125,144
132,0,47079,Harrison Endycott,+.126,143
132,0,53165,Doc Redman,+.126,111
134,0,33122,Russell Knox,+.127,126
135,0,28775,Nate Lashley,+.128,149
136,0,28089,Jason Day,+.131,99
136,0,25686,Jason Dufner,+.131,137
138,0,48081,Xander Schauffele,+.132,121
139,0,52513,Carson Young,+.133,113
140,0,34256,Andrew Putnam,+.135,111
141,0,39546,Keith Mitchell,+.136,132
142,0,37338,Zecheng Dou,+.137,153
143,0,35449,Adam Long,+.138,123
144,0,39977,Max Homa,+.139,122
144,0,37275,Sam Ryder,+.139,165
146,0,29535,Brice Garnett,+.140,114
147,0,33204,Shane Lowry,+.141,85
148,0,56630,Akshay Bhatia,+.142,106
149,0,45609,Tyler Duncan,+.145,110
149,0,46441,Robby Shelton,+.145,166
151,0,32640,Troy Merritt,+.146,96
151,0,52411,Kyle Westmoreland,+.146,123
153,0,24925,Jonathan Byrd,+.147,68
154,0,47995,Davis Riley,+.150,127
155,0,31557,Jim Herman,+.151,93
156,0,27936,Martin Laird,+.152,99
157,0,32139,Danny Willett,+.153,85
158,0,23108,Matt Kuchar,+.154,130
159,0,58168,Davis Thompson,+.155,155
160,0,52453,Nicolai Hojgaard,+.156,64
161,0,45522,Christiaan Bezuidenhout,+.157,115
162,0,29289,S.Y. Noh,+.159,88
163,0,50525,Collin Morikawa,+.160,81
164,0,26596,Ryan Moore,+.161,93
165,0,55708,Hayden Buckley,+.162,99
166,0,40115,Adam Svensson,+.164,159
167,0,40006,Erik van Rooyen,+.167,120
168,0,55182,Tom Kim,+.173,98
169,0,50095,Austin Smotherman,+.174,155
170,0,39954,Cody Gribble,+.175,103
170,0,31202,William McGirt,+.175,57
172,0,48117,Kurt Kitayama,+.176,102
173,0,33410,Andrew Landry,+.177,79
173,0,47128,Richy Werenski,+.177,158
175,0,36871,Matt NeSmith,+.182,148
176,0,50493,Justin Suh,+.191,115
177,0,40162,Justin Lower,+.192,146
178,0,35901,Paul Haley II,+.197,117
179,0,24024,Zach Johnson,+.202,89
179,0,46442,Maverick McNealy,+.202,84
181,0,57362,Austin Eckroat,+.207,116
181,0,49766,Hank Lebioda,+.207,82
183,0,40058,Zac Blair,+.209,86
184,0,34409,David Lingmerth,+.210,105
185,0,34610,Matthias Schwab,+.211,133
186,0,51414,Brent Grant,+.213,94
186,0,27095,Nick Watney,+.213,108
188,0,33597,Harry Higgs,+.222,126
189,0,57366,Cameron Young,+.229,118
190,0,47504,Sam Burns,+.239,113
191,0,51349,Nico Echavarria,+.245,98
192,0,29970,Dylan Frittelli,+.252,127
193,0,51950,Max McGreevy,+.272,92
