RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
53,0,06522,Ernie Els,22.81,151,662
54,0,27064,Jhonattan Vegas,22.80,228,1000
55,0,36699,Patrick Rodgers,22.74,199,875
56,0,27895,Jonas Blixt,22.71,191,841
56,0,21731,Freddie Jacobson,22.71,208,916
58,0,27436,Graham DeLaet,22.64,173,764
59,0,25493,Nick Taylor,22.63,186,822
60,0,28114,Dawie van der Walt,22.62,157,694
61,0,28158,Steve Marino,22.60,158,699
62,0,23800,Bryce Molder,22.55,196,869
63,0,25686,Jason Dufner,22.53,233,1034
64,0,27936,Martin Laird,22.52,200,888
65,0,30926,Chris Kirk,22.46,219,975
66,0,22371,Aaron Baddeley,22.44,204,909
67,0,33419,Cameron Tringale,22.35,198,886
68,0,31202,William McGirt,22.34,263,1177
69,0,26951,Johnson Wagner,22.32,221,990
70,0,20472,Alex Cejka,22.29,154,691
71,0,28679,Fabián Gómez,22.27,210,943
72,0,25818,Scott Piercy,22.25,184,827
73,0,35539,Luke Guthrie,22.18,122,550
73,0,29461,Jamie Lovemark,22.18,232,1046
73,0,37189,Harold Varner III,22.18,222,1001
76,0,34409,David Lingmerth,22.14,182,822
77,0,27214,Kevin Streelman,22.10,187,846
78,0,33461,Morgan Hoffmann,22.09,165,747
79,0,26289,Boo Weekley,22.07,215,974
80,0,33204,Shane Lowry,22.06,105,476
81,0,26758,David Hearn,22.03,250,1135
82,0,31420,Anirban Lahiri,21.98,129,587
83,0,30163,Henrik Norlander,21.97,154,701
84,0,32200,Roberto Castro,21.93,271,1236
85,0,29222,Billy Hurley III,21.90,175,799
86,0,29223,Sam Saunders,21.87,143,654
87,0,32618,Rhein Gibson,21.83,112,513
88,0,06567,Vijay Singh,21.82,177,811
89,0,29720,Andres Gonzales,21.81,176,807
89,0,30944,Jason Kokrak,21.81,202,926
91,0,24357,K.J. Choi,21.78,201,923
92,0,35532,Tom Hoge,21.77,167,767
92,0,27466,Spencer Levin,21.77,248,1139
94,0,32366,Kevin Chappell,21.76,220,1011
95,0,33141,Keegan Bradley,21.75,186,855
95,0,30110,Kyle Stanley,21.75,236,1085
97,0,27963,Chris Stroud,21.69,193,890
98,0,31323,Gary Woodland,21.68,212,978
