RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
170,0,29725,Tony Finau,18.57,52,280
171,0,29974,Branden Grace,18.52,30,162
172,0,23983,Luke Donald,18.37,36,196
173,0,29720,Andres Gonzales,18.36,47,256
174,0,34174,John Huh,18.27,38,208
175,0,25572,Graeme McDowell,18.25,25,137
176,0,37189,Harold Varner III,18.15,55,303
177,0,34431,Robert Streb,17.55,43,245
178,0,10885,Robert Allenby,17.48,25,143
179,0,34261,Scott Langley,17.45,37,212
180,0,28092,D.H. Lee,17.44,30,172
181,0,23353,J.J. Henry,16.89,37,219
182,0,25274,Steven Bowditch,16.02,37,231
183,0,30944,Jason Kokrak,14.74,37,251
184,0,33418,Shawn Stefani,14.44,41,284
185,0,20848,Ángel Cabrera,13.86,23,166
