RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
93,0,24502,Adam Scott,39.66,514,1296
93,0,47128,Richy Werenski,39.66,614,1548
95,0,34256,Andrew Putnam,39.64,635,1602
96,0,32816,Satoshi Kodaira,39.62,542,1368
97,0,32102,Rickie Fowler,39.60,556,1404
98,0,40098,Matt Fitzpatrick,39.56,470,1188
98,0,46550,Brandon Hagy,39.56,527,1332
100,0,35449,Adam Long,39.55,598,1512
101,0,32254,Xinjun Zhang,39.54,484,1224
102,0,19803,Ryan Armour,39.53,555,1404
102,0,30926,Chris Kirk,39.53,612,1548
104,0,35658,Kris Ventura,39.52,498,1260
105,0,33667,Carlos Ortiz,39.49,654,1656
106,0,46970,Jon Rahm,39.47,547,1386
107,0,35506,Mackenzie Hughes,39.44,639,1620
108,0,46435,Austin Cook,39.43,511,1296
108,0,45486,Joaquin Niemann,39.43,724,1836
110,0,24924,Bill Haas,39.39,312,792
111,0,51894,Vince Whaley,39.38,567,1440
112,0,30692,Scott Stallings,39.33,538,1368
113,0,31323,Gary Woodland,39.29,495,1260
114,0,23108,Matt Kuchar,39.23,466,1188
115,0,26851,Marc Leishman,39.18,536,1368
116,0,50525,Collin Morikawa,39.17,550,1404
116,0,39953,Chase Seiffert,39.17,550,1404
118,0,48119,Ben Taylor,39.11,352,900
119,0,27554,Scott Harrington,39.10,556,1422
119,0,48887,Matt Wallace,39.10,373,954
121,0,25686,Jason Dufner,39.08,605,1548
121,0,29420,Billy Horschel,39.08,605,1548
123,0,33948,Byeong Hun An,39.02,590,1512
124,0,24024,Zach Johnson,38.96,589,1512
125,0,47347,Adam Schenk,38.94,715,1836
126,0,28089,Jason Day,38.89,455,1170
126,0,34098,Russell Henley,38.89,588,1512
126,0,35230,Nelson Ledesma,38.89,336,864
126,0,29518,Brendan Steele,38.89,532,1368
126,0,32150,Michael Thompson,38.89,518,1332
131,0,30944,Jason Kokrak,38.76,614,1584
132,0,29970,Dylan Frittelli,38.66,501,1296
133,0,39997,Corey Conners,38.62,723,1872
134,0,53165,Doc Redman,38.60,528,1368
135,0,26499,Rafa Cabrera Bello,38.59,514,1332
135,0,21209,Sergio Garcia,38.59,514,1332
137,0,34174,John Huh,38.51,402,1044
138,0,27974,Sung Kang,38.50,596,1548
139,0,32448,James Hahn,38.49,485,1260
140,0,33486,Roger Sloan,38.48,568,1476
140,0,56278,Matthew Wolff,38.48,381,990
142,0,27129,Luke List,38.45,616,1602
143,0,20396,Lee Westwood,38.44,429,1116
144,0,30911,Tommy Fleetwood,38.43,415,1080
145,0,39975,Michael Kim,38.41,477,1242
146,0,29908,C.T. Pan,38.33,552,1440
147,0,40042,Tyler McCumber,38.32,469,1224
148,0,27330,Josh Teater,38.31,331,864
149,0,25364,Paul Casey,38.27,496,1296
150,0,21961,Charles Howell III,38.25,482,1260
151,0,26331,Charl Schwartzel,38.24,592,1548
152,0,29926,Danny Lee,38.23,406,1062
153,0,27064,Jhonattan Vegas,38.19,605,1584
154,0,45609,Tyler Duncan,38.15,618,1620
155,0,27214,Kevin Streelman,38.14,659,1728
156,0,33413,Ben Martin,38.11,343,900
157,0,28775,Nate Lashley,38.08,521,1368
157,0,33204,Shane Lowry,38.08,521,1368
159,0,32333,Kevin Tway,37.99,424,1116
160,0,49964,Aaron Wise,37.92,546,1440
161,0,23623,Bo Van Pelt,37.89,491,1296
162,0,32662,Michael Gligic,37.85,545,1440
163,0,37189,Harold Varner III,37.84,613,1620
164,0,24140,Sean O'Hair,37.80,347,918
165,0,20229,Stewart Cink,37.72,611,1620
166,0,23788,D.J. Trahan,37.71,448,1188
167,0,33120,Mark Anderson,37.70,380,1008
168,0,36699,Patrick Rodgers,37.69,692,1836
169,0,33122,Russell Knox,37.62,623,1656
170,0,34264,Hudson Swafford,37.53,554,1476
171,0,31646,Emiliano Grillo,37.50,648,1728
172,0,49298,Kramer Hickok,37.04,460,1242
173,0,37275,Sam Ryder,37.02,573,1548
174,0,39324,J.J. Spaun,36.96,479,1296
175,0,56762,Will Gordon,36.87,584,1584
176,0,35104,Tom Lewis,36.81,530,1440
177,0,33490,Bo Hoag,36.78,576,1566
178,0,47483,Will Zalatoris,36.72,575,1566
179,0,27936,Martin Laird,36.67,528,1440
180,0,23983,Luke Donald,36.51,368,1008
181,0,28420,Ryan Brehm,36.49,381,1044
182,0,22056,Cameron Percy,36.15,501,1386
183,0,26476,Chez Reavie,36.11,546,1512
184,0,33141,Keegan Bradley,36.05,558,1548
185,0,30110,Kyle Stanley,35.86,581,1620
186,0,52372,Cameron Champ,35.70,482,1350
187,0,30163,Henrik Norlander,35.58,538,1512
