RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
69,0,34264,Hudson Swafford,682
71,0,35545,Blayne Barber,683
71,0,34174,John Huh,683
73,0,29484,Peter Uihlein,685
74,0,50526,Tom Lovelady,687
74,0,32333,Kevin Tway,687
76,0,29926,Danny Lee,693
77,0,26596,Ryan Moore,695
78,0,45526,Abraham Ancer,711
78,0,26476,Chez Reavie,711
80,0,27644,Brian Harman,717
81,0,19803,Ryan Armour,719
82,0,35310,Lanto Griffin,720
83,0,29485,Brett Stegmaier,726
84,0,24138,Ian Poulter,729
85,0,46601,Trey Mullinax,735
86,0,40026,Daniel Berger,736
87,0,46501,Ollie Schniederjans,738
88,0,37189,Harold Varner III,742
89,0,23108,Matt Kuchar,744
90,0,24781,Hunter Mahan,748
91,0,32366,Kevin Chappell,752
92,0,32757,Patton Kizzire,755
93,0,23541,Ben Crane,756
94,0,32150,Michael Thompson,758
94,0,27095,Nick Watney,758
96,0,27349,Alex Noren,762
97,0,34098,Russell Henley,763
97,0,24361,Pat Perez,763
99,0,27214,Kevin Streelman,768
100,0,26329,Louis Oosthuizen,771
101,0,39997,Corey Conners,772
102,0,25818,Scott Piercy,778
103,0,23325,Vaughn Taylor,779
104,0,29518,Brendan Steele,782
105,0,37454,Whee Kim,785
106,0,27958,Ryan Blaum,790
107,0,34363,Tyrrell Hatton,795
108,0,35532,Tom Hoge,797
109,0,34256,Andrew Putnam,799
110,0,33204,Shane Lowry,805
111,0,12716,Charley Hoffman,808
111,0,33413,Ben Martin,808
113,0,29478,Kevin Kisner,809
114,0,24925,Jonathan Byrd,811
115,0,45609,Tyler Duncan,817
116,0,34409,David Lingmerth,823
116,0,28252,Seamus Power,823
118,0,32254,Xinjun Zhang,826
119,0,34466,Peter Malnati,830
120,0,30692,Scott Stallings,833
121,0,25900,Lucas Glover,834
122,0,30978,Kiradech Aphibarnrat,835
122,0,34213,Grayson Murray,835
122,0,25632,Jimmy Walker,835
125,0,26758,David Hearn,838
126,0,40058,Zac Blair,847
127,0,27556,Ted Potter Jr.,852
128,0,24846,Ricky Barnes,853
128,0,33399,Adam Hadwin,853
128,0,39328,Conrad Shindler,853
131,0,34099,Harris English,855
132,0,47993,Denny McCarthy,857
133,0,33418,Shawn Stefani,862
134,0,33410,Andrew Landry,881
135,0,34021,Bud Cauley,887
136,0,31420,Anirban Lahiri,893
137,0,24140,Sean O'Hair,902
138,0,47128,Richy Werenski,903
139,0,28679,Fabián Gómez,908
140,0,28775,Nate Lashley,913
141,0,22371,Aaron Baddeley,918
142,0,39327,Ben Silverman,922
143,0,31560,Brian Stuard,923
144,0,29535,Brice Garnett,926
145,0,46402,Talor Gooch,927
146,0,37278,Nicholas Lindheim,948
147,0,31202,William McGirt,956
148,0,25493,Nick Taylor,963
149,0,24358,Robert Garrigus,974
149,0,27963,Chris Stroud,974
151,0,24924,Bill Haas,975
152,0,28307,Matt Every,980
153,0,35506,Mackenzie Hughes,985
154,0,27942,Rob Oppenheim,990
155,0,37455,Si Woo Kim,996
155,0,47287,Ethan Tracy,996
157,0,40009,Dominic Bozzelli,997
158,0,25892,Steve Wheatcroft,1006
