RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
61,0,58168,Davis Thompson,65
61,0,32150,Michael Thompson,65
61,0,40006,Erik van Rooyen,65
61,0,25632,Jimmy Walker,65
61,0,58967,Trevor Werbylo,65
61,0,47128,Richy Werenski,65
61,0,52411,Kyle Westmoreland,65
61,0,51894,Vince Whaley,65
61,0,32139,Danny Willett,65
61,0,31323,Gary Woodland,65
61,0,52374,Brandon Wu,65
61,0,54783,Dylan Wu,65
61,0,45242,Kevin Yu,65
124,0,28259,Sangmoon Bae,66
124,0,24925,Jonathan Byrd,66
124,0,20593,Greg Chalmers,66
124,0,52372,Cameron Champ,66
124,0,39997,Corey Conners,66
124,0,39067,MJ Daffue,66
124,0,34076,Joel Dahmen,66
124,0,45157,Cam Davis,66
124,0,33653,Thomas Detry,66
124,0,57362,Austin Eckroat,66
124,0,27896,Ross Fisher,66
124,0,51414,Brent Grant,66
124,0,39954,Cody Gribble,66
124,0,35310,Lanto Griffin,66
124,0,32448,James Hahn,66
124,0,35901,Paul Haley II,66
124,0,27644,Brian Harman,66
124,0,27554,Scott Harrington,66
124,0,64594,Angel Hidalgo Portillo,66
124,0,54421,Garrick Higgo,66
124,0,54628,Lee Hodges,66
124,0,39977,Max Homa,66
124,0,35506,Mackenzie Hughes,66
124,0,27974,Sung Kang,66
124,0,37455,Si Woo Kim,66
124,0,35879,Kelly Kraft,66
124,0,58696,Peter Kuest,66
124,0,34317,Joakim Lagergren,66
124,0,27936,Martin Laird,66
124,0,33410,Andrew Landry,66
124,0,26596,Ryan Moore,66
124,0,63121,William Mouw,66
124,0,49228,Keita Nakajima,66
124,0,29908,C.T. Pan,66
124,0,28252,Seamus Power,66
124,0,34256,Andrew Putnam,66
124,0,36699,Patrick Rodgers,66
124,0,22405,Justin Rose,66
124,0,34371,Adrien Saddier,66
124,0,47347,Adam Schenk,66
124,0,47888,Taiga Semikawa,66
124,0,50095,Austin Smotherman,66
124,0,30692,Scott Stallings,66
124,0,29518,Brendan Steele,66
124,0,55893,Sam Stevens,66
124,0,48119,Ben Taylor,66
124,0,57364,Michael Thorbjornsen,66
124,0,35617,Martin Trainer,66
124,0,32333,Kevin Tway,66
124,0,48640,Johannes Veerman,66
124,0,27064,Jhonattan Vegas,66
124,0,48887,Matt Wallace,66
124,0,50154,Joseph Winslow,66
177,0,33408,Tyson Alexander,67
177,0,52096,Adri Arnaus,67
177,0,49117,Isidro Benitez,67
177,0,55930,Fred Biondi,67
177,0,33141,Keegan Bradley,67
177,0,34255,Joseph Bramlett,67
177,0,60004,Jacob Bridgeman,67
177,0,55708,Hayden Buckley,67
177,0,33974,Dean Burmester,67
177,0,49453,Trevor Cone,67
177,0,46435,Austin Cook,67
177,0,23541,Ben Crane,67
177,0,28089,Jason Day,67
177,0,35376,Roberto Díaz,67
177,0,29535,Brice Garnett,67
177,0,59018,Ryan Gerard,67
177,0,56266,Deon Germishuys,67
177,0,32662,Michael Gligic,67
177,0,28679,Fabián Gómez,67
177,0,55165,Noah Goodwin,67
177,0,34363,Tyrrell Hatton,67
177,0,23353,J.J. Henry,67
177,0,24024,Zach Johnson,67
177,0,47917,Takumi Kanaya,67
177,0,48632,Yuto Katsuragawa,67
177,0,30926,Chris Kirk,67
177,0,48117,Kurt Kitayama,67
177,0,33122,Russell Knox,67
177,0,36884,Ben Kohles,67
177,0,28300,Joost Luiten,67
