RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
127,0,01938,David Peoples,66.61,814,1222
128,0,02007,Larry Rinker,66.57,687,1032
129,0,01707,Steve Lowery,66.18,867,1310
130,0,01887,Mark O'Meara,66.03,834,1263
131,0,01374,Robin Freeman,65.90,835,1267
132,0,07101,Dave Stockton Jr.,65.81,822,1249
133,0,12660,Jesper Parnevik,65.60,511,779
134,0,01313,Steve Elkington,65.51,568,867
135,0,01093,Ronnie Black,65.50,727,1110
136,0,02303,Robert Wrenn,65.33,471,721
137,0,02104,Jeff Sluman,65.13,833,1279
138,0,02049,Gene Sauers,65.12,745,1144
139,0,07781,Ty Armstrong,65.10,539,828
140,0,02294,Willie Wood,64.98,694,1068
141,0,06567,Vijay Singh,64.91,603,929
142,0,01161,Mark Calcavecchia,64.85,760,1172
143,0,01024,Billy Andrade,64.77,785,1212
144,0,02131,Mike Springer,64.70,757,1170
145,0,06062,Charles Raulerson,64.69,557,861
146,0,01235,Ben Crenshaw,64.51,776,1203
147,0,02146,Payne Stewart,64.47,684,1061
148,0,02239,Scott Verplank,64.41,572,888
149,0,02206,David Toms,64.30,816,1269
150,0,06251,Chris DiMarco,63.99,766,1197
151,0,06791,Mark Wurtz,63.98,721,1127
152,0,01468,Gary Hallberg,63.83,690,1081
153,0,01156,Curt Byrum,63.64,716,1125
154,0,06058,John Flannery,63.30,826,1305
155,0,01810,Phil Mickelson,63.00,572,908
156,0,06332,Neal Lancaster,62.91,831,1321
157,0,01006,John Adams,62.86,716,1139
158,0,12663,Phil Tataurangi,62.79,577,919
159,0,06591,Rocky Walcher,62.47,556,890
160,0,02167,Mike Sullivan,62.21,614,987
161,0,01261,Jay Delsing,62.01,751,1211
162,0,01648,Billy Kratzert,61.80,592,958
163,0,02223,Bob Tway,61.47,686,1116
164,0,06350,Bob May,61.38,666,1085
165,0,02090,Tom Sieckmann,61.27,674,1100
166,0,01408,Kelly Gibson,61.15,790,1292
167,0,02067,Ted Schulz,61.04,655,1073
168,0,01706,Davis Love III,60.98,775,1271
169,0,01129,Bill Britton,60.85,575,945
170,0,01116,Michael Bradley,60.68,753,1241
171,0,06034,Marco Dawson,60.47,713,1179
172,0,01226,Fred Couples,60.08,429,714
173,0,01282,Trevor Dodds,59.96,659,1099
174,0,06577,John Wilson,59.91,698,1165
175,0,01096,Phil Blackmar,59.27,553,933
176,0,01927,Dennis Paulson,57.91,611,1055
177,0,02224,Greg Twiggs,57.71,513,889
178,0,12661,Todd Barranger,57.19,533,932
179,0,01133,Billy Ray Brown,52.34,402,768
