RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
66,0,01284,Mike Donald,67.38,1070,1588
67,0,02195,Leonard Thompson,67.29,864,1284
67,0,02279,Mark Wiebe,67.29,938,1394
69,0,01014,Fulton Allem,67.26,678,1008
69,0,01023,Jerry Anderson,67.26,526,782
71,0,01078,Jim Benepe,67.23,794,1181
72,0,01378,David Frost,67.07,770,1148
73,0,01313,Steve Elkington,67.06,900,1342
74,0,01489,Steve Hart,66.95,630,941
75,0,01390,Buddy Gardner,66.92,959,1433
76,0,01203,Russ Cochran,66.84,895,1339
77,0,01106,Jim Booros,66.83,818,1224
77,0,06140,Sean Murphy,66.83,548,820
79,0,01887,Mark O'Meara,66.75,793,1188
80,0,06284,Jim Hallet,66.71,1068,1601
81,0,01307,Joel Edwards,66.58,799,1200
82,0,01443,Hubert Green,66.55,567,852
83,0,01938,David Peoples,66.52,1027,1544
84,0,02241,Bobby Wadkins,66.46,957,1440
85,0,01060,Dave Barr,66.42,882,1328
86,0,01715,Mark Lye,66.32,825,1244
87,0,02148,Ray Stewart,66.31,880,1327
88,0,01151,Clark Burroughs,66.24,885,1336
89,0,01418,Bill Glasson,66.22,594,897
90,0,01040,Emlyn Aubrey,66.06,911,1379
91,0,01226,Fred Couples,66.03,692,1048
92,0,01639,Kenny Knox,65.88,861,1307
93,0,02146,Payne Stewart,65.71,874,1330
94,0,01577,Lee Janzen,65.56,885,1350
95,0,01783,Mark McCumber,65.49,761,1162
96,0,01487,Jeff Hart,65.30,747,1144
97,0,02067,Ted Schulz,65.00,1053,1620
98,0,06124,Patrick Burke,64.99,477,734
99,0,01035,Tommy Armour III,64.97,844,1299
99,0,02033,Dave Rummells,64.97,751,1156
101,0,01201,Lennie Clements,64.93,737,1135
102,0,02118,J.C. Snead,64.80,659,1017
103,0,01355,Raymond Floyd,64.77,489,755
104,0,01414,Bob Gilder,64.73,734,1134
105,0,01200,Keith Clearwater,64.69,689,1065
105,0,02303,Robert Wrenn,64.69,863,1334
107,0,02256,Tom Watson,64.62,515,797
108,0,06142,Mitch Adcock,64.54,546,846
109,0,01024,Billy Andrade,64.48,926,1436
110,0,01129,Bill Britton,64.35,890,1383
111,0,01549,Mike Hulbert,64.24,1031,1605
112,0,01926,Steve Pate,64.20,895,1394
113,0,02292,Bob Wolcott,64.17,770,1200
114,0,01321,Tom Eubank,64.15,526,820
115,0,01475,Donnie Hammond,64.00,663,1036
116,0,02223,Bob Tway,63.94,867,1356
117,0,02321,Fuzzy Zoeller,63.90,632,989
118,0,01235,Ben Crenshaw,63.87,608,952
119,0,01303,Bob Eastwood,63.72,764,1199
120,0,01288,Ed Dougherty,63.61,673,1058
121,0,01469,Dan Halldorson,63.47,450,709
122,0,01444,Ken Green,63.46,764,1204
123,0,01706,Davis Love III,63.44,807,1272
123,0,02101,Joey Sindelar,63.44,708,1116
125,0,01333,Jack Ferenz,62.98,444,705
126,0,01736,Roger Maltbie,62.93,567,901
127,0,01723,Andrew Magee,62.92,862,1370
128,0,06425,Rick Todd,62.79,491,782
129,0,02246,Duffy Waldorf,62.75,768,1224
130,0,01943,Chris Perry,62.74,842,1342
131,0,01891,David Ogrin,62.64,741,1183
132,0,01068,Andy Bean,62.61,586,936
133,0,06136,Mike Schuchart,62.58,592,946
134,0,01925,Jerry Pate,62.55,471,753
135,0,02104,Jeff Sluman,62.47,919,1471
136,0,06128,Steve Lamontagne,62.44,738,1182
137,0,01329,Brad Faxon,62.30,770,1236
138,0,02087,Don Shirey Jr.,62.28,796,1278
139,0,01261,Jay Delsing,62.16,833,1340
140,0,01975,Tom Purtzer,62.12,669,1077
141,0,01771,Blaine McCallister,62.07,823,1326
142,0,02095,Larry Silveira,61.90,710,1147
143,0,01495,Morris Hatalsky,61.76,717,1161
144,0,01323,Brad Fabel,61.70,749,1214
145,0,02007,Larry Rinker,61.67,840,1362
146,0,01331,Rick Fehr,61.64,773,1254
147,0,01161,Mark Calcavecchia,61.54,800,1300
148,0,02094,Tony Sills,61.39,442,720
149,0,01006,John Adams,61.23,744,1215
150,0,01553,John Huston,61.14,675,1104
151,0,01607,Brian Kamm,60.49,421,696
152,0,01098,Jay Don Blake,60.47,774,1280
153,0,01093,Ronnie Black,60.46,708,1171
154,0,01143,Brad Bryant,60.25,764,1268
155,0,02298,Jim Woodward,60.24,615,1021
156,0,06197,Michael Allen,59.91,768,1282
157,0,01571,Barry Jaeckel,59.87,473,790
158,0,02201,Jim Thorpe,59.64,727,1219
159,0,01468,Gary Hallberg,59.49,674,1133
160,0,02167,Mike Sullivan,59.24,667,1126
161,0,02239,Scott Verplank,59.09,725,1227
162,0,01533,P.H. Horgan III,59.05,695,1177
163,0,01150,George Burns,58.87,763,1296
164,0,01197,Bobby Clampett,58.86,465,790
165,0,02215,Paul Trittler,58.72,687,1170
166,0,02090,Tom Sieckmann,58.60,722,1232
167,0,01457,Jay Haas,58.59,754,1287
168,0,02245,Grant Waite,58.46,594,1016
169,0,01641,Gary Koch,58.44,464,794
169,0,02023,Clarence Rose,58.44,710,1215
171,0,06148,Dennis Harrington,58.25,607,1042
172,0,01096,Phil Blackmar,58.23,739,1269
173,0,01037,Dewey Arnette,58.15,521,896
174,0,01846,Jodie Mudd,58.10,674,1160
175,0,01310,Dave Eichelberger,58.02,803,1384
176,0,01156,Curt Byrum,57.99,722,1245
177,0,01941,Tom Pernice Jr.,57.75,432,748
178,0,06122,Greg Hickman,57.69,499,865
179,0,02185,Lance Ten Broeck,57.58,771,1339
180,0,06130,Jeffrey Wilson,57.55,602,1046
181,0,01790,Pat McGowan,57.53,688,1196
182,0,01878,Andy North,57.14,520,910
183,0,06332,Neal Lancaster,56.99,587,1030
184,0,02041,Bill Sander,56.16,775,1380
185,0,01499,Mark Hayes,55.73,593,1064
186,0,01522,Lon Hinkle,54.96,515,937
187,0,01361,Dan Forsman,54.34,658,1211
188,0,06150,Carl Cooper,54.29,430,792
189,0,01061,Ray Barr Jr.,54.01,451,835
190,0,02224,Greg Twiggs,53.76,665,1237
191,0,01175,Jim Carter,53.71,666,1240
192,0,02294,Willie Wood,53.37,522,978
