object_name,field_name,field_type,field_description
BroadcastNetwork,daiAssetKey,SCALAR,Built-in String
BroadcastNetwork,daiPreRollUrl,SCALAR,Built-in String
BroadcastNetwork,descriptionUrl,SCALAR,Built-in String
BroadcastNetwork,liveAssetId,SCALAR,Built-in String
BroadcastNetwork,sz,SCALAR,Built-in String
BroadcastNetwork,channelId,SCALAR,Built-in String
WatchLanding,tourCode,NON_NULL,
WatchLanding,mobileWebVideoLimit,NON_NULL,
WatchLanding,featuredVideos,LIST,
WatchLanding,mobileVideos,LIST,
WatchLanding,landingSections,NON_NULL,
WatchLandingSection,videoPillType,NON_NULL,
WatchLandingSection,pillConfig,UNION,
WatchLandingSection,title,NON_NULL,
WatchLandingSection,videos,NON_NULL,
VideoFilterPillConfig,pinnedFranchises,NON_NULL,
VideoFilterPillConfig,franchises,NON_NULL,
Franchise,queryValue,NON_NULL,
Franchise,displayName,NON_NULL,
FranchisePillConfig,category,SCALAR,Built-in String
FranchisePillConfig,franchises,NON_NULL,
FranchisePillConfig,rating,SCALAR,Built-in Int
TournamentsPillConfig,currentSeason,NON_NULL,
TopicStoriesPillConfig,label,NON_NULL,
VideoNavigation,tourCode,NON_NULL,
VideoNavigation,items,NON_NULL,
VideoNavigation,liveOverride,NON_NULL,
VideoPill,defaultView,NON_NULL,
VideoPill,videoPillType,NON_NULL,
VideoPill,displayText,NON_NULL,
VideoPill,enabledCompanionPills,LIST,
VideoPill,pillConfig,UNION,
ContentFragmentTabs,path,NON_NULL,
ContentFragmentTabs,pageHeader,NON_NULL,
ContentFragmentTabs,tabs,NON_NULL,
ContentFragmentTab,path,NON_NULL,
ContentFragmentTab,contentType,NON_NULL,
ContentFragmentTab,label,SCALAR,Built-in String
ContentFragmentTab,webview,SCALAR,Built-in String
ScatterData,id,NON_NULL,
ScatterData,tournamentId,NON_NULL,
ScatterData,courseId,NON_NULL,
ScatterData,hole,NON_NULL,
ScatterData,rounds,NON_NULL,
ScatterRound,display,SCALAR,Built-in String
ScatterRound,num,NON_NULL,
ScatterRound,strokes,NON_NULL,
ScatterRound,pinCoords,NON_NULL,
ScatterStroke,strokeNumber,NON_NULL,
ScatterStroke,playerShots,NON_NULL,
ScatterCoord,result,NON_NULL,
ScatterCoord,player,NON_NULL,
ScatterCoord,shotCoords,NON_NULL,
ScatterPlayer,id,NON_NULL,
ScatterPlayer,name,NON_NULL,
ScatterShotData,green,NON_NULL,
ScatterShotData,overview,NON_NULL,
ScatterShotCoordData,portraitCoords,OBJECT,
ScatterShotCoordData,landscapeCoords,OBJECT,
ScattterXYData,x,NON_NULL,
ScattterXYData,y,NON_NULL,
SignatureStandings,tournamentID,NON_NULL,
SignatureStandings,tournamentInfo,NON_NULL,
SignatureStandings,infoTitle,NON_NULL,
SignatureStandings,infoDescription,NON_NULL,
SignatureStandings,mobileLogoAsset,NON_NULL,
SignatureStandings,linktoField,NON_NULL,
SignatureStandings,noFieldText,SCALAR,Built-in String
SignatureStandings,noFieldToolTipTitle,SCALAR,Built-in String
SignatureStandings,noFieldToolTipText,SCALAR,Built-in String
SignatureStandings,official,NON_NULL,
SignatureStandings,interim,NON_NULL,
SignatureStandingsTournamentInfo,tournamentName,NON_NULL,
SignatureStandingsTournamentInfo,tournamentLogoAsset,NON_NULL,
SignatureStandingsTournamentInfo,tournamentStatus,NON_NULL,
SignatureStandingsTournamentInfo,displayDate,NON_NULL,
SignatureStandingsTournamentInfo,roundStatusDisplay,NON_NULL,
SignatureStandingsTournamentInfo,roundStatus,NON_NULL,
SignatureStandingsTournamentInfo,roundStatusColor,NON_NULL,
SignatureStandingsData,title,NON_NULL,
SignatureStandingsData,tooltipText,SCALAR,Built-in String
SignatureStandingsData,sponsorLogoAsset,NON_NULL,
SignatureStandingsData,sponsorName,SCALAR,Built-in String
SignatureStandingsData,description,SCALAR,Built-in String
SignatureStandingsData,eyebrowText,SCALAR,Built-in String
SignatureStandingsData,players,NON_NULL,
SignatureStandingsData,emptyTableTitle,SCALAR,Built-in String
SignatureStandingsData,emptyTableDescription,SCALAR,Built-in String
SignaturePlayer,playerId,NON_NULL,
SignaturePlayer,displayName,NON_NULL,
SignaturePlayer,shortName,NON_NULL,
SignaturePlayer,countryName,NON_NULL,
SignaturePlayer,countryFlag,NON_NULL,
SignaturePlayer,started,NON_NULL,
SignaturePlayer,projected,NON_NULL,
SignaturePlayer,projectedPoints,NON_NULL,
SignaturePlayer,movementAmount,NON_NULL,
SignaturePlayer,movementDirection,NON_NULL,
SignatureInfoLine,text,NON_NULL,
TourCategories,tourCode,NON_NULL,
TourCategories,categories,NON_NULL,
Category,queryValue,NON_NULL,
Category,displayName,NON_NULL,
Category,franchises,NON_NULL,
NewsFranchise,franchise,NON_NULL,
NewsFranchise,franchiseLabel,NON_NULL,
Episode,title,NON_NULL,
Episode,description,NON_NULL,
Episode,date,NON_NULL,
Episode,duration,NON_NULL,
Episode,streamUrl,NON_NULL,
Episode,podcastId,NON_NULL,
Audio,id,NON_NULL,
Audio,title,NON_NULL,
Audio,imageUrl,NON_NULL,
Audio,summary,NON_NULL,
Audio,shareUrl,NON_NULL,
Audio,rssFeed,NON_NULL,
Audio,numEpisodes,NON_NULL,
Audio,latestPubDate,NON_NULL,
Audio,streamUrls,NON_NULL,
StreamUrls,applePodcast,NON_NULL,
StreamUrls,googlePodcast,NON_NULL,
StreamUrls,tuneIn,NON_NULL,
StreamUrls,stitcher,NON_NULL,
StreamUrls,spotify,NON_NULL,
LeaderboardV2,id,NON_NULL,
LeaderboardV2,players,NON_NULL,
LeaderboardV2,roundStatusDisplay,NON_NULL,
LeaderboardV2,roundDisplay,NON_NULL,
LeaderboardV2,roundStatus,NON_NULL,
LeaderboardV2,roundStatusColor,NON_NULL,
LeaderboardV2,leaderboardRoundHeader,NON_NULL,
LeaderboardV2,formatType,NON_NULL,
LeaderboardV2,timezone,NON_NULL,
LeaderboardV2,winner,OBJECT,
LeaderboardV2,courses,NON_NULL,
LeaderboardV2,messages,NON_NULL,
LeaderboardV2,tourcastURI,SCALAR,Built-in String
LeaderboardV2,tournamentStatus,NON_NULL,
LeaderboardV2,rounds,NON_NULL,
LeaderboardV2,isPlayoffActive,NON_NULL,
LeaderboardV2,scorecardEnabled,NON_NULL,
LeaderboardV2,profileEnabled,NON_NULL,
LeaderboardV2,subEvent,NON_NULL,
LeaderboardV2,leaderboardFeatures,LIST,
LeaderboardV2,standingsEnabled,NON_NULL,
LeaderboardV2,standingsHeader,NON_NULL,
PlayerRowV2,id,NON_NULL,
PlayerRowV2,leaderboardSortOrder,NON_NULL,
PlayerRowV2,position,NON_NULL,
PlayerRowV2,player,NON_NULL,
PlayerRowV2,total,NON_NULL,
PlayerRowV2,totalSort,NON_NULL,
PlayerRowV2,thru,NON_NULL,
PlayerRowV2,thruSort,NON_NULL,
PlayerRowV2,score,NON_NULL,
PlayerRowV2,scoreSort,NON_NULL,
PlayerRowV2,teeTime,NON_NULL,
PlayerRowV2,groupNumber,NON_NULL,
PlayerRowV2,currentRound,NON_NULL,
PlayerRowV2,roundHeader,NON_NULL,
PlayerRowV2,roundStatus,NON_NULL,
PlayerRowV2,courseId,NON_NULL,
PlayerRowV2,backNine,NON_NULL,
PlayerRowV2,oddsToWin,SCALAR,Built-in String
PlayerRowV2,oddsSwing,ENUM,
PlayerRowV2,oddsOptionId,SCALAR,Built-in String
PlayerRowV2,oddsUrl,SCALAR,Built-in String
PlayerRowV2,rounds,NON_NULL,
PlayerRowV2,movementDirection,NON_NULL,
PlayerRowV2,movementAmount,NON_NULL,
PlayerRowV2,playerState,NON_NULL,
PlayerRowV2,rankingMovement,NON_NULL,
PlayerRowV2,rankingMovementAmount,NON_NULL,
PlayerRowV2,rankingMovementAmountSort,NON_NULL,
PlayerRowV2,rankLogoLight,SCALAR,Built-in String
PlayerRowV2,rankLogoDark,SCALAR,Built-in String
PlayerRowV2,totalStrokes,NON_NULL,
PlayerRowV2,official,NON_NULL,
PlayerRowV2,officialSort,NON_NULL,
PlayerRowV2,projected,NON_NULL,
PlayerRowV2,projectedSort,NON_NULL,
PlayerRowV2,hasStoryContent,NON_NULL,
PlayerRowV2,storyContentRound,SCALAR,Built-in Int
PlayerRowV2,storyContentRounds,NON_NULL,
PlayerRowV2,oddsSort,SCALAR,Built-in Float
Player,id,NON_NULL,
Player,firstName,NON_NULL,
Player,lastName,NON_NULL,
Player,shortName,NON_NULL,
Player,displayName,NON_NULL,
Player,abbreviations,NON_NULL,
Player,abbreviationsAccessibilityText,NON_NULL,
Player,amateur,NON_NULL,
Player,country,NON_NULL,
Player,countryFlag,NON_NULL,
Player,lineColor,NON_NULL,
Player,seed,SCALAR,Built-in String
Player,status,SCALAR,Built-in String
Player,tourBound,SCALAR,Built-in Boolean
Player,assets,LIST,
Player,bettingProfile,SCALAR,Built-in String
Player,playerBioOverrideLink,SCALAR,Built-in String
TourBoundAsset,tourBoundLogo,SCALAR,Built-in String
TourBoundAsset,tourBoundLogoDark,SCALAR,Built-in String
InformationRow,id,NON_NULL,
InformationRow,leaderboardSortOrder,NON_NULL,
InformationRow,displayText,NON_NULL,
InformationSection,title,NON_NULL,
InformationSection,sponsorImages,LIST,
InformationSection,items,NON_NULL,
SponsorImage,logoAsset,NON_NULL,
SponsorImage,logoDarkAsset,NON_NULL,
SponsorImage,accessibilityText,NON_NULL,
SponsorImage,link,SCALAR,Built-in String
Abbreviations,key,NON_NULL,
Abbreviations,title,NON_NULL,
Abbreviations,description,SCALAR,Built-in String
Legend,title,NON_NULL,
Legend,icon,NON_NULL,
Legend,iconUrl,SCALAR,Built-in String
Legend,text,SCALAR,Built-in String
Legend,subText,SCALAR,Built-in String
Legend,accessibilityText,SCALAR,Built-in String
Winner,id,NON_NULL,
Winner,firstName,NON_NULL,
Winner,lastName,NON_NULL,
Winner,totalStrokes,NON_NULL,
Winner,totalScore,NON_NULL,
Winner,countryFlag,NON_NULL,
Winner,countryName,NON_NULL,
Winner,purse,SCALAR,Built-in String
Winner,displayPoints,NON_NULL,
Winner,displayPurse,NON_NULL,
Winner,points,SCALAR,Built-in String
Winner,seed,SCALAR,Built-in String
Winner,pointsLabel,SCALAR,Built-in String
Winner,winnerIcon,OBJECT,
WinnerIcon,type,NON_NULL,
WinnerIcon,title,NON_NULL,
WinnerIcon,label,NON_NULL,
WinnerIcon,color,NON_NULL,
Course,id,NON_NULL,
Course,courseName,NON_NULL,
Course,courseCode,NON_NULL,
Course,hostCourse,NON_NULL,
Course,scoringLevel,NON_NULL,
