enum_name,enum_values
OddsMarketType,"['WINNER', 'GROUP_WINNER', 'NATIONALITY', 'PLAYER_PROPS', 'FINISHES', 'MATCHUP']"
RyderCupContentType,"['VIDEOS', 'ARTICLES', 'PHOTO_GALLERY', 'VIDEO_ARTICLES', 'ALL']"
RankingsTeams,"['USA', 'EUROPE']"
ToughestRound,"['ALL', 'ONE', 'TWO', 'THREE', 'FOUR']"
CourseStatsId,"['TOUGHEST_COURSE', 'TOUGHEST_HOLES']"
ArticleSponsor,['GOLFWRX']
CupLeaderboardTeamStatus,"['UNKNOWN', 'BEHIND', 'LEADS', 'WINS', 'TIED']"
UniversityRankColor,"['GOLD', 'GRAY', 'BLUE', 'BLACK']"
OddsFormat,"['MONEYLINE', 'FRACTIONAL', 'DECIMAL']"
PlayerComparisonCategory,"['STROKES_GAINED', 'OFF_TEE', 'APPROACH_GREEN', 'AROUND_GREEN', 'PUTTING', 'SCORING']"
CupOverviewDisplayType,"['PROGRESS', 'POINTS_ONLY']"
CupRoundFormat,"['ALTERNATE_SHOT', 'BEST_BALL', 'SINGLES']"
TGLMatchStatus,"['UNKNOWN', 'UPCOMING', 'IN_PROGRESS', 'COMPLETE']"
GroupHoleLocation,"['UNKNOWN', 'TEE', 'FAIRWAY', 'GREEN']"
HomePageLeadLayout,"['HERO_STORY', 'HALF_HERO', 'HERO_STATUS', 'HALF_HERO_STACK', 'PLAYER_STORIES', 'TOPIC_STORIES']"
HomePageProgramStandingLayout,"['TWO_STANDINGS', 'SHORT', 'NORMAL', 'FIELD_PROMO_SECTION', 'SIGNATURE_EVENT_STANDINGS']"
HomePageNewsLayout,"['TWO_UP_LARGE', 'TWO_UP_SMALL', 'TWO_UP_TEXT_ONLY', 'THREE_UP_ASSET']"
PlayoffDisplayType,"['NONE', 'SCORECARD', 'PLAY_BY_PLAY', 'ALL']"
__TypeKind,"['SCALAR', 'OBJECT', 'INTERFACE', 'UNION', 'ENUM', 'INPUT_OBJECT', 'LIST', 'NON_NULL']"
__DirectiveLocation,"['QUERY', 'MUTATION', 'FIELD', 'FRAGMENT_DEFINITION', 'FRAGMENT_SPREAD', 'INLINE_FRAGMENT', 'SCHEMA', 'SCALAR', 'OBJECT', 'FIELD_DEFINITION', 'ARGUMENT_DEFINITION', 'INTERFACE', 'UNION', 'ENUM', 'ENUM_VALUE', 'INPUT_OBJECT', 'INPUT_FIELD_DEFINITION']"
