YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
2013,71,0,21878,Mark Wilson,1.04,1,96,98.9
2013,72,0,23135,Tim Clark,1.05,1,95,98.9
2013,72,0,34409,David Lingmerth,1.05,1,95,98.9
2013,74,0,27503,Steve LeBrun,1.08,1,93,98.9
2013,74,0,6567,Vijay Singh,1.08,1,93,98.9
2013,76,0,21753,Brian Davis,1.1,2,181,98.9
2013,77,0,1116,Michael Bradley,1.14,1,88,98.8
2013,77,0,23623,Bo Van Pelt,1.14,1,88,98.8
2013,77,0,26951,Johnson Wagner,1.14,1,88,98.8
2013,80,0,25562,Andres Romero,1.16,1,86,98.8
2013,81,0,37273,Derek Ernst,1.18,1,85,98.8
2013,81,0,10423,Mike Weir,1.18,1,85,98.8
2013,83,0,33461,Morgan Hoffmann,1.19,1,84,98.8
2013,84,0,20443,Jin Park,1.27,1,79,98.7
2013,85,0,27644,Brian Harman,1.28,2,156,98.7
2013,86,0,27408,Martin Kaymer,1.3,1,77,98.7
2013,87,0,8793,Tiger Woods,1.32,1,76,98.6
2013,88,0,29518,Brendan Steele,1.35,2,148,98.6
2013,89,0,22913,John Rollins,1.36,2,147,98.6
2013,90,0,34174,John Huh,1.37,2,146,98.6
2013,91,0,21731,Freddie Jacobson,1.39,1,72,98.6
2013,91,0,20572,Rod Pampling,1.39,1,72,98.6
2013,91,0,27095,Nick Watney,1.39,2,144,98.6
2013,94,0,25444,Justin Hicks,1.42,2,141,98.5
2013,95,0,30944,Jason Kokrak,1.44,2,139,98.5
2013,96,0,25834,Daniel Summerhays,1.48,2,135,98.5
2013,97,0,20691,Greg Owen,1.52,2,132,98.4
2013,98,0,25572,Graeme McDowell,1.54,1,65,98.4
2013,98,0,24361,Pat Perez,1.54,2,130,98.4
2013,100,0,26300,Matt Jones,1.55,2,129,98.4
2013,100,0,28475,Jeff Overton,1.55,2,129,98.4
2013,102,0,10809,Jim Furyk,1.56,2,128,98.4
2013,103,0,23452,Nicolas Colsaerts,1.59,1,63,98.4
2013,103,0,35139,Richard Lee,1.59,2,126,98.4
2013,105,0,10213,Dicky Pride,1.63,2,123,98.3
2013,106,0,19970,Robert Karlsson,1.64,1,61,98.3
2013,106,0,30692,Scott Stallings,1.64,2,122,98.3
2013,108,0,29740,Brad Fritsch,1.65,2,121,98.3
2013,109,0,23409,James Driscoll,1.67,2,120,98.3
2013,109,0,22046,Geoff Ogilvy,1.67,1,60,98.3
2013,111,0,30163,Henrik Norlander,1.69,2,118,98.3
2013,112,0,20160,Charlie Wi,1.72,2,116,98.2
2013,113,0,26289,Boo Weekley,1.73,3,173,98.2
2013,114,0,8075,Jerry Kelly,1.74,2,115,98.2
2013,115,0,24357,K.J. Choi,1.75,2,114,98.2
2013,116,0,22378,Trevor Immelman,1.79,2,112,98.2
2013,117,0,26497,Casey Wittenberg,1.85,2,108,98.1
2013,118,0,29420,Billy Horschel,1.86,3,161,98.1
2013,119,0,28135,Aaron Watkins,1.89,1,53,98.1
2013,120,0,10885,Robert Allenby,1.9,2,105,98.1
2013,121,0,29479,Scott Brown,1.96,2,102,98.0
2013,122,0,31323,Gary Woodland,1.97,3,152,98.0
2013,123,0,24358,Robert Garrigus,2.0,2,100,98.0
2013,124,0,24140,Sean O'Hair,2.02,2,99,97.9
2013,125,0,20848,Ángel Cabrera,2.04,2,98,97.9
2013,126,0,23320,Ryan Palmer,2.05,3,146,97.9
2013,127,0,24227,Justin Bolli,2.06,2,97,97.9
2013,128,0,26758,David Hearn,2.08,3,144,97.9
2013,129,0,27129,Luke List,2.11,2,95,97.8
2013,130,0,31557,Jim Herman,2.17,2,92,97.8
2013,131,0,6573,Brandt Jobe,2.2,2,91,97.8
2013,132,0,28259,Sangmoon Bae,2.31,3,130,97.6
2013,133,0,20104,Ken Duke,2.34,4,171,97.6
2013,134,0,31202,William McGirt,2.38,3,126,97.6
2013,135,0,27770,Camilo Villegas,2.4,3,125,97.6
2013,136,0,34098,Russell Henley,2.42,3,124,97.5
2013,137,0,22405,Justin Rose,2.44,2,82,97.5
2013,138,0,30926,Chris Kirk,2.45,4,163,97.5
2013,139,0,34261,Scott Langley,2.46,3,122,97.5
2013,140,0,24024,Zach Johnson,2.47,4,162,97.5
2013,141,0,24138,Ian Poulter,2.5,2,80,97.5
2013,141,0,33419,Cameron Tringale,2.5,3,120,97.5
2013,143,0,35539,Luke Guthrie,2.52,3,119,97.4
2013,144,0,34431,Robert Streb,2.59,3,116,97.4
2013,144,0,27963,Chris Stroud,2.59,3,116,97.4
2013,146,0,26596,Ryan Moore,2.63,3,114,97.3
2013,146,0,24663,Y.E. Yang,2.63,2,76,97.3
2013,148,0,22056,Cameron Percy,2.68,3,112,97.3
2013,149,0,34360,Patrick Reed,2.78,4,144,97.2
2013,150,0,28780,Nicholas Thompson,2.84,5,176,97.1
2013,151,0,28089,Jason Day,2.86,3,105,97.1
2013,152,0,23788,D.J. Trahan,2.9,2,69,97.1
2013,153,0,24846,Ricky Barnes,3.05,4,131,96.9
2013,154,0,20766,Padraig Harrington,3.13,2,64,96.8
2013,155,0,6522,Ernie Els,3.16,3,95,96.8
2013,156,0,26679,Kevin Stadler,3.2,4,125,96.8
2013,157,0,8725,Tom Gillis,3.25,4,123,96.7
2013,158,0,25274,Steven Bowditch,3.3,3,91,96.7
2013,159,0,28307,Matt Every,3.33,5,150,96.6
2013,160,0,25804,Bubba Watson,3.36,4,119,96.6
2013,161,0,25818,Scott Piercy,3.39,4,118,96.6
2013,162,0,23621,Rory Sabbatini,3.45,5,145,96.5
2013,163,0,30852,Ryo Ishikawa,3.48,4,115,96.5
2013,164,0,27933,John Merrick,3.54,4,113,96.4
2013,165,0,21209,Sergio Garcia,3.66,3,82,96.3
2013,166,0,30750,Tommy Gainey,3.68,5,136,96.3
2013,166,0,29221,Webb Simpson,3.68,5,136,96.3
2013,168,0,28092,D.H. Lee,3.81,4,105,96.1
2013,169,0,2206,David Toms,3.95,3,76,96.0
2013,170,0,28237,Rory McIlroy,4.0,3,75,96.0
2013,171,0,36884,Ben Kohles,4.03,5,124,95.9
2013,172,0,24494,Erik Compton,4.07,5,123,95.9
2013,173,0,25345,Carl Pettersson,4.08,4,98,95.9
2013,174,0,12716,Charley Hoffman,4.17,6,144,95.8
2013,175,0,31560,Brian Stuard,4.38,6,137,95.6
2013,176,0,27556,Ted Potter Jr.,4.5,5,111,95.5
2013,177,0,20396,Lee Westwood,4.59,5,109,95.4
2013,178,0,6527,Steve Stricker,4.92,3,61,95.0
2013,179,0,32334,Charlie Beljan,5.0,5,100,95.0
2013,180,0,30110,Kyle Stanley,5.36,6,112,94.6
2014,1,0,24846,Ricky Barnes,0.0,0,138,100.0
2014,1,0,27895,Jonas Blixt,0.0,0,79,100.0
2014,1,0,33141,Keegan Bradley,0.0,0,127,100.0
2014,1,0,25364,Paul Casey,0.0,0,69,100.0
2014,1,0,25720,Chad Collins,0.0,0,106,100.0
2014,1,0,24494,Erik Compton,0.0,0,131,100.0
2014,1,0,22621,Ben Curtis,0.0,0,111,100.0
2014,1,0,28089,Jason Day,0.0,0,60,100.0
2014,1,0,10809,Jim Furyk,0.0,0,132,100.0
2014,1,0,21209,Sergio Garcia,0.0,0,65,100.0
2014,1,0,24924,Bill Haas,0.0,0,136,100.0
2014,1,0,12716,Charley Hoffman,0.0,0,140,100.0
2014,1,0,8075,Jerry Kelly,0.0,0,127,100.0
2014,1,0,29478,Kevin Kisner,0.0,0,118,100.0
2014,1,0,26956,Bronson La'Cassie,0.0,0,73,100.0
2014,1,0,35139,Richard Lee,0.0,0,107,100.0
2014,1,0,10860,Justin Leonard,0.0,0,98,100.0
2014,1,0,27466,Spencer Levin,0.0,0,86,100.0
2014,1,0,34409,David Lingmerth,0.0,0,120,100.0
2014,1,0,1706,Davis Love III,0.0,0,110,100.0
2014,1,0,26596,Ryan Moore,0.0,0,127,100.0
2014,1,0,22046,Geoff Ogilvy,0.0,0,130,100.0
2014,1,0,26329,Louis Oosthuizen,0.0,0,53,100.0
2014,1,0,25345,Carl Pettersson,0.0,0,187,100.0
2014,1,0,20645,John Senden,0.0,0,151,100.0
2014,1,0,22293,Heath Slocum,0.0,0,134,100.0
2014,1,0,31560,Brian Stuard,0.0,0,147,100.0
2014,1,0,29425,Andrew Svoboda,0.0,0,134,100.0
2014,1,0,32150,Michael Thompson,0.0,0,108,100.0
2014,1,0,2206,David Toms,0.0,0,112,100.0
2014,1,0,27064,Jhonattan Vegas,0.0,0,103,100.0
2014,1,0,26951,Johnson Wagner,0.0,0,116,100.0
2014,1,0,25632,Jimmy Walker,0.0,0,127,100.0
2014,1,0,10423,Mike Weir,0.0,0,93,100.0
2014,35,0,32366,Kevin Chappell,0.55,1,183,99.4
2014,36,0,29479,Scott Brown,0.58,1,173,99.4
2014,36,0,23108,Matt Kuchar,0.58,1,173,99.4
2014,36,0,25834,Daniel Summerhays,0.58,1,171,99.4
2014,39,0,23638,Brendon de Jonge,0.59,1,170,99.4
2014,39,0,34261,Scott Langley,0.59,1,169,99.4
2014,41,0,31202,William McGirt,0.61,1,165,99.3
2014,41,0,28486,Michael Putnam,0.61,1,164,99.3
2014,43,0,10885,Robert Allenby,0.62,1,162,99.3
2014,43,0,23353,J.J. Henry,0.62,1,162,99.3
2014,43,0,30926,Chris Kirk,0.62,1,161,99.3
2014,43,0,33122,Russell Knox,0.62,1,162,99.3
2014,47,0,32448,James Hahn,0.63,1,160,99.3
2014,48,0,34099,Harris English,0.66,1,152,99.3
2014,48,0,24490,George McNeill,0.66,1,151,99.3
2014,50,0,20157,Retief Goosen,0.67,1,150,99.3
2014,50,0,26758,David Hearn,0.67,1,149,99.3
2014,52,0,20593,Greg Chalmers,0.68,1,146,99.3
2014,53,0,28132,Tyrone Van Aswegen,0.69,1,145,99.3
2014,54,0,24781,Hunter Mahan,0.71,1,141,99.2
2014,55,0,20848,Ángel Cabrera,0.72,1,139,99.2
2014,56,0,24357,K.J. Choi,0.74,1,135,99.2
2014,57,0,29222,Billy Hurley III,0.75,1,134,99.2
2014,58,0,24361,Pat Perez,0.78,1,129,99.2
2014,59,0,23135,Tim Clark,0.79,1,127,99.2
2014,60,0,29926,Danny Lee,0.8,1,125,99.2
2014,60,0,21878,Mark Wilson,0.8,1,125,99.2
2014,62,0,23800,Bryce Molder,0.81,1,124,99.1
2014,63,0,25191,Gonzalo Fernandez-Castaño,0.83,1,120,99.1
2014,64,0,33413,Ben Martin,0.85,1,118,99.1
2014,64,0,32640,Troy Merritt,0.85,1,117,99.1
2014,66,0,6522,Ernie Els,0.86,1,116,99.1
2014,67,0,25240,D.A. Points,0.88,1,113,99.1
2014,67,0,27214,Kevin Streelman,0.88,1,113,99.1
2014,67,0,25804,Bubba Watson,0.88,1,114,99.1
2014,70,0,34360,Patrick Reed,0.91,1,110,99.0
2014,71,0,23409,James Driscoll,0.92,1,109,99.0
2014,71,0,30944,Jason Kokrak,0.92,1,109,99.0
2014,73,0,33419,Cameron Tringale,0.96,2,209,99.0
2014,74,0,32200,Roberto Castro,0.97,1,103,99.0
2014,75,0,19846,Brian Gay,0.99,1,101,99.0
2014,76,0,32333,Kevin Tway,1.01,1,99,98.9
2014,77,0,27120,Troy Matteson,1.02,1,98,98.9
2014,78,0,23983,Luke Donald,1.04,1,96,98.9
2014,79,0,27408,Martin Kaymer,1.06,1,94,98.9
2014,80,0,26300,Matt Jones,1.08,1,93,98.9
2014,81,0,35300,Andrew Loupe,1.09,1,92,98.9
2014,82,0,21961,Charles Howell III,1.1,2,181,98.9
2014,83,0,28092,D.H. Lee,1.14,1,88,98.8
2014,84,0,27936,Martin Laird,1.16,1,86,98.8
2014,85,0,34021,Bud Cauley,1.2,1,83,98.8
2014,86,0,22405,Justin Rose,1.22,1,82,98.7
2014,86,0,34265,Will Wilcox,1.22,1,82,98.7
2014,88,0,21731,Freddie Jacobson,1.23,2,162,98.7
2014,89,0,25686,Jason Dufner,1.27,1,79,98.7
2014,90,0,20498,Briny Baird,1.28,1,78,98.7
2014,91,0,35539,Luke Guthrie,1.32,2,152,98.6
2014,92,0,25396,Kevin Na,1.36,2,147,98.6
2014,93,0,36689,Brooks Koepka,1.37,1,73,98.6
2014,94,0,28307,Matt Every,1.43,2,140,98.5
2014,95,0,27649,Brandt Snedeker,1.45,2,138,98.5
2014,96,0,24507,Jason Bohn,1.46,2,137,98.5
2014,96,0,30692,Scott Stallings,1.46,2,137,98.5
2014,96,0,29518,Brendan Steele,1.46,2,137,98.5
2014,99,0,29740,Brad Fritsch,1.47,1,68,98.5
2014,100,0,24912,Will MacKenzie,1.48,2,135,98.5
2014,101,0,27644,Brian Harman,1.49,3,201,98.5
2014,102,0,29221,Webb Simpson,1.5,2,133,98.5
2014,103,0,29289,S.Y. Noh,1.54,2,130,98.4
2014,103,0,34431,Robert Streb,1.54,2,130,98.4
2014,105,0,31323,Gary Woodland,1.56,2,128,98.4
2014,106,0,25349,Tim Wilkinson,1.57,2,127,98.4
2014,107,0,28500,Martin Flores,1.6,2,125,98.4
2014,107,0,24663,Y.E. Yang,1.6,2,125,98.4
2014,109,0,22913,John Rollins,1.61,2,124,98.3
2014,110,0,33461,Morgan Hoffmann,1.63,3,184,98.3
2014,111,0,34563,Chesson Hadley,1.67,2,120,98.3
2014,112,0,24925,Jonathan Byrd,1.71,2,117,98.2
2014,113,0,21528,Henrik Stenson,1.72,1,58,98.2
2014,114,0,27933,John Merrick,1.73,3,173,98.2
2014,115,0,12510,Chad Campbell,1.75,2,114,98.2
2014,115,0,20229,Stewart Cink,1.75,2,114,98.2
2014,117,0,28475,Jeff Overton,1.79,2,112,98.2
2014,117,0,26289,Boo Weekley,1.79,2,112,98.2
2014,119,0,27141,J.B. Holmes,1.85,3,162,98.1
2014,119,0,29420,Billy Horschel,1.85,3,162,98.1
2014,121,0,7867,Woody Austin,1.87,2,107,98.1
2014,121,0,35541,John Peterson,1.87,2,107,98.1
2014,123,0,27770,Camilo Villegas,1.88,3,160,98.1
2014,124,0,34264,Hudson Swafford,1.9,2,105,98.1
2014,125,0,32102,Rickie Fowler,1.92,2,104,98.0
2014,125,0,6567,Vijay Singh,1.92,3,156,98.0
2014,127,0,22371,Aaron Baddeley,1.94,2,103,98.0
2014,127,0,23541,Ben Crane,1.94,3,155,98.0
2014,127,0,34098,Russell Henley,1.94,3,155,98.0
2014,127,0,27330,Josh Teater,1.94,3,155,98.0
2014,131,0,34046,Jordan Spieth,2.01,3,149,97.9
2014,132,0,20098,Stuart Appleby,2.04,3,147,97.9
2014,132,0,27963,Chris Stroud,2.04,3,147,97.9
2014,134,0,21753,Brian Davis,2.14,3,140,97.8
2014,134,0,30927,Brendon Todd,2.14,4,187,97.8
2014,136,0,26679,Kevin Stadler,2.19,3,137,97.8
2014,137,0,32334,Charlie Beljan,2.24,3,134,97.7
2014,138,0,1724,Jeff Maggert,2.25,2,89,97.7
2014,138,0,28237,Rory McIlroy,2.25,2,89,97.7
2014,140,0,23320,Ryan Palmer,2.26,3,133,97.7
2014,141,0,29535,Brice Garnett,2.27,3,132,97.7
2014,142,0,24024,Zach Johnson,2.29,4,175,97.7
2014,142,0,33418,Shawn Stefani,2.29,3,131,97.7
2014,144,0,24140,Sean O'Hair,2.31,3,130,97.6
2014,145,0,22378,Trevor Immelman,2.34,3,128,97.6
2014,146,0,30925,Dustin Johnson,2.44,2,82,97.5
2014,147,0,20104,Ken Duke,2.5,3,120,97.5
2014,148,0,26851,Marc Leishman,2.52,3,119,97.4
2014,149,0,30110,Kyle Stanley,2.61,4,153,97.3
2014,150,0,26331,Charl Schwartzel,2.63,3,114,97.3
2014,151,0,24358,Robert Garrigus,2.65,4,151,97.3
2014,152,0,24138,Ian Poulter,2.7,2,74,97.3
2014,152,0,24502,Adam Scott,2.7,3,111,97.3
2014,154,0,25562,Andres Romero,2.78,4,144,97.2
2014,155,0,28780,Nicholas Thompson,2.88,4,139,97.1
2014,156,0,20396,Lee Westwood,2.99,2,67,97.0
2014,157,0,37273,Derek Ernst,3.2,4,125,96.8
2014,157,0,23623,Bo Van Pelt,3.2,4,125,96.8
2014,159,0,27436,Graham DeLaet,3.23,4,124,96.7
2014,160,0,34174,John Huh,3.28,4,122,96.7
2014,161,0,30852,Ryo Ishikawa,3.31,4,121,96.6
2014,162,0,27095,Nick Watney,3.49,3,86,96.5
2014,163,0,25572,Graeme McDowell,3.74,4,107,96.2
2014,164,0,31557,Jim Herman,3.75,3,80,96.2
2014,165,0,25444,Justin Hicks,3.78,7,185,96.2
2014,166,0,29461,Jamie Lovemark,3.85,3,78,96.1
2014,167,0,28259,Sangmoon Bae,3.92,4,102,96.0
2014,167,0,30750,Tommy Gainey,3.92,4,102,96.0
2014,169,0,25274,Steven Bowditch,4.17,6,144,95.8
2014,170,0,25900,Lucas Glover,4.21,4,95,95.7
2014,170,0,31193,Jim Renner,4.21,4,95,95.7
2014,172,0,20160,Charlie Wi,4.35,5,115,95.6
2014,173,0,32839,Hideki Matsuyama,4.63,5,108,95.3
2014,174,0,27556,Ted Potter Jr.,4.67,5,107,95.3
2014,174,0,35732,Wes Roach,4.67,5,107,95.3
2014,176,0,1810,Phil Mickelson,4.71,4,85,95.2
2014,177,0,23621,Rory Sabbatini,5.76,8,139,94.2
2022,1,0,45526,Abraham Ancer,0.0,0,92,100.0
2022,1,0,27895,Jonas Blixt,0.0,0,66,100.0
2022,1,0,33141,Keegan Bradley,0.0,0,128,100.0
2022,1,0,32366,Kevin Chappell,0.0,0,83,100.0
2022,1,0,45157,Cam Davis,0.0,0,141,100.0
2022,1,0,23983,Luke Donald,0.0,0,104,100.0
2022,1,0,29725,Tony Finau,0.0,0,123,100.0
2022,1,0,52375,Doug Ghim,0.0,0,128,100.0
2022,1,0,29974,Branden Grace,0.0,0,76,100.0
2022,1,0,35310,Lanto Griffin,0.0,0,125,100.0
2022,1,0,24980,Scott Gutschewski,0.0,0,76,100.0
2022,1,0,32448,James Hahn,0.0,0,105,100.0
2022,1,0,47988,Nick Hardy,0.0,0,89,100.0
2022,1,0,34363,Tyrrell Hatton,0.0,0,94,100.0
2022,1,0,39058,Lucas Herbert,0.0,0,60,100.0
2022,1,0,31557,Jim Herman,0.0,0,88,100.0
2022,1,0,49298,Kramer Hickok,0.0,0,134,100.0
2022,1,0,46717,Viktor Hovland,0.0,0,108,100.0
2022,1,0,36852,Jim Knous,0.0,0,57,100.0
2022,1,0,36689,Brooks Koepka,0.0,0,79,100.0
2022,1,0,36884,Ben Kohles,0.0,0,89,100.0
2022,1,0,30944,Jason Kokrak,0.0,0,88,100.0
2022,1,0,35879,Kelly Kraft,0.0,0,103,100.0
2022,1,0,23108,Matt Kuchar,0.0,0,103,100.0
2022,1,0,49766,Hank Lebioda,0.0,0,147,100.0
2022,1,0,32791,K.H. Lee,0.0,0,158,100.0
2022,1,0,26851,Marc Leishman,0.0,0,117,100.0
2022,1,0,33204,Shane Lowry,0.0,0,84,100.0
2022,1,0,51950,Max McGreevy,0.0,0,119,100.0
2022,1,0,46601,Trey Mullinax,0.0,0,120,100.0
2022,1,0,27349,Alex Noren,0.0,0,87,100.0
2022,1,0,30163,Henrik Norlander,0.0,0,139,100.0
2022,1,0,33667,Carlos Ortiz,0.0,0,95,100.0
2022,1,0,40250,Taylor Pendrith,0.0,0,130,100.0
2022,1,0,22056,Cameron Percy,0.0,0,63,100.0
2022,1,0,49771,J.T. Poston,0.0,0,161,100.0
2022,1,0,24138,Ian Poulter,0.0,0,59,100.0
2022,1,0,47983,Chad Ramey,0.0,0,114,100.0
2022,1,0,53165,Doc Redman,0.0,0,139,100.0
2022,1,0,34360,Patrick Reed,0.0,0,92,100.0
2022,1,0,36699,Patrick Rodgers,0.0,0,141,100.0
2022,1,0,48081,Xander Schauffele,0.0,0,99,100.0
2022,1,0,35891,Cameron Smith,0.0,0,91,100.0
2022,1,0,50095,Austin Smotherman,0.0,0,117,100.0
2022,1,0,29518,Brendan Steele,0.0,0,125,100.0
2022,1,0,34431,Robert Streb,0.0,0,129,100.0
2022,1,0,34264,Hudson Swafford,0.0,0,104,100.0
2022,1,0,48699,Callum Tarren,0.0,0,91,100.0
2022,1,0,10381,Curtis Thompson,0.0,0,99,100.0
2022,1,0,30927,Brendon Todd,0.0,0,137,100.0
2022,1,0,32333,Kevin Tway,0.0,0,130,100.0
2022,1,0,27770,Camilo Villegas,0.0,0,88,100.0
2022,1,0,51894,Vince Whaley,0.0,0,120,100.0
2022,1,0,54783,Dylan Wu,0.0,0,103,100.0
2022,55,0,37275,Sam Ryder,0.55,1,181,99.45
2022,56,0,33122,Russell Knox,0.58,1,173,99.42
2022,57,0,47993,Denny McCarthy,0.61,1,165,99.39
2022,58,0,35449,Adam Long,0.65,1,154,99.35
2022,58,0,49947,Taylor Moore,0.65,1,155,99.35
2022,58,0,47529,Mito Pereira,0.65,1,155,99.35
2022,61,0,33399,Adam Hadwin,0.66,1,151,99.34
2022,61,0,51890,Greyson Sigg,0.66,1,151,99.34
2022,63,0,34076,Joel Dahmen,0.67,1,150,99.33
2022,63,0,40115,Adam Svensson,0.67,1,149,99.33
2022,65,0,36799,Stephan Jaeger,0.71,1,141,99.29
2022,66,0,37455,Si Woo Kim,0.72,1,138,99.28
2022,66,0,46442,Maverick McNealy,0.72,1,138,99.28
2022,68,0,51766,Wyndham Clark,0.74,1,136,99.26
2022,69,0,37212,Paul Barjon,0.75,1,134,99.25
2022,69,0,29908,C.T. Pan,0.75,1,134,99.25
2022,71,0,47504,Sam Burns,0.76,1,132,99.24
2022,71,0,39971,Sungjae Im,0.76,1,131,99.24
2022,73,0,34098,Russell Henley,0.77,1,130,99.23
2022,73,0,39977,Max Homa,0.77,1,130,99.23
2022,73,0,25493,Nick Taylor,0.77,1,130,99.23
2022,76,0,12716,Charley Hoffman,0.78,1,129,99.22
2022,77,0,27095,Nick Watney,0.79,1,127,99.21
2022,78,0,24924,Bill Haas,0.81,1,123,99.19
2022,78,0,25818,Scott Piercy,0.81,1,124,99.19
2022,80,0,27064,Jhonattan Vegas,0.82,1,122,99.18
2022,81,0,47483,Will Zalatoris,0.83,1,121,99.17
2022,82,0,33486,Roger Sloan,0.87,1,115,99.13
2022,83,0,27974,Sung Kang,0.89,1,112,99.11
2022,84,0,45522,Christiaan Bezuidenhout,0.9,1,111,99.1
2022,85,0,29420,Billy Horschel,0.93,1,107,99.07
2022,85,0,31420,Anirban Lahiri,0.93,1,108,99.07
2022,87,0,47856,Seth Reeves,0.94,1,106,99.06
2022,88,0,27936,Martin Laird,0.95,1,105,99.05
2022,88,0,27139,David Skinns,0.95,1,105,99.05
2022,90,0,35450,Patrick Cantlay,0.96,1,104,99.04
2022,90,0,23325,Vaughn Taylor,0.96,1,104,99.04
2022,92,0,24024,Zach Johnson,0.97,1,103,99.03
2022,93,0,46402,Talor Gooch,0.99,1,101,99.01
2022,94,0,47128,Richy Werenski,1.0,1,100,99.0
2022,95,0,46435,Austin Cook,1.01,1,99,98.99
2022,96,0,29535,Brice Garnett,1.03,1,97,98.97
2022,97,0,36801,Mark Hubbard,1.05,1,95,98.95
2022,98,0,21961,Charles Howell III,1.06,1,94,98.94
2022,98,0,27649,Brandt Snedeker,1.06,1,94,98.94
2022,98,0,45540,Jared Wolfe,1.06,1,94,98.94
2022,101,0,32816,Satoshi Kodaira,1.09,1,92,98.91
