YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
2013,30,0,23638,Brendon de Jonge,"33' 9""",58731.333,1739,Under
2013,31,0,23135,Tim Clark,"33' 10""",26083.333,771,Under
2013,31,0,1320,Bob Estes,"33' 10""",37612.0,1113,Under
2013,31,0,24490,George McNeill,"33' 10""",38872.333,1148,Under
2013,31,0,6527,Steve Stricker,"33' 10""",21180.083,626,1 Under
2013,31,0,27095,Nick Watney,"33' 10""",44302.667,1308,Under
2013,36,0,32200,Roberto Castro,"33' 11""",50986.083,1504,Under
2013,36,0,34261,Scott Langley,"33' 11""",38950.167,1147,Over
2013,36,0,8793,Tiger Woods,"33' 11""",26169.167,771,Under
2013,39,0,24507,Jason Bohn,"34' 0""",40121.583,1181,Under
2013,39,0,34021,Bud Cauley,"34' 0""",34009.667,1001,Over
2013,39,0,32366,Kevin Chappell,"34' 0""",40764.417,1199,Under
2013,39,0,20229,Stewart Cink,"34' 0""",34198.75,1006,Under
2013,39,0,23108,Matt Kuchar,"34' 0""",42074.667,1238,1 Under
2013,44,0,12510,Chad Campbell,"34' 1""",44036.417,1292,Under
2013,44,0,28307,Matt Every,"34' 1""",48590.333,1426,Under
2013,44,0,32448,James Hahn,"34' 1""",40725.167,1196,Under
2013,44,0,29221,Webb Simpson,"34' 1""",42598.333,1251,Under
2013,44,0,26289,Boo Weekley,"34' 1""",50604.333,1483,Under
2013,49,0,24846,Ricky Barnes,"34' 2""",39771.917,1165,Over
2013,49,0,23983,Luke Donald,"34' 2""",28245.5,827,Under
2013,49,0,8075,Jerry Kelly,"34' 2""",39163.083,1146,Under
2013,49,0,23800,Bryce Molder,"34' 2""",43442.083,1271,Under
2013,49,0,26331,Charl Schwartzel,"34' 2""",33093.833,969,Under
2013,49,0,24502,Adam Scott,"34' 2""",26990.083,790,Under
2013,55,0,10885,Robert Allenby,"34' 3""",31887.917,932,Over
2013,55,0,23452,Nicolas Colsaerts,"34' 3""",22109.0,646,Over
2013,55,0,25686,Jason Dufner,"34' 3""",37455.083,1094,Under
2013,55,0,19846,Brian Gay,"34' 3""",43547.833,1272,Over
2013,55,0,30925,Dustin Johnson,"34' 3""",31143.333,910,Under
2013,55,0,27503,Steve LeBrun,"34' 3""",32513.75,949,Over
2013,55,0,27933,John Merrick,"34' 3""",41772.583,1219,Under
2013,55,0,20396,Lee Westwood,"34' 3""",31164.917,910,Under
2013,55,0,21878,Mark Wilson,"34' 3""",30737.083,898,Under
2013,64,0,6573,Brandt Jobe,"34' 4""",32522.0,948,Under
2013,64,0,24138,Ian Poulter,"34' 4""",23957.417,698,Under
2013,66,0,6522,Ernie Els,"34' 5""",29652.917,861,Under
2013,66,0,23325,Vaughn Taylor,"34' 5""",24610.25,715,Over
2013,68,0,28679,Fabián Gómez,"34' 6""",34602.5,1002,Over
2013,68,0,26758,David Hearn,"34' 6""",45200.583,1309,Under
2013,68,0,23788,D.J. Trahan,"34' 6""",23410.333,679,Over
2013,71,0,34098,Russell Henley,"34' 7""",40800.667,1181,Under
2013,71,0,12716,Charley Hoffman,"34' 7""",45198.917,1307,Under
2013,71,0,21731,Freddie Jacobson,"34' 7""",28513.083,825,Under
2013,71,0,20691,Greg Owen,"34' 7""",40951.833,1185,Over
2013,71,0,24361,Pat Perez,"34' 7""",39640.083,1146,Under
2013,71,0,25834,Daniel Summerhays,"34' 7""",48290.667,1398,Under
2013,77,0,20098,Stuart Appleby,"34' 8""",48986.583,1414,Under
2013,77,0,25345,Carl Pettersson,"34' 8""",39597.25,1141,Under
2013,77,0,31323,Gary Woodland,"34' 8""",51558.833,1487,Under
2013,80,0,32102,Rickie Fowler,"34' 9""",36520.917,1052,Under
2013,80,0,35539,Luke Guthrie,"34' 9""",40527.0,1165,Over
2013,80,0,27556,Ted Potter Jr.,"34' 9""",34238.583,986,Under
2013,83,0,33461,Morgan Hoffmann,"34' 10""",33068.333,949,Under
2013,83,0,35139,Richard Lee,"34' 10""",44953.5,1289,Under
2013,83,0,22913,John Rollins,"34' 10""",42212.25,1213,Under
2013,86,0,1116,Michael Bradley,"34' 11""",26947.917,772,Over
2013,86,0,19970,Robert Karlsson,"34' 11""",23039.417,660,Over
2013,86,0,10213,Dicky Pride,"34' 11""",36900.167,1058,Over
2013,89,0,24358,Robert Garrigus,"35' 0""",30595.75,875,Under
2013,89,0,25900,Lucas Glover,"35' 0""",32655.167,932,Over
2013,89,0,22961,David Mathis,"35' 0""",38858.25,1110,Over
2013,89,0,26596,Ryan Moore,"35' 0""",35768.083,1023,Under
2013,89,0,28310,Lee Williams,"35' 0""",32069.167,917,Over
2013,94,0,30852,Ryo Ishikawa,"35' 1""",34552.083,985,Over
2013,94,0,30944,Jason Kokrak,"35' 1""",45250.917,1290,Under
2013,96,0,30711,Colt Knost,"35' 2""",36387.167,1035,Over
2013,96,0,1810,Phil Mickelson,"35' 2""",35981.833,1023,Under
2013,96,0,30110,Kyle Stanley,"35' 2""",37782.917,1074,Over
2013,96,0,27963,Chris Stroud,"35' 2""",49237.0,1399,Under
2013,96,0,27330,Josh Teater,"35' 2""",38525.333,1095,Under
2013,101,0,28259,Sangmoon Bae,"35' 3""",45354.5,1286,Even
2013,101,0,29420,Billy Horschel,"35' 3""",52448.0,1488,Under
2013,101,0,25804,Bubba Watson,"35' 3""",37273.75,1058,Under
2013,104,0,33141,Keegan Bradley,"35' 4""",45643.583,1292,1 Under
2013,104,0,28500,Martin Flores,"35' 4""",47996.833,1358,Under
2013,106,0,24924,Bill Haas,"35' 5""",43765.25,1235,Under
2013,106,0,31557,Jim Herman,"35' 5""",27896.75,788,Under
2013,106,0,34174,John Huh,"35' 5""",47555.833,1343,Under
2013,106,0,27408,Martin Kaymer,"35' 5""",26605.417,751,Under
2013,106,0,21099,David Lynn,"35' 5""",35662.417,1006,Under
2013,106,0,25240,D.A. Points,"35' 5""",43108.833,1216,Under
2013,106,0,23497,Tag Ridings,"35' 5""",36780.0,1038,Over
2013,106,0,29518,Brendan Steele,"35' 5""",48823.333,1378,Under
2013,114,0,22792,Peter Hanson,"35' 6""",20939.75,590,Under
2013,114,0,30692,Scott Stallings,"35' 6""",41754.75,1176,Even
2013,114,0,25632,Jimmy Walker,"35' 6""",47684.167,1343,Under
2013,117,0,28455,Will Claxton,"35' 7""",35733.917,1005,Over
2013,117,0,26300,Matt Jones,"35' 7""",44642.75,1255,Under
2013,117,0,28092,D.H. Lee,"35' 7""",36947.917,1038,Under
2013,117,0,28237,Rory McIlroy,"35' 7""",25893.333,727,Under
2013,121,0,34099,Harris English,"35' 8""",52356.833,1468,Under
2013,121,0,24399,Scott Gardiner,"35' 8""",33272.667,932,Over
2013,121,0,30163,Henrik Norlander,"35' 8""",37658.5,1056,Over
2013,121,0,20160,Charlie Wi,"35' 8""",42111.833,1181,Over
2013,125,0,23409,James Driscoll,"35' 9""",40303.583,1128,Under
2013,125,0,8725,Tom Gillis,"35' 9""",38562.667,1078,Over
2013,125,0,22378,Trevor Immelman,"35' 9""",39575.75,1108,Over
2013,125,0,10860,Justin Leonard,"35' 9""",48193.667,1347,Under
2013,129,0,24494,Erik Compton,"35' 10""",41641.75,1161,Over
2013,129,0,21528,Henrik Stenson,"35' 10""",28240.75,789,Under
2013,131,0,23541,Ben Crane,"35' 11""",35559.417,989,Under
2013,131,0,22056,Cameron Percy,"35' 11""",36517.0,1017,Under
2013,131,0,25818,Scott Piercy,"35' 11""",39908.833,1112,Under
2013,134,0,21209,Sergio Garcia,"36' 0""",30136.417,838,Under
2013,135,0,23353,J.J. Henry,"36' 1""",47793.833,1326,Under
2013,135,0,32150,Michael Thompson,"36' 1""",34222.833,949,Over
2013,137,0,24227,Justin Bolli,"36' 2""",29784.0,824,Over
2013,137,0,30750,Tommy Gainey,"36' 2""",48655.667,1346,Over
2013,137,0,24781,Hunter Mahan,"36' 2""",44090.417,1218,Under
2013,137,0,34360,Patrick Reed,"36' 2""",48035.333,1327,Under
2013,141,0,28089,Jason Day,"36' 4""",39717.917,1092,Under
2013,141,0,27644,Brian Harman,"36' 4""",49332.333,1358,Over
2013,141,0,27120,Troy Matteson,"36' 4""",38387.25,1056,Over
2013,141,0,28475,Jeff Overton,"36' 4""",48160.667,1327,Under
2013,141,0,20572,Rod Pampling,"36' 4""",22722.583,625,Over
2013,141,0,20443,Jin Park,"36' 4""",27998.5,771,Over
2013,141,0,33419,Cameron Tringale,"36' 4""",48695.417,1341,Under
2013,148,0,31202,William McGirt,"36' 5""",46054.833,1266,Under
2013,148,0,33418,Shawn Stefani,"36' 5""",32559.417,894,Over
2013,150,0,6004,Stephen Ames,"36' 6""",28756.667,787,Over
2013,150,0,33869,Eric Meierdierks,"36' 6""",24249.583,664,Over
2013,150,0,22046,Geoff Ogilvy,"36' 6""",27433.083,752,Over
2013,153,0,37273,Derek Ernst,"36' 7""",32168.583,879,Over
2013,153,0,20766,Padraig Harrington,"36' 7""",22922.167,626,Over
2013,153,0,27936,Martin Laird,"36' 7""",34592.417,946,Over
2013,153,0,28135,Aaron Watkins,"36' 7""",22920.667,627,Over
2013,153,0,26497,Casey Wittenberg,"36' 7""",40009.0,1093,Over
2013,158,0,22621,Ben Curtis,"36' 8""",30256.167,826,Over
2013,158,0,25336,Alistair Presnell,"36' 8""",30248.5,825,Over
2013,160,0,32334,Charlie Beljan,"36' 9""",36197.25,986,Over
2013,160,0,20593,Greg Chalmers,"36' 9""",45971.333,1252,Under
2013,160,0,34431,Robert Streb,"36' 9""",40865.417,1111,Over
2013,163,0,29479,Scott Brown,"36' 10""",36351.167,986,Over
2013,163,0,26851,Marc Leishman,"36' 10""",42336.667,1149,Under
2013,165,0,21961,Charles Howell III,"37' 0""",52927.333,1430,Under
2013,165,0,20645,John Senden,"37' 0""",40342.5,1091,Under
2013,167,0,29425,Andrew Svoboda,"37' 1""",23271.75,627,Over
2013,168,0,29289,S.Y. Noh,"37' 3""",41124.25,1105,Over
2013,169,0,10423,Mike Weir,"37' 4""",31572.333,845,Over
2013,170,0,22806,Doug LaBelle II,"37' 8""",39843.75,1058,Over
2013,171,0,27895,Jonas Blixt,"37' 9""",45029.083,1192,Over
2013,171,0,12782,Tim Herron,"37' 9""",29692.25,786,Over
2013,173,0,20848,Ángel Cabrera,"37' 11""",38693.417,1020,Even
2013,173,0,32698,Bobby Gates,"37' 11""",25813.417,681,Over
2013,175,0,26951,Johnson Wagner,"38' 0""",35357.833,931,Over
2013,176,0,24140,Sean O'Hair,"38' 2""",34857.833,913,Over
2013,177,0,25274,Steven Bowditch,"38' 3""",39676.5,1037,Under
2013,178,0,27129,Luke List,"38' 10""",36136.833,930,Over
2013,179,0,25562,Andres Romero,"39' 0""",36383.333,933,Over
2013,180,0,22371,Aaron Baddeley,"39' 3""",41477.5,1056,Over
2014,1,0,23135,Tim Clark,"31' 10""",35520.75,1115,Under
2014,2,0,10809,Jim Furyk,"32' 0""",37942.5,1186,Under
2014,3,0,25364,Paul Casey,"32' 2""",25254.583,786,Under
2014,4,0,27095,Nick Watney,"32' 3""",32322.583,1001,Under
2014,5,0,32839,Hideki Matsuyama,"32' 7""",37265.75,1145,Under
2014,6,0,23623,Bo Van Pelt,"32' 8""",39251.75,1201,Under
2014,7,0,33122,Russell Knox,"32' 9""",48808.5,1490,Under
2014,8,0,30925,Dustin Johnson,"32' 10""",24055.583,733,Under
2014,9,0,12510,Chad Campbell,"33' 0""",27186.417,823,Under
2014,10,0,27436,Graham DeLaet,"33' 1""",37916.333,1147,Under
2014,11,0,32366,Kevin Chappell,"33' 3""",51740.333,1556,Under
2014,12,0,24024,Zach Johnson,"33' 4""",49853.833,1494,1 Under
2014,12,0,28132,Tyrone Van Aswegen,"33' 4""",38897.417,1166,Over
2014,14,0,27644,Brian Harman,"33' 5""",60390.0,1809,Under
2014,14,0,2206,David Toms,"33' 5""",32462.667,971,Under
2014,16,0,32640,Troy Merritt,"33' 8""",33246.25,988,Over
2014,16,0,22293,Heath Slocum,"33' 8""",37467.833,1113,Under
2014,18,0,20229,Stewart Cink,"33' 10""",43508.833,1286,Under
2014,18,0,25900,Lucas Glover,"33' 10""",28533.083,843,Over
2014,20,0,20104,Ken Duke,"33' 11""",40201.25,1186,Under
2014,20,0,25572,Graeme McDowell,"33' 11""",27932.417,823,Under
2014,22,0,21209,Sergio Garcia,"34' 0""",24354.167,717,Under
2014,22,0,36689,Brooks Koepka,"34' 0""",25617.667,753,Under
2014,22,0,26596,Ryan Moore,"34' 0""",37871.5,1113,Under
2014,25,0,24507,Jason Bohn,"34' 2""",44567.167,1303,Over
2014,25,0,27556,Ted Potter Jr.,"34' 2""",36723.833,1074,Over
2014,27,0,32334,Charlie Beljan,"34' 3""",41046.083,1199,Over
2014,27,0,1724,Jeff Maggert,"34' 3""",26956.75,787,Over
2014,27,0,23800,Bryce Molder,"34' 3""",39289.833,1147,Over
2014,27,0,30110,Kyle Stanley,"34' 3""",44337.417,1294,Over
2014,31,0,28237,Rory McIlroy,"34' 4""",29391.667,856,1 Under
2014,31,0,35541,John Peterson,"34' 4""",33836.25,985,Over
2014,33,0,25444,Justin Hicks,"34' 5""",55615.5,1617,Under
2014,33,0,29222,Billy Hurley III,"34' 5""",44441.667,1291,Under
2014,35,0,26679,Kevin Stadler,"34' 6""",40188.833,1164,Under
2014,36,0,10885,Robert Allenby,"34' 7""",43577.333,1259,Under
2014,36,0,12716,Charley Hoffman,"34' 7""",46927.333,1358,Under
2014,36,0,26851,Marc Leishman,"34' 7""",42648.167,1234,Under
2014,39,0,22405,Justin Rose,"34' 8""",32305.833,932,Under
2014,39,0,27770,Camilo Villegas,"34' 8""",52159.083,1505,Under
2014,41,0,8075,Jerry Kelly,"34' 9""",40947.167,1179,Under
2014,41,0,24490,George McNeill,"34' 9""",43474.333,1251,Under
2014,43,0,25686,Jason Dufner,"34' 10""",26115.583,750,Under
2014,43,0,34563,Chesson Hadley,"34' 10""",44389.0,1273,Over
2014,43,0,30692,Scott Stallings,"34' 10""",39307.667,1129,Over
2014,43,0,25804,Bubba Watson,"34' 10""",34949.667,1004,Under
2014,47,0,6567,Vijay Singh,"34' 11""",47529.25,1361,Under
2014,48,0,33141,Keegan Bradley,"35' 0""",41903.583,1197,Under
2014,48,0,33413,Ben Martin,"35' 0""",39395.583,1126,Under
2014,48,0,25396,Kevin Na,"35' 0""",49019.417,1399,Under
2014,48,0,34431,Robert Streb,"35' 0""",40180.833,1147,Under
2014,52,0,24357,K.J. Choi,"35' 1""",42083.167,1200,Under
2014,52,0,26758,David Hearn,"35' 1""",51689.667,1474,Under
2014,52,0,31557,Jim Herman,"35' 1""",30096.167,857,Over
2014,52,0,21731,Freddie Jacobson,"35' 1""",50732.25,1446,Under
2014,52,0,23108,Matt Kuchar,"35' 1""",47849.75,1363,1 Under
2014,57,0,24502,Adam Scott,"35' 2""",35309.917,1004,1 Under
2014,57,0,28780,Nicholas Thompson,"35' 2""",44086.833,1255,Over
2014,57,0,26289,Boo Weekley,"35' 2""",35300.5,1003,Over
2014,60,0,28089,Jason Day,"35' 3""",20786.0,589,Under
2014,60,0,34099,Harris English,"35' 3""",46714.333,1324,Under
2014,60,0,29740,Brad Fritsch,"35' 3""",24606.667,698,Under
2014,60,0,31193,Jim Renner,"35' 3""",32762.833,929,Over
2014,60,0,34264,Hudson Swafford,"35' 3""",36437.583,1034,Over
2014,60,0,30927,Brendon Todd,"35' 3""",57449.167,1631,Under
2014,66,0,34261,Scott Langley,"35' 4""",49973.083,1414,Under
2014,66,0,26329,Louis Oosthuizen,"35' 4""",18945.667,536,Over
2014,66,0,31560,Brian Stuard,"35' 4""",46931.667,1329,Under
2014,69,0,32448,James Hahn,"35' 5""",46232.833,1306,Over
2014,69,0,30852,Ryo Ishikawa,"35' 5""",39311.917,1109,Under
2014,69,0,27649,Brandt Snedeker,"35' 5""",41680.5,1177,Under
2014,69,0,29518,Brendan Steele,"35' 5""",44416.167,1254,Under
2014,69,0,29425,Andrew Svoboda,"35' 5""",41870.167,1183,Under
2014,69,0,21878,Mark Wilson,"35' 5""",36134.5,1021,Over
2014,75,0,30926,Chris Kirk,"35' 6""",54790.417,1542,Under
2014,75,0,27933,John Merrick,"35' 6""",45849.167,1291,Over
2014,77,0,20098,Stuart Appleby,"35' 7""",53546.5,1506,Under
2014,77,0,20157,Retief Goosen,"35' 7""",49766.833,1398,Under
2014,77,0,29478,Kevin Kisner,"35' 7""",44543.083,1251,Under
2014,77,0,1706,Davis Love III,"35' 7""",40099.0,1126,Over
2014,77,0,29289,S.Y. Noh,"35' 7""",47819.667,1343,Under
2014,77,0,34265,Will Wilcox,"35' 7""",25504.667,717,Under
2014,83,0,24846,Ricky Barnes,"35' 8""",49883.583,1398,Under
2014,83,0,23541,Ben Crane,"35' 8""",49887.083,1400,Over
2014,83,0,23638,Brendon de Jonge,"35' 8""",58687.833,1644,Under
2014,83,0,1810,Phil Mickelson,"35' 8""",31611.583,887,Under
2014,83,0,33418,Shawn Stefani,"35' 8""",36339.833,1019,Under
2014,88,0,20848,Ángel Cabrera,"35' 9""",38886.25,1088,Under
2014,88,0,25345,Carl Pettersson,"35' 9""",54326.583,1518,Under
2014,90,0,32102,Rickie Fowler,"35' 10""",39853.083,1111,Under
2014,90,0,24358,Robert Garrigus,"35' 10""",46826.0,1306,Under
2014,90,0,35539,Luke Guthrie,"35' 10""",48616.333,1356,Under
2014,90,0,34174,John Huh,"35' 10""",45020.667,1255,Over
2014,90,0,23320,Ryan Palmer,"35' 10""",42848.25,1195,Under
2014,90,0,27330,Josh Teater,"35' 10""",48073.583,1342,Even
2014,96,0,20498,Briny Baird,"35' 11""",29061.0,810,Over
2014,96,0,29479,Scott Brown,"35' 11""",53529.583,1489,Under
2014,96,0,24924,Bill Haas,"35' 11""",52812.25,1472,Under
2014,96,0,24361,Pat Perez,"35' 11""",48334.75,1347,Over
2014,96,0,29221,Webb Simpson,"35' 11""",47378.083,1320,Under
2014,101,0,34021,Bud Cauley,"36' 0""",29690.167,825,Under
2014,101,0,27214,Kevin Streelman,"36' 0""",38520.333,1071,Under
2014,103,0,23983,Luke Donald,"36' 1""",28357.75,785,Under
2014,103,0,30750,Tommy Gainey,"36' 1""",38665.583,1072,Over
2014,103,0,29926,Danny Lee,"36' 1""",44500.167,1234,Under
2014,103,0,35732,Wes Roach,"36' 1""",32352.417,897,Over
2014,103,0,34046,Jordan Spieth,"36' 1""",51004.333,1415,Under
2014,108,0,27408,Martin Kaymer,"36' 2""",31052.583,858,Under
2014,108,0,34409,David Lingmerth,"36' 2""",43367.083,1200,Over
2014,108,0,22913,John Rollins,"36' 2""",43475.0,1201,Over
2014,108,0,20645,John Senden,"36' 2""",52502.5,1452,Under
2014,108,0,32150,Michael Thompson,"36' 2""",38817.417,1074,Under
2014,108,0,33419,Cameron Tringale,"36' 2""",63525.75,1755,Under
2014,114,0,7867,Woody Austin,"36' 3""",37032.417,1022,Over
2014,114,0,28307,Matt Every,"36' 3""",42153.417,1163,Under
2014,114,0,28500,Martin Flores,"36' 3""",43988.25,1214,Under
2014,114,0,30944,Jason Kokrak,"36' 3""",39556.667,1092,Under
2014,118,0,29420,Billy Horschel,"36' 4""",44699.0,1229,Under
2014,118,0,25240,D.A. Points,"36' 4""",35731.583,984,Over
2014,118,0,34360,Patrick Reed,"36' 4""",48179.083,1326,Under
2014,121,0,25274,Steven Bowditch,"36' 5""",50714.333,1393,Over
2014,121,0,32200,Roberto Castro,"36' 5""",38497.25,1057,Over
2014,121,0,21961,Charles Howell III,"36' 5""",62082.417,1705,Under
2014,121,0,24138,Ian Poulter,"36' 5""",26573.083,729,Over
2014,121,0,23621,Rory Sabbatini,"36' 5""",42383.75,1164,Over
2014,126,0,33461,Morgan Hoffmann,"36' 6""",58841.0,1612,Under
2014,126,0,21528,Henrik Stenson,"36' 6""",24786.083,679,Under
2014,126,0,27963,Chris Stroud,"36' 6""",47004.417,1289,Under
2014,126,0,25632,Jimmy Walker,"36' 6""",47616.75,1305,1 Under
2014,130,0,24781,Hunter Mahan,"36' 7""",46996.833,1285,Under
2014,130,0,25834,Daniel Summerhays,"36' 7""",57683.75,1575,Under
2014,130,0,26951,Johnson Wagner,"36' 7""",37795.333,1033,Over
2014,130,0,25349,Tim Wilkinson,"36' 7""",46665.417,1275,Even
2014,134,0,24925,Jonathan Byrd,"36' 8""",42517.75,1160,Over
2014,134,0,25191,Gonzalo Fernandez-Castaño,"36' 8""",45066.917,1228,Over
2014,134,0,23353,J.J. Henry,"36' 8""",51313.333,1398,Over
2014,134,0,24912,Will MacKenzie,"36' 8""",48033.75,1311,Under
2014,134,0,28486,Michael Putnam,"36' 8""",59731.25,1628,Under
2014,134,0,20160,Charlie Wi,"36' 8""",42771.833,1166,Over
2014,140,0,22046,Geoff Ogilvy,"36' 9""",47998.417,1305,Over
2014,141,0,21753,Brian Davis,"36' 10""",53577.25,1456,Under
2014,141,0,29461,Jamie Lovemark,"36' 10""",30849.75,838,Over
2014,141,0,28475,Jeff Overton,"36' 10""",43531.0,1181,Under
2014,141,0,31323,Gary Woodland,"36' 10""",48161.5,1307,Under
2014,141,0,24663,Y.E. Yang,"36' 10""",40153.583,1091,Over
2014,146,0,19846,Brian Gay,"36' 11""",41631.75,1128,Over
2014,146,0,34098,Russell Henley,"36' 11""",49359.0,1337,Under
2014,146,0,27466,Spencer Levin,"36' 11""",33077.083,897,Over
2014,149,0,27120,Troy Matteson,"37' 0""",32515.083,878,Over
2014,149,0,31202,William McGirt,"37' 0""",55548.833,1503,Under
2014,151,0,29535,Brice Garnett,"37' 1""",51711.75,1394,Under
2014,151,0,27936,Martin Laird,"37' 1""",36477.583,983,Under
2014,153,0,24494,Erik Compton,"37' 2""",49975.167,1344,Over
2014,153,0,10860,Justin Leonard,"37' 2""",41328.833,1111,Over
2014,153,0,24140,Sean O'Hair,"37' 2""",44539.583,1199,Over
2014,156,0,26956,Bronson La'Cassie,"37' 4""",24084.5,645,Over
2014,156,0,26331,Charl Schwartzel,"37' 4""",36113.167,967,Under
2014,158,0,28259,Sangmoon Bae,"37' 5""",43428.083,1161,Under
2014,159,0,27895,Jonas Blixt,"37' 7""",28880.917,769,Over
2014,160,0,27141,J.B. Holmes,"37' 9""",52065.75,1380,Under
2014,161,0,32333,Kevin Tway,"37' 10""",31790.083,841,Over
2014,161,0,10423,Mike Weir,"37' 10""",35887.417,948,Over
2014,163,0,35300,Andrew Loupe,"37' 11""",33952.833,895,Over
2014,164,0,22378,Trevor Immelman,"38' 0""",45632.25,1202,Over
2014,164,0,27064,Jhonattan Vegas,"38' 0""",43600.25,1147,Under
2014,166,0,6522,Ernie Els,"38' 1""",42908.083,1127,Under
2014,166,0,28092,D.H. Lee,"38' 1""",30656.833,805,Over
2014,168,0,22621,Ben Curtis,"38' 2""",43924.667,1150,Over
2014,169,0,25720,Chad Collins,"38' 3""",41753.75,1091,Over
2014,170,0,20593,Greg Chalmers,"38' 4""",50123.917,1308,Over
2014,170,0,25562,Andres Romero,"38' 4""",49397.75,1289,Under
2014,172,0,23409,James Driscoll,"38' 6""",40039.083,1041,Over
2014,173,0,37273,Derek Ernst,"38' 7""",43548.5,1129,Over
2014,173,0,26300,Matt Jones,"38' 7""",41505.25,1075,Under
2014,173,0,20396,Lee Westwood,"38' 7""",29666.917,769,Under
2014,176,0,35139,Richard Lee,"38' 8""",41898.25,1084,Over
2014,177,0,22371,Aaron Baddeley,"39' 1""",41249.417,1056,Over
2022,1,0,19803,Ryan Armour,"32' 5""",20301.167,627,58
2022,2,0,33204,Shane Lowry,"32' 9""",28068.917,857,T50
2022,3,0,50525,Collin Morikawa,"32' 11""",28082.833,854,30
2022,4,0,23325,Vaughn Taylor,"33' 5""",23928.25,716,88
2022,5,0,33122,Russell Knox,"33' 6""",44396.667,1326,4
2022,6,0,39997,Corey Conners,"33' 10""",42808.917,1266,2
2022,6,0,22405,Justin Rose,"33' 10""",22878.0,676,142
2022,8,0,39953,Chase Seiffert,"34' 0""",22421.583,660,109
2022,9,0,34098,Russell Henley,"34' 1""",38306.333,1123,7
2022,10,0,45522,Christiaan Bezuidenhout,"34' 2""",33497.583,981,T107
2022,11,0,45609,Tyler Duncan,"34' 3""",39615.917,1158,54
2022,11,0,25900,Lucas Glover,"34' 3""",50020.167,1461,T37
2022,11,0,47483,Will Zalatoris,"34' 3""",35036.167,1024,8
2022,14,0,22056,Cameron Percy,"34' 4""",19547.583,569,T81
2022,15,0,34076,Joel Dahmen,"34' 5""",45227.917,1315,T50
2022,16,0,26476,Chez Reavie,"34' 6""",46330.167,1342,91
2022,17,0,50095,Austin Smotherman,"34' 7""",38920.75,1126,32
2022,18,0,27644,Brian Harman,"34' 8""",46837.917,1350,71
2022,18,0,46717,Viktor Hovland,"34' 8""",34685.833,1001,74
2022,18,0,33448,Justin Thomas,"34' 8""",37758.417,1088,34
2022,21,0,35532,Tom Hoge,"34' 9""",45848.5,1318,101
2022,21,0,57366,Cameron Young,"34' 9""",43384.167,1247,143
2022,23,0,29518,Brendan Steele,"34' 10""",38698.0,1111,T16
2022,24,0,24980,Scott Gutschewski,"34' 11""",23671.0,678,33
2022,25,0,33141,Keegan Bradley,"35' 0""",41333.0,1182,T103
2022,25,0,47529,Mito Pereira,"35' 0""",47048.667,1345,14
2022,27,0,46435,Austin Cook,"35' 1""",33106.583,943,161
2022,27,0,29725,Tony Finau,"35' 1""",44278.833,1262,5
