YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2013,35,0,10213,Dicky Pride,11.36,93,819,+0.10
2013,36,0,21528,Henrik Stenson,11.37,69,607,-0.01
2013,37,0,34099,Harris English,11.43,129,1129,+0.05
2013,38,0,6573,Brandt Jobe,11.46,84,733,-0.07
2013,39,0,23623,Bo Van Pelt,11.5,86,748,+0.01
2013,40,0,1320,Bob Estes,11.66,100,858,+0.20
2013,41,0,22806,Doug LaBelle II,11.81,96,813,+0.18
2013,42,0,8075,Jerry Kelly,11.82,105,888,+0.06
2013,43,0,24024,Zach Johnson,11.86,111,936,+0.10
2013,44,0,37273,Derek Ernst,11.89,81,681,+0.16
2013,45,0,25818,Scott Piercy,11.9,102,857,+0.03
2013,46,0,26851,Marc Leishman,11.95,106,887,+0.07
2013,47,0,27556,Ted Potter Jr.,11.98,92,768,-0.05
2013,48,0,27503,Steve LeBrun,11.99,88,734,+0.13
2013,49,0,26476,Chez Reavie,12.02,112,932,+0.09
2013,50,0,22405,Justin Rose,12.03,77,640,-0.09
2013,51,0,20098,Stuart Appleby,12.1,131,1083,-0.04
2013,52,0,24663,Y.E. Yang,12.11,69,570,+0.20
2013,53,0,31560,Brian Stuard,12.14,106,873,+0.05
2013,54,0,28679,Fabián Gómez,12.16,94,773,+0.11
2013,54,0,2206,David Toms,12.16,54,444,+0.15
2013,56,0,34409,David Lingmerth,12.2,96,787,+0.06
2013,57,0,20443,Jin Park,12.23,73,597,+0.12
2013,58,0,30110,Kyle Stanley,12.26,102,832,+0.21
2013,59,0,27214,Kevin Streelman,12.3,116,943,+0.05
2013,60,0,22913,John Rollins,12.35,115,931,+0.03
2013,61,0,27436,Graham DeLaet,12.54,140,1116,-0.02
2013,62,0,20396,Lee Westwood,12.57,89,708,+0.03
2013,63,0,35139,Richard Lee,12.61,126,999,+0.14
2013,64,0,27936,Martin Laird,12.62,92,729,E
2013,65,0,22378,Trevor Immelman,12.66,108,853,+0.14
2013,66,0,30926,Chris Kirk,12.72,142,1116,-0.06
2013,67,0,32150,Michael Thompson,12.74,93,730,+0.18
2013,68,0,24846,Ricky Barnes,12.76,115,901,+0.06
2013,69,0,32334,Charlie Beljan,12.77,96,752,+0.14
2013,70,0,28237,Rory McIlroy,12.81,72,562,-0.21
2013,71,0,33141,Keegan Bradley,12.85,128,996,+0.04
2013,72,0,24227,Justin Bolli,12.89,82,636,+0.20
2013,72,0,21731,Freddie Jacobson,12.89,82,636,-0.02
2013,74,0,24361,Pat Perez,12.91,114,883,-0.01
2013,75,0,24507,Jason Bohn,12.92,118,913,+0.20
2013,76,0,31202,William McGirt,12.93,127,982,+0.07
2013,77,0,21753,Brian Davis,13.01,150,1153,+0.07
2013,78,0,25686,Jason Dufner,13.03,111,852,-0.05
2013,79,0,30692,Scott Stallings,13.05,119,912,+0.03
2013,80,0,6522,Ernie Els,13.12,87,663,-0.02
2013,80,0,19846,Brian Gay,13.12,129,983,+0.04
2013,80,0,25834,Daniel Summerhays,13.12,141,1075,+0.10
2013,83,0,24399,Scott Gardiner,13.13,94,716,+0.21
2013,83,0,29221,Webb Simpson,13.13,128,975,+0.02
2013,85,0,27963,Chris Stroud,13.2,142,1076,-0.01
2013,86,0,6004,Stephen Ames,13.25,80,604,+0.23
2013,86,0,29420,Billy Horschel,13.25,152,1147,+0.01
2013,88,0,33419,Cameron Tringale,13.31,138,1037,+0.07
2013,89,0,27933,John Merrick,13.4,127,948,+0.06
2013,90,0,20229,Stewart Cink,13.41,103,768,+0.07
2013,91,0,12716,Charley Hoffman,13.43,135,1005,-0.02
2013,92,0,1724,Jeff Maggert,13.44,107,796,+0.21
2013,93,0,20645,John Senden,13.49,114,845,+0.09
2013,94,0,32448,James Hahn,13.51,125,925,+0.14
2013,95,0,23325,Vaughn Taylor,13.56,75,553,+0.31
2013,96,0,10860,Justin Leonard,13.58,141,1038,+0.13
2013,97,0,8725,Tom Gillis,13.7,114,832,+0.15
2013,98,0,19970,Robert Karlsson,13.73,70,510,+0.07
2013,99,0,24138,Ian Poulter,13.79,75,544,+0.03
2013,100,0,34021,Bud Cauley,13.86,107,772,+0.06
2013,101,0,32366,Kevin Chappell,13.9,129,928,+0.03
2013,102,0,28089,Jason Day,13.91,117,841,+0.01
2013,103,0,35539,Luke Guthrie,13.98,126,901,+0.11
2013,103,0,28310,Lee Williams,13.98,99,708,+0.15
2013,105,0,32102,Rickie Fowler,14.02,115,820,+0.05
2013,106,0,29518,Brendan Steele,14.07,150,1066,+0.13
2013,107,0,27649,Brandt Snedeker,14.09,114,809,-0.05
2013,108,0,23541,Ben Crane,14.15,108,763,-0.03
2013,109,0,6567,Vijay Singh,14.18,94,663,+0.13
2013,110,0,23621,Rory Sabbatini,14.19,141,994,+0.01
2013,111,0,27644,Brian Harman,14.23,150,1054,+0.08
2013,111,0,26331,Charl Schwartzel,14.23,105,738,-0.02
2013,113,0,31557,Jim Herman,14.26,87,610,-0.02
2013,114,0,28780,Nicholas Thompson,14.27,170,1191,+0.11
2013,115,0,28259,Sangmoon Bae,14.33,143,998,+0.03
2013,116,0,20848,Ángel Cabrera,14.34,112,781,+0.01
2013,117,0,25336,Alistair Presnell,14.35,90,627,+0.17
2013,118,0,29425,Andrew Svoboda,14.4,70,486,+0.20
2013,119,0,22621,Ben Curtis,14.42,92,638,+0.20
2013,120,0,28455,Will Claxton,14.45,112,775,+0.14
2013,121,0,27408,Martin Kaymer,14.46,83,574,+0.01
2013,122,0,22046,Geoff Ogilvy,14.49,83,573,+0.14
2013,123,0,31323,Gary Woodland,14.51,166,1144,+0.01
2013,124,0,10423,Mike Weir,14.57,94,645,+0.13
2013,125,0,24494,Erik Compton,14.61,130,890,+0.08
2013,126,0,25274,Steven Bowditch,14.68,116,790,+0.08
2013,127,0,24924,Bill Haas,14.69,141,960,+0.01
2013,128,0,21099,David Lynn,14.71,114,775,+0.13
2013,129,0,23108,Matt Kuchar,14.82,142,958,E
2013,130,0,27120,Troy Matteson,14.84,119,802,+0.14
2013,130,0,25345,Carl Pettersson,14.84,131,883,+0.18
2013,132,0,25240,D.A. Points,14.86,140,942,+0.08
2013,132,0,27770,Camilo Villegas,14.86,132,888,+0.08
2013,134,0,22056,Cameron Percy,14.89,117,786,+0.05
2013,135,0,23983,Luke Donald,15.09,96,636,E
2013,135,0,24140,Sean O'Hair,15.09,105,696,+0.24
2013,137,0,12782,Tim Herron,15.14,91,601,+0.14
2013,137,0,23320,Ryan Palmer,15.14,144,951,+0.05
2013,139,0,33461,Morgan Hoffmann,15.18,111,731,+0.09
2013,140,0,25804,Bubba Watson,15.19,125,823,-0.06
2013,141,0,12510,Chad Campbell,15.22,152,999,+0.11
2013,142,0,28307,Matt Every,15.23,169,1110,+0.06
2013,143,0,23353,J.J. Henry,15.27,157,1028,+0.15
2013,144,0,28475,Jeff Overton,15.29,156,1020,+0.15
2013,145,0,24502,Adam Scott,15.3,93,608,-0.01
2013,146,0,25562,Andres Romero,15.31,109,712,+0.05
2013,147,0,27895,Jonas Blixt,15.33,142,926,+0.09
2013,148,0,30163,Henrik Norlander,15.38,125,813,+0.09
2013,149,0,29740,Brad Fritsch,15.47,145,937,+0.17
2013,150,0,25632,Jimmy Walker,15.61,160,1025,-0.05
2013,151,0,32698,Bobby Gates,15.73,81,515,+0.09
2013,152,0,26679,Kevin Stadler,15.76,151,958,-0.01
2013,153,0,34098,Russell Henley,15.85,145,915,+0.07
2013,154,0,20766,Padraig Harrington,15.94,77,483,+0.09
2013,155,0,34360,Patrick Reed,16.03,163,1017,-0.07
2013,156,0,25900,Lucas Glover,16.04,115,717,+0.16
2013,157,0,23788,D.J. Trahan,16.09,84,522,E
2013,158,0,23497,Tag Ridings,16.14,128,793,+0.05
2013,159,0,20691,Greg Owen,16.43,150,913,+0.17
2013,160,0,23452,Nicolas Colsaerts,16.57,82,495,+0.09
2013,161,0,30750,Tommy Gainey,16.76,174,1038,+0.11
2013,162,0,21209,Sergio Garcia,16.93,109,644,-0.02
2013,163,0,24358,Robert Garrigus,16.96,114,672,-0.03
2013,164,0,30925,Dustin Johnson,17.26,121,701,+0.01
2013,165,0,34431,Robert Streb,17.3,146,844,+0.10
2013,166,0,30944,Jason Kokrak,17.56,173,985,+0.01
2013,167,0,22371,Aaron Baddeley,17.6,141,801,-0.06
2013,168,0,10885,Robert Allenby,17.89,127,710,+0.15
2013,168,0,1810,Phil Mickelson,17.89,139,777,-0.02
2013,170,0,33869,Eric Meierdierks,17.91,91,508,+0.18
2013,171,0,30852,Ryo Ishikawa,17.94,136,758,+0.11
2013,172,0,22792,Peter Hanson,18.12,83,458,+0.06
2013,173,0,26951,Johnson Wagner,18.19,131,720,+0.18
2013,174,0,28500,Martin Flores,18.36,192,1046,+0.08
2013,175,0,23409,James Driscoll,18.49,159,860,+0.05
2013,176,0,29289,S.Y. Noh,18.58,157,845,+0.06
2013,177,0,26497,Casey Wittenberg,19.26,161,836,+0.14
2013,178,0,1116,Michael Bradley,19.42,114,587,+0.15
2013,179,0,33418,Shawn Stefani,19.71,134,680,+0.11
2013,180,0,27129,Luke List,22.66,157,693,+0.03
2014,1,0,2206,David Toms,8.0,60,750,+0.20
2014,2,0,23135,Tim Clark,8.82,76,862,+0.12
2014,3,0,21878,Mark Wilson,9.24,73,790,+0.07
2014,4,0,26758,David Hearn,9.35,106,1134,+0.21
2014,5,0,23800,Bryce Molder,9.74,86,883,+0.02
2014,6,0,10809,Jim Furyk,9.8,90,918,+0.07
2014,7,0,24490,George McNeill,10.02,97,968,+0.16
2014,8,0,32640,Troy Merritt,10.1,77,762,+0.01
2014,9,0,27095,Nick Watney,10.22,80,783,+0.14
2014,10,0,20104,Ken Duke,10.53,97,921,+0.20
2014,11,0,26289,Boo Weekley,10.57,83,785,-0.06
2014,12,0,25444,Justin Hicks,10.77,135,1253,+0.11
2014,13,0,20593,Greg Chalmers,10.97,110,1003,+0.12
2014,14,0,21528,Henrik Stenson,11.03,58,526,+0.07
2014,15,0,27214,Kevin Streelman,11.24,94,836,+0.16
2014,16,0,24781,Hunter Mahan,11.29,113,1001,+0.07
2014,17,0,33122,Russell Knox,11.43,132,1155,+0.07
2014,18,0,32366,Kevin Chappell,11.51,138,1199,+0.06
2014,19,0,22293,Heath Slocum,11.53,100,867,-0.05
2014,20,0,22371,Aaron Baddeley,11.54,92,797,-0.01
2014,21,0,29478,Kevin Kisner,11.59,112,966,+0.06
2014,22,0,26596,Ryan Moore,11.62,101,869,+0.17
2014,23,0,29222,Billy Hurley III,11.67,117,1003,+0.15
2014,24,0,27556,Ted Potter Jr.,11.75,98,834,+0.10
2014,25,0,28780,Nicholas Thompson,11.76,114,969,+0.27
2014,26,0,22378,Trevor Immelman,11.78,109,925,+0.09
2014,27,0,25191,Gonzalo Fernandez-Castaño,11.8,113,958,+0.12
2014,28,0,30110,Kyle Stanley,11.81,117,991,+0.15
2014,29,0,34261,Scott Langley,11.82,129,1091,+0.07
2014,30,0,27408,Martin Kaymer,11.83,79,668,+0.25
2014,31,0,34174,John Huh,11.9,116,975,+0.20
2014,32,0,25349,Tim Wilkinson,12.02,119,990,+0.15
2014,33,0,37273,Derek Ernst,12.06,106,879,+0.17
2014,34,0,32448,James Hahn,12.08,122,1010,+0.10
2014,35,0,24924,Bill Haas,12.13,137,1129,+0.03
2014,36,0,23541,Ben Crane,12.15,131,1078,+0.14
2014,37,0,26851,Marc Leishman,12.17,115,945,+0.05
2014,38,0,24024,Zach Johnson,12.18,143,1174,+0.03
2014,39,0,25686,Jason Dufner,12.29,72,586,+0.14
2014,40,0,24357,K.J. Choi,12.32,114,925,+0.18
2014,40,0,20160,Charlie Wi,12.32,111,901,+0.03
2014,42,0,35541,John Peterson,12.43,95,764,+0.18
2014,43,0,28092,D.H. Lee,12.46,78,626,+0.21
2014,43,0,33413,Ben Martin,12.46,109,875,+0.06
2014,45,0,32102,Rickie Fowler,12.51,106,847,+0.09
2014,46,0,23638,Brendon de Jonge,12.53,160,1277,+0.04
2014,47,0,22621,Ben Curtis,12.54,111,885,+0.18
2014,48,0,29420,Billy Horschel,12.56,121,963,+0.07
2014,48,0,20396,Lee Westwood,12.56,75,597,+0.15
2014,50,0,29535,Brice Garnett,12.59,136,1080,+0.01
2014,51,0,28259,Sangmoon Bae,12.61,114,904,+0.06
2014,52,0,25900,Lucas Glover,12.63,82,649,+0.16
2014,53,0,25572,Graeme McDowell,12.66,81,640,+0.12
2014,54,0,29461,Jamie Lovemark,12.67,82,647,-0.04
2014,55,0,12716,Charley Hoffman,12.69,133,1048,-0.03
2014,55,0,22405,Justin Rose,12.69,91,717,+0.04
2014,57,0,24663,Y.E. Yang,12.72,107,841,+0.07
2014,58,0,6567,Vijay Singh,12.73,134,1053,+0.07
2014,59,0,26679,Kevin Stadler,12.82,116,905,+0.16
2014,60,0,20645,John Senden,12.83,144,1122,+0.03
2014,61,0,34098,Russell Henley,12.88,134,1040,+0.09
2014,61,0,8075,Jerry Kelly,12.88,118,916,+0.05
2014,63,0,25834,Daniel Summerhays,12.89,158,1226,+0.05
2014,64,0,35732,Wes Roach,12.93,90,696,+0.13
2014,64,0,27064,Jhonattan Vegas,12.93,114,882,-0.07
2014,66,0,31560,Brian Stuard,12.94,133,1028,+0.18
2014,67,0,23108,Matt Kuchar,12.97,137,1056,+0.04
2014,68,0,34264,Hudson Swafford,12.98,104,801,-0.02
2014,69,0,27963,Chris Stroud,12.99,130,1001,+0.10
2014,70,0,27330,Josh Teater,13.03,135,1036,+0.05
2014,71,0,22913,John Rollins,13.04,120,920,+0.02
2014,72,0,29425,Andrew Svoboda,13.07,120,918,+0.13
2014,73,0,25396,Kevin Na,13.08,141,1078,+0.05
2014,74,0,26331,Charl Schwartzel,13.1,98,748,-0.09
2014,75,0,29479,Scott Brown,13.19,153,1160,+0.13
2014,76,0,32839,Hideki Matsuyama,13.21,118,893,+0.04
2014,77,0,30927,Brendon Todd,13.22,167,1263,+0.05
2014,78,0,1724,Jeff Maggert,13.24,81,612,+0.14
2014,79,0,27933,John Merrick,13.27,133,1002,+0.08
2014,80,0,25364,Paul Casey,13.3,81,609,+0.23
2014,81,0,31202,William McGirt,13.36,156,1168,+0.08
2014,82,0,24361,Pat Perez,13.38,139,1039,+0.12
2014,83,0,23621,Rory Sabbatini,13.39,120,896,+0.18
2014,84,0,12510,Chad Campbell,13.4,86,642,+0.01
2014,85,0,24502,Adam Scott,13.41,105,783,+0.06
2014,86,0,24138,Ian Poulter,13.45,76,565,E
2014,86,0,32333,Kevin Tway,13.45,87,647,-0.01
2014,88,0,32150,Michael Thompson,13.51,112,829,+0.13
2014,89,0,33419,Cameron Tringale,13.57,184,1356,+0.07
2014,90,0,21209,Sergio Garcia,13.59,75,552,-0.05
2014,90,0,30926,Chris Kirk,13.59,163,1199,+0.07
2014,92,0,24507,Jason Bohn,13.66,138,1010,+0.17
2014,93,0,24925,Jonathan Byrd,13.7,123,898,+0.07
2014,94,0,29740,Brad Fritsch,13.73,74,539,+0.11
2014,95,0,10860,Justin Leonard,13.75,118,858,+0.14
2014,96,0,30750,Tommy Gainey,13.77,114,828,+0.11
2014,97,0,27649,Brandt Snedeker,13.79,126,914,+0.06
2014,98,0,21753,Brian Davis,13.8,155,1123,+0.10
2014,98,0,34046,Jordan Spieth,13.8,151,1094,+0.13
2014,100,0,24912,Will MacKenzie,13.82,139,1006,+0.19
2014,101,0,29926,Danny Lee,13.91,133,956,+0.08
2014,102,0,20498,Briny Baird,13.94,87,624,+0.18
2014,102,0,19846,Brian Gay,13.94,122,875,+0.07
2014,104,0,35139,Richard Lee,13.95,118,846,+0.15
2014,105,0,31557,Jim Herman,13.98,93,665,+0.06
2014,106,0,21731,Freddie Jacobson,14.05,156,1110,+0.04
2014,107,0,34099,Harris English,14.15,144,1018,+0.06
2014,108,0,27936,Martin Laird,14.23,109,766,+0.07
2014,109,0,28500,Martin Flores,14.24,133,934,+0.03
2014,110,0,32200,Roberto Castro,14.3,116,811,+0.10
2014,110,0,6522,Ernie Els,14.3,123,860,+0.10
2014,112,0,29289,S.Y. Noh,14.38,148,1029,+0.09
2014,113,0,32334,Charlie Beljan,14.39,133,924,+0.09
2014,114,0,34021,Bud Cauley,14.42,92,638,+0.15
2014,115,0,33141,Keegan Bradley,14.44,134,928,+0.10
2014,116,0,31323,Gary Woodland,14.46,146,1010,+0.06
2014,117,0,27895,Jonas Blixt,14.5,86,593,+0.13
2014,118,0,34409,David Lingmerth,14.54,133,915,+0.16
2014,119,0,23353,J.J. Henry,14.56,157,1078,+0.01
2014,120,0,25720,Chad Collins,14.61,123,842,+0.18
2014,121,0,33418,Shawn Stefani,14.63,116,793,+0.04
2014,122,0,36689,Brooks Koepka,14.66,85,580,-0.02
2014,123,0,23983,Luke Donald,14.69,89,606,+0.19
2014,123,0,27120,Troy Matteson,14.69,98,667,+0.10
2014,123,0,25804,Bubba Watson,14.69,114,776,-0.07
2014,126,0,22046,Geoff Ogilvy,14.8,149,1007,+0.13
2014,127,0,26300,Matt Jones,14.82,122,823,-0.02
2014,127,0,28486,Michael Putnam,14.82,186,1255,+0.11
2014,129,0,10423,Mike Weir,14.88,108,726,+0.11
2014,130,0,27436,Graham DeLaet,14.92,132,885,+0.08
2014,131,0,29518,Brendan Steele,14.93,145,971,+0.09
2014,132,0,20098,Stuart Appleby,15.03,175,1164,+0.13
2014,133,0,23623,Bo Van Pelt,15.04,140,931,+0.09
2014,134,0,35539,Luke Guthrie,15.17,159,1048,+0.03
2014,135,0,20157,Retief Goosen,15.19,163,1073,+0.04
2014,136,0,25240,D.A. Points,15.2,116,763,+0.22
2014,137,0,24358,Robert Garrigus,15.24,153,1004,+0.07
2014,138,0,28475,Jeff Overton,15.32,140,914,+0.06
2014,138,0,25345,Carl Pettersson,15.32,180,1175,+0.05
2014,140,0,20229,Stewart Cink,15.34,152,991,+0.05
2014,141,0,27644,Brian Harman,15.47,217,1403,+0.13
2014,142,0,27770,Camilo Villegas,15.48,179,1156,+0.15
2014,143,0,20848,Ángel Cabrera,15.56,131,842,+0.08
2014,143,0,34265,Will Wilcox,15.56,87,559,+0.02
2014,145,0,29221,Webb Simpson,15.69,161,1026,+0.05
2014,146,0,33461,Morgan Hoffmann,15.75,194,1232,+0.14
2014,147,0,34360,Patrick Reed,15.77,162,1027,+0.09
2014,148,0,7867,Woody Austin,15.78,125,792,+0.11
2014,149,0,27466,Spencer Levin,15.92,110,691,+0.19
2014,150,0,28237,Rory McIlroy,15.94,106,665,-0.07
2014,151,0,28089,Jason Day,16.0,72,450,+0.17
2014,152,0,26329,Louis Oosthuizen,16.14,67,415,+0.28
2014,153,0,23320,Ryan Palmer,16.16,150,928,-0.01
2014,154,0,30692,Scott Stallings,16.22,140,863,+0.22
2014,155,0,26951,Johnson Wagner,16.23,130,801,+0.15
2014,156,0,31193,Jim Renner,16.34,117,716,+0.09
2014,157,0,27141,J.B. Holmes,16.38,171,1044,+0.09
2014,158,0,25562,Andres Romero,16.4,161,982,+0.05
2014,159,0,24846,Ricky Barnes,16.43,177,1077,+0.01
2014,160,0,1810,Phil Mickelson,16.52,114,690,-0.01
2014,160,0,24140,Sean O'Hair,16.52,151,914,+0.07
2014,162,0,30944,Jason Kokrak,16.65,139,835,-0.04
2014,163,0,30925,Dustin Johnson,16.75,96,573,-0.02
2014,164,0,24494,Erik Compton,16.91,174,1029,+0.14
2014,165,0,35300,Andrew Loupe,16.94,115,679,+0.05
2014,166,0,28307,Matt Every,17.14,152,887,E
2014,167,0,30852,Ryo Ishikawa,17.26,146,846,+0.12
2014,168,0,26956,Bronson La'Cassie,17.27,86,498,+0.05
2014,169,0,10885,Robert Allenby,17.41,168,965,+0.08
2014,170,0,25274,Steven Bowditch,17.5,188,1074,+0.11
2014,171,0,34431,Robert Streb,17.7,157,887,+0.06
2014,172,0,23409,James Driscoll,17.76,141,794,+0.20
2014,173,0,25632,Jimmy Walker,17.85,179,1003,+0.01
2014,174,0,1706,Davis Love III,17.98,155,862,+0.15
2014,175,0,21961,Charles Howell III,18.04,236,1308,-0.09
2014,176,0,34563,Chesson Hadley,18.29,180,984,+0.16
2014,177,0,28132,Tyrone Van Aswegen,19.19,170,886,+0.08
2022,1,0,45526,Abraham Ancer,7.79,50,642,+0.10
2022,2,0,27936,Martin Laird,8.75,74,846,+0.18
2022,3,0,32816,Satoshi Kodaira,8.8,50,568,+0.22
2022,3,0,24138,Ian Poulter,8.8,46,523,+0.04
2022,5,0,31560,Brian Stuard,9.27,88,949,+0.15
2022,6,0,33122,Russell Knox,9.46,102,1078,+0.12
2022,7,0,36801,Mark Hubbard,9.54,72,755,+0.06
2022,8,0,27214,Kevin Streelman,9.68,107,1105,-0.05
2022,9,0,29974,Branden Grace,9.69,63,650,+0.13
2022,10,0,27349,Alex Noren,9.82,70,713,+0.06
2022,11,0,19803,Ryan Armour,9.86,50,507,+0.34
2022,12,0,34256,Andrew Putnam,9.89,111,1122,+0.11
2022,13,0,37455,Si Woo Kim,9.92,115,1159,+0.16
2022,14,0,49298,Kramer Hickok,9.93,101,1017,+0.04
2022,15,0,48081,Xander Schauffele,9.94,84,845,-0.01
2022,16,0,39324,J.J. Spaun,10.08,107,1061,+0.12
2022,17,0,23108,Matt Kuchar,10.19,90,883,+0.01
2022,18,0,26476,Chez Reavie,10.27,106,1032,+0.20
2022,19,0,45609,Tyler Duncan,10.28,92,895,+0.12
2022,20,0,32150,Michael Thompson,10.36,106,1023,+0.16
2022,21,0,30978,Kiradech Aphibarnrat,10.38,54,520,+0.13
2022,22,0,30927,Brendon Todd,10.42,101,969,+0.03
2022,23,0,32662,Michael Gligic,10.43,82,786,+0.05
2022,24,0,32839,Hideki Matsuyama,10.53,87,826,+0.03
2022,25,0,32640,Troy Merritt,10.58,114,1077,+0.22
2022,26,0,55708,Hayden Buckley,10.59,113,1067,+0.25
2022,27,0,31420,Anirban Lahiri,10.61,91,858,+0.11
2022,28,0,35532,Tom Hoge,10.62,112,1055,+0.10
2022,29,0,25900,Lucas Glover,10.82,127,1174,+0.13
2022,30,0,24024,Zach Johnson,10.92,83,760,+0.13
2022,31,0,49766,Hank Lebioda,10.93,102,933,+0.08
2022,32,0,23621,Rory Sabbatini,10.94,76,695,+0.20
2022,33,0,46970,Jon Rahm,10.99,90,819,-0.01
2022,34,0,52374,Brandon Wu,11.05,82,742,+0.11
2022,35,0,21961,Charles Howell III,11.06,72,651,+0.13
2022,36,0,47983,Chad Ramey,11.18,85,760,+0.13
2022,37,0,39953,Chase Seiffert,11.2,57,509,+0.07
2022,37,0,56278,Matthew Wolff,11.2,58,518,+0.12
2022,39,0,25818,Scott Piercy,11.3,104,920,+0.11
2022,40,0,40098,Matt Fitzpatrick,11.33,81,715,+0.05
2022,40,0,26851,Marc Leishman,11.33,102,900,-0.01
2022,42,0,34264,Hudson Swafford,11.38,75,659,+0.01
2022,43,0,22405,Justin Rose,11.42,66,578,+0.12
2022,44,0,48822,Sebastián Muñoz,11.45,112,978,+0.16
2022,45,0,34098,Russell Henley,11.5,101,878,+0.01
2022,46,0,39997,Corey Conners,11.55,120,1039,+0.03
2022,47,0,32102,Rickie Fowler,11.58,96,829,+0.09
2022,48,0,12716,Charley Hoffman,11.69,99,847,+0.09
2022,49,0,49960,Sepp Straka,11.7,123,1051,+0.07
2022,50,0,39971,Sungjae Im,11.73,126,1074,-0.06
2022,51,0,51997,Andrew Novak,11.75,90,766,+0.06
2022,52,0,35879,Kelly Kraft,11.78,92,781,+0.16
2022,53,0,46442,Maverick McNealy,11.81,126,1067,-0.01
2022,54,0,36326,David Lipsky,11.85,121,1021,+0.15
2022,55,0,27644,Brian Harman,11.87,128,1078,+0.08
2022,56,0,31557,Jim Herman,11.97,71,593,+0.13
2022,57,0,40162,Justin Lower,11.99,89,742,+0.17
2022,58,0,29420,Billy Horschel,12.0,96,800,+0.05
2022,59,0,50525,Collin Morikawa,12.07,84,696,+0.02
2022,60,0,47993,Denny McCarthy,12.15,146,1202,+0.05
2022,61,0,29478,Kevin Kisner,12.17,93,764,+0.14
2022,62,0,46435,Austin Cook,12.18,89,731,+0.15
2022,63,0,25198,Francesco Molinari,12.2,71,582,+0.14
2022,63,0,29518,Brendan Steele,12.2,105,861,+0.07
2022,65,0,39546,Keith Mitchell,12.21,128,1048,+0.01
2022,65,0,37275,Sam Ryder,12.21,132,1081,+0.06
2022,67,0,33486,Roger Sloan,12.23,103,842,+0.08
2022,68,0,34076,Joel Dahmen,12.24,129,1054,+0.17
2022,69,0,39977,Max Homa,12.26,126,1028,-0.01
2022,70,0,51890,Greyson Sigg,12.3,122,992,+0.13
2022,71,0,35310,Lanto Griffin,12.33,115,933,+0.02
2022,72,0,29535,Brice Garnett,12.34,103,835,+0.17
2022,73,0,31646,Emiliano Grillo,12.38,119,961,-0.02
2022,74,0,52375,Doug Ghim,12.4,123,992,+0.12
2022,74,0,46402,Talor Gooch,12.4,95,766,-0.03
2022,76,0,27974,Sung Kang,12.44,105,844,-0.03
2022,76,0,32139,Danny Willett,12.44,75,603,+0.11
2022,78,0,51950,Max McGreevy,12.47,96,770,+0.05
2022,79,0,30911,Tommy Fleetwood,12.48,75,601,+0.11
2022,80,0,24924,Bill Haas,12.5,116,928,-0.01
2022,81,0,45486,Joaquin Niemann,12.51,107,855,-0.02
2022,82,0,28775,Nate Lashley,12.53,105,838,+0.05
2022,83,0,24925,Jonathan Byrd,12.54,74,590,+0.14
