YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
2013,55,0,25572,Graeme McDowell,0.407,0.251,0.217,-0.061,37
2013,56,0,31323,Gary Woodland,0.397,0.331,0.459,-0.392,83
2013,57,0,8075,Jerry Kelly,0.394,0.109,0.159,0.125,64
2013,58,0,28307,Matt Every,0.385,0.323,0.296,-0.234,80
2013,59,0,26476,Chez Reavie,0.383,0.381,0.186,-0.184,67
2013,60,0,26596,Ryan Moore,0.377,0.232,0.007,0.139,57
2013,61,0,32102,Rickie Fowler,0.358,0.143,0.141,0.074,59
2013,62,0,30110,Kyle Stanley,0.351,0.64,0.419,-0.708,60
2013,63,0,28500,Martin Flores,0.346,0.136,0.092,0.118,76
2013,64,0,24138,Ian Poulter,0.337,0.2,-0.153,0.29,39
2013,65,0,34021,Bud Cauley,0.323,-0.063,0.238,0.148,56
2013,65,0,24361,Pat Perez,0.323,-0.127,0.505,-0.055,64
2013,67,0,27330,Josh Teater,0.316,0.365,0.083,-0.133,61
2013,68,0,23452,Nicolas Colsaerts,0.311,0.552,0.322,-0.563,36
2013,69,0,30944,Jason Kokrak,0.309,0.079,0.201,0.029,72
2013,70,0,24846,Ricky Barnes,0.306,-0.181,0.714,-0.227,65
2013,71,0,31557,Jim Herman,0.282,0.55,-0.091,-0.176,44
2013,72,0,27963,Chris Stroud,0.276,-0.578,0.52,0.333,78
2013,73,0,29420,Billy Horschel,0.275,0.465,-0.121,-0.069,83
2013,74,0,33419,Cameron Tringale,0.239,-0.079,0.169,0.149,75
2013,75,0,26851,Marc Leishman,0.237,-0.099,0.345,-0.009,64
2013,76,0,25834,Daniel Summerhays,0.232,-0.062,0.227,0.067,78
2013,77,0,35539,Luke Guthrie,0.219,-0.116,0.28,0.055,65
2013,78,0,20645,John Senden,0.216,0.344,-0.258,0.13,61
2013,79,0,24490,George McNeill,0.213,-0.012,0.255,-0.03,64
2013,80,0,12510,Chad Campbell,0.205,-0.286,0.525,-0.033,72
2013,81,0,23541,Ben Crane,0.175,-0.143,0.313,0.005,55
2013,82,0,29740,Brad Fritsch,0.166,0.005,0.313,-0.152,68
2013,83,0,25240,D.A. Points,0.16,-0.194,0.191,0.163,68
2013,83,0,27556,Ted Potter Jr.,0.16,0.166,0.046,-0.052,55
2013,85,0,29479,Scott Brown,0.151,0.338,-0.174,-0.014,55
2013,86,0,34098,Russell Henley,0.145,0.432,-0.053,-0.233,66
2013,87,0,34099,Harris English,0.136,0.115,0.098,-0.077,82
2013,87,0,30852,Ryo Ishikawa,0.136,0.11,0.191,-0.165,55
2013,87,0,27936,Martin Laird,0.136,0.389,-0.195,-0.058,53
2013,90,0,33461,Morgan Hoffmann,0.125,0.227,-0.344,0.242,53
2013,91,0,6573,Brandt Jobe,0.123,0.104,0.209,-0.191,53
2013,92,0,23623,Bo Van Pelt,0.111,0.186,0.025,-0.1,54
2013,93,0,25818,Scott Piercy,0.1,0.144,-0.038,-0.006,62
2013,94,0,23135,Tim Clark,0.086,0.048,0.087,-0.049,43
2013,95,0,25444,Justin Hicks,0.08,0.218,0.462,-0.6,66
2013,96,0,22378,Trevor Immelman,0.074,-0.181,0.162,0.094,62
2013,97,0,20691,Greg Owen,0.054,0.064,-0.045,0.036,66
2013,98,0,19970,Robert Karlsson,0.051,-0.217,0.125,0.143,37
2013,99,0,1724,Jeff Maggert,0.049,0.074,0.141,-0.166,57
2013,100,0,20766,Padraig Harrington,0.042,-0.345,0.067,0.321,35
2013,101,0,22792,Peter Hanson,0.024,-0.306,0.192,0.138,33
2013,101,0,34409,David Lingmerth,0.024,0.301,-0.255,-0.022,57
2013,103,0,28475,Jeff Overton,0.011,0.296,0.099,-0.384,74
2013,104,0,27408,Martin Kaymer,-0.003,0.402,-0.07,-0.335,42
2013,105,0,29518,Brendan Steele,-0.005,0.025,-0.135,0.105,77
2013,106,0,20848,Ángel Cabrera,-0.006,0.294,-0.241,-0.059,57
2013,107,0,29289,S.Y. Noh,-0.009,-0.162,-0.163,0.315,62
2013,108,0,20104,Ken Duke,-0.04,0.009,0.13,-0.178,75
2013,109,0,32448,James Hahn,-0.07,0.044,-0.079,-0.034,67
2013,110,0,21099,David Lynn,-0.071,-0.229,-0.164,0.323,56
2013,111,0,23353,J.J. Henry,-0.074,0.138,-0.122,-0.089,74
2013,112,0,23800,Bryce Molder,-0.09,-0.538,0.052,0.395,71
2013,113,0,30163,Henrik Norlander,-0.094,0.166,-0.105,-0.155,59
2013,114,0,28455,Will Claxton,-0.095,0.341,-0.222,-0.215,56
2013,115,0,25345,Carl Pettersson,-0.101,0.026,-0.252,0.126,64
2013,116,0,20098,Stuart Appleby,-0.112,-0.28,-0.219,0.387,79
2013,117,0,31560,Brian Stuard,-0.135,-0.128,0.118,-0.125,63
2013,118,0,26758,David Hearn,-0.139,-0.199,0.179,-0.119,73
2013,119,0,23325,Vaughn Taylor,-0.141,-0.042,0.148,-0.247,40
2013,120,0,31202,William McGirt,-0.161,-0.208,-0.118,0.165,71
2013,121,0,34261,Scott Langley,-0.211,-0.302,-0.124,0.215,64
2013,122,0,28092,D.H. Lee,-0.213,-0.142,-0.055,-0.015,58
2013,123,0,24507,Jason Bohn,-0.217,-0.156,0.034,-0.095,66
2013,123,0,27503,Steve LeBrun,-0.217,0.248,-0.28,-0.185,53
2013,125,0,23497,Tag Ridings,-0.224,-0.054,-0.174,0.003,58
2013,126,0,34360,Patrick Reed,-0.227,0.089,-0.327,0.011,74
2013,127,0,34431,Robert Streb,-0.231,0.164,-0.398,0.003,62
2013,128,0,10860,Justin Leonard,-0.233,-0.341,-0.255,0.363,75
2013,129,0,35139,Richard Lee,-0.251,-0.134,-0.074,-0.043,72
2013,130,0,23409,James Driscoll,-0.261,-0.422,0.022,0.139,63
2013,131,0,25274,Steven Bowditch,-0.283,0.041,-0.641,0.316,58
2013,132,0,23788,D.J. Trahan,-0.285,0.182,-0.448,-0.018,38
2013,133,0,22056,Cameron Percy,-0.288,0.001,-0.198,-0.092,57
2013,134,0,20572,Rod Pampling,-0.293,-0.115,-0.568,0.389,35
2013,135,0,12782,Tim Herron,-0.296,-0.208,-0.285,0.197,44
2013,136,0,2206,David Toms,-0.301,-0.37,-0.026,0.095,32
2013,137,0,22046,Geoff Ogilvy,-0.311,-0.161,-0.268,0.117,42
2013,138,0,25562,Andres Romero,-0.317,-0.05,-0.437,0.17,52
2013,139,0,32334,Charlie Beljan,-0.32,0.424,-0.437,-0.306,55
2013,140,0,10213,Dicky Pride,-0.35,-0.365,0.012,0.002,59
2013,141,0,28310,Lee Williams,-0.364,-0.514,-0.23,0.38,51
2013,142,0,28679,Fabián Gómez,-0.372,0.089,-0.435,-0.026,56
2013,143,0,30692,Scott Stallings,-0.381,0.389,-0.379,-0.392,66
2013,144,0,32150,Michael Thompson,-0.391,-0.28,-0.179,0.067,53
2013,145,0,24494,Erik Compton,-0.427,0.012,-0.363,-0.076,65
2013,145,0,20160,Charlie Wi,-0.427,-0.224,-0.498,0.295,66
2013,147,0,27644,Brian Harman,-0.443,0.316,-0.856,0.096,76
2013,148,0,22621,Ben Curtis,-0.458,-0.632,-0.034,0.208,46
2013,149,0,22295,Darron Stiles,-0.484,-0.087,-0.401,0.003,42
2013,150,0,20443,Jin Park,-0.485,-0.335,-0.166,0.016,43
2013,151,0,28259,Sangmoon Bae,-0.488,0.053,-0.165,-0.376,72
2013,152,0,33869,Eric Meierdierks,-0.499,0.316,-0.314,-0.501,37
2013,153,0,24663,Y.E. Yang,-0.504,0.133,-0.5,-0.137,41
2013,154,0,36884,Ben Kohles,-0.509,-0.042,-0.113,-0.354,62
2013,155,0,10885,Robert Allenby,-0.522,-0.733,0.296,-0.085,52
2013,156,0,33418,Shawn Stefani,-0.573,-0.11,-0.308,-0.155,50
2013,157,0,27120,Troy Matteson,-0.614,-0.206,-0.583,0.175,59
2013,158,0,29425,Andrew Svoboda,-0.629,-0.027,-0.295,-0.308,35
2013,159,0,24399,Scott Gardiner,-0.649,0.069,-0.527,-0.19,52
2013,160,0,19846,Brian Gay,-0.694,-0.577,-0.453,0.336,71
2013,161,0,22961,David Mathis,-0.701,-0.328,-0.267,-0.105,62
2013,162,0,27895,Jonas Blixt,-0.715,-0.227,-0.882,0.394,67
2013,163,0,8725,Tom Gillis,-0.716,0.062,-0.905,0.126,60
2013,164,0,24140,Sean O'Hair,-0.745,0.029,-0.576,-0.198,51
2013,165,0,37273,Derek Ernst,-0.859,0.231,-0.564,-0.526,49
2013,166,0,1116,Michael Bradley,-0.869,-1.058,0.257,-0.068,43
2013,167,0,30750,Tommy Gainey,-0.87,-0.098,-0.361,-0.411,75
2013,168,0,26497,Casey Wittenberg,-0.874,-1.071,-0.067,0.263,61
2013,169,0,20593,Greg Chalmers,-0.89,-0.552,-0.237,-0.102,70
2013,170,0,22806,Doug LaBelle II,-0.932,-0.243,-0.479,-0.21,59
2013,171,0,22371,Aaron Baddeley,-0.979,-0.603,-0.669,0.293,59
2013,172,0,28135,Aaron Watkins,-0.991,-0.568,-0.707,0.285,35
2013,173,0,25336,Alistair Presnell,-1.01,-0.548,-0.585,0.123,46
2013,174,0,10423,Mike Weir,-1.059,-1.338,-0.12,0.399,47
2013,175,0,27129,Luke List,-1.077,-0.447,-0.533,-0.097,52
2013,176,0,26951,Johnson Wagner,-1.217,-0.461,-0.32,-0.436,52
2013,177,0,24227,Justin Bolli,-1.27,-0.273,-0.787,-0.21,46
2013,178,0,6004,Stephen Ames,-1.297,-0.662,-0.488,-0.147,44
2013,179,0,32698,Bobby Gates,-1.408,-0.58,-0.498,-0.331,38
2013,180,0,30711,Colt Knost,-1.714,-0.625,-0.847,-0.242,58
2014,1,0,28237,Rory McIlroy,1.992,1.367,0.602,0.022,48
2014,2,0,21209,Sergio Garcia,1.818,0.382,1.15,0.286,40
2014,3,0,10809,Jim Furyk,1.705,0.121,1.175,0.408,66
2014,4,0,32839,Hideki Matsuyama,1.545,0.325,1.022,0.198,64
2014,5,0,22405,Justin Rose,1.506,0.402,0.744,0.36,52
2014,6,0,24502,Adam Scott,1.5,0.725,0.61,0.166,56
2014,7,0,25804,Bubba Watson,1.402,0.967,0.324,0.111,56
2014,8,0,26331,Charl Schwartzel,1.286,0.55,0.315,0.421,54
2014,9,0,27436,Graham DeLaet,1.262,0.36,0.895,0.007,64
2014,10,0,30925,Dustin Johnson,1.249,0.73,0.533,-0.015,41
2014,11,0,21528,Henrik Stenson,1.162,0.65,0.575,-0.064,38
2014,12,0,23108,Matt Kuchar,1.117,0.21,0.527,0.38,76
2014,13,0,25686,Jason Dufner,1.098,0.316,0.59,0.192,42
2014,14,0,28089,Jason Day,1.073,0.495,0.176,0.402,33
2014,15,0,31323,Gary Woodland,1.049,0.581,0.381,0.087,73
2014,16,0,23320,Ryan Palmer,0.971,0.76,0.133,0.078,67
2014,17,0,32366,Kevin Chappell,0.97,0.386,0.526,0.058,87
2014,18,0,24924,Bill Haas,0.943,0.296,0.382,0.265,82
2014,19,0,33122,Russell Knox,0.938,0.221,0.502,0.215,83
2014,20,0,26679,Kevin Stadler,0.878,0.505,0.386,-0.012,65
2014,21,0,26289,Boo Weekley,0.875,0.732,0.044,0.099,56
2014,22,0,36689,Brooks Koepka,0.797,0.425,0.598,-0.226,42
2014,23,0,26596,Ryan Moore,0.794,0.253,0.499,0.041,62
2014,24,0,25632,Jimmy Walker,0.774,0.119,0.608,0.048,73
2014,25,0,26851,Marc Leishman,0.766,0.164,0.546,0.056,69
2014,26,0,24024,Zach Johnson,0.751,0.145,0.513,0.093,84
2014,27,0,33141,Keegan Bradley,0.74,0.43,0.5,-0.19,67
2014,28,0,25364,Paul Casey,0.725,-0.013,0.762,-0.024,44
2014,29,0,21961,Charles Howell III,0.717,0.498,0.017,0.201,95
2014,30,0,12510,Chad Campbell,0.709,0.056,0.641,0.011,46
2014,31,0,34099,Harris English,0.706,0.193,0.465,0.047,74
2014,32,0,12716,Charley Hoffman,0.691,0.415,0.301,-0.026,76
2014,33,0,27095,Nick Watney,0.687,0.298,0.648,-0.258,56
2014,34,0,30944,Jason Kokrak,0.686,0.284,0.476,-0.074,61
2014,35,0,6522,Ernie Els,0.654,-0.016,0.141,0.529,63
2014,36,0,25396,Kevin Na,0.638,-0.1,0.341,0.397,78
2014,37,0,1810,Phil Mickelson,0.634,0.201,0.166,0.266,50
2014,38,0,34046,Jordan Spieth,0.581,0.034,0.286,0.26,79
2014,39,0,29221,Webb Simpson,0.58,-0.027,0.333,0.275,74
2014,40,0,33418,Shawn Stefani,0.564,0.412,0.065,0.086,57
2014,41,0,33419,Cameron Tringale,0.56,0.008,0.322,0.23,98
2014,42,0,6567,Vijay Singh,0.554,0.167,0.126,0.261,76
2014,43,0,30110,Kyle Stanley,0.552,0.44,0.623,-0.511,72
2014,43,0,34265,Will Wilcox,0.552,0.487,0.203,-0.138,40
2014,45,0,25900,Lucas Glover,0.539,0.335,0.469,-0.265,47
2014,46,0,24490,George McNeill,0.528,-0.061,0.537,0.053,70
2014,47,0,29420,Billy Horschel,0.518,0.473,0.132,-0.087,69
2014,48,0,28486,Michael Putnam,0.517,0.111,0.469,-0.063,91
2014,49,0,20396,Lee Westwood,0.495,0.334,0.037,0.124,43
2014,50,0,30926,Chris Kirk,0.489,0.033,0.287,0.169,86
2014,51,0,32102,Rickie Fowler,0.48,0.264,0.213,0.003,62
2014,52,0,27141,J.B. Holmes,0.476,0.509,-0.317,0.283,77
2014,53,0,23623,Bo Van Pelt,0.431,0.048,0.468,-0.085,67
2014,54,0,29289,S.Y. Noh,0.427,-0.268,0.447,0.248,75
2014,55,0,2206,David Toms,0.405,0.083,0.203,0.12,54
2014,56,0,27644,Brian Harman,0.403,-0.014,0.296,0.121,101
2014,57,0,25274,Steven Bowditch,0.399,-0.002,0.094,0.307,78
2014,58,0,29518,Brendan Steele,0.398,0.237,0.222,-0.062,70
2014,59,0,25345,Carl Pettersson,0.397,0.294,0.096,0.006,85
2014,60,0,24358,Robert Garrigus,0.382,0.362,0.156,-0.136,73
2014,61,0,29425,Andrew Svoboda,0.37,0.111,0.323,-0.064,66
2014,62,0,28500,Martin Flores,0.362,-0.001,0.391,-0.029,68
2014,63,0,27408,Martin Kaymer,0.355,0.279,0.37,-0.294,48
2014,64,0,35541,John Peterson,0.34,0.415,0.539,-0.614,55
2014,65,0,20645,John Senden,0.328,0.224,0.127,-0.023,81
2014,66,0,22293,Heath Slocum,0.327,0.203,0.083,0.041,62
2014,67,0,34431,Robert Streb,0.319,0.461,-0.259,0.117,64
2014,68,0,27649,Brandt Snedeker,0.318,-0.043,0.143,0.217,66
2014,69,0,27770,Camilo Villegas,0.316,-0.159,0.413,0.061,84
2014,70,0,24781,Hunter Mahan,0.314,0.687,-0.221,-0.153,72
2014,70,0,27064,Jhonattan Vegas,0.314,0.628,-0.439,0.125,64
2014,72,0,25572,Graeme McDowell,0.289,-0.034,0.379,-0.055,46
2014,73,0,8075,Jerry Kelly,0.288,-0.089,0.218,0.16,66
2014,74,0,34021,Bud Cauley,0.284,-0.073,-0.109,0.467,46
2014,75,0,29222,Billy Hurley III,0.27,-0.103,0.25,0.123,72
2014,76,0,10885,Robert Allenby,0.269,-0.05,0.552,-0.234,70
2014,77,0,23638,Brendon de Jonge,0.256,0.339,-0.012,-0.071,92
2014,78,0,20229,Stewart Cink,0.243,-0.007,0.442,-0.192,72
2014,79,0,27963,Chris Stroud,0.236,-0.174,0.132,0.278,72
2014,80,0,29461,Jamie Lovemark,0.235,0.374,-0.321,0.181,47
2014,81,0,30852,Ryo Ishikawa,0.231,-0.259,0.395,0.095,62
2014,82,0,20104,Ken Duke,0.23,-0.092,0.329,-0.006,66
2014,83,0,26329,Louis Oosthuizen,0.212,0.724,-0.145,-0.367,30
2014,84,0,20848,Ángel Cabrera,0.198,0.554,0.078,-0.434,61
2014,85,0,25834,Daniel Summerhays,0.184,0.04,0.138,0.005,88
2014,86,0,23983,Luke Donald,0.173,-0.493,0.315,0.351,44
2014,87,0,22378,Trevor Immelman,0.157,-0.006,-0.013,0.176,67
2014,88,0,24846,Ricky Barnes,0.145,-0.267,0.396,0.015,78
2014,89,0,26758,David Hearn,0.136,-0.118,0.146,0.108,82
2014,90,0,29479,Scott Brown,0.134,0.277,-0.139,-0.005,83
2014,91,0,33413,Ben Martin,0.13,0.213,-0.097,0.015,63
2014,92,0,30927,Brendon Todd,0.129,0.015,-0.174,0.289,91
2014,93,0,27556,Ted Potter Jr.,0.125,0.134,0.096,-0.104,60
2014,94,0,29740,Brad Fritsch,0.11,-0.048,0.098,0.06,39
2014,95,0,35539,Luke Guthrie,0.109,-0.231,0.113,0.228,76
2014,96,0,28780,Nicholas Thompson,0.105,0.174,0.301,-0.371,70
2014,97,0,32200,Roberto Castro,0.084,-0.122,-0.159,0.365,59
2014,98,0,34360,Patrick Reed,0.081,0.04,-0.352,0.393,74
2014,99,0,27330,Josh Teater,0.076,0.239,-0.091,-0.072,75
2014,100,0,32448,James Hahn,0.07,0.162,0.009,-0.102,73
2014,100,0,24912,Will MacKenzie,0.07,0.044,-0.041,0.067,73
2014,102,0,27214,Kevin Streelman,0.068,0.471,-0.242,-0.162,60
2014,103,0,23135,Tim Clark,0.061,-0.286,0.253,0.094,62
2014,104,0,27933,John Merrick,0.051,0.129,0.252,-0.329,72
2014,105,0,28475,Jeff Overton,0.044,0.056,-0.059,0.047,66
2014,106,0,31560,Brian Stuard,0.042,-0.034,0.195,-0.119,74
2014,107,0,27936,Martin Laird,0.038,0.238,-0.205,0.004,55
2014,108,0,34261,Scott Langley,0.016,-0.395,0.15,0.262,79
2014,109,0,29478,Kevin Kisner,0.009,0.049,0.076,-0.116,70
2014,110,0,25444,Justin Hicks,-0.003,0.456,0.172,-0.631,90
2014,111,0,34174,John Huh,-0.01,-0.059,0.016,0.033,70
2014,112,0,20157,Retief Goosen,-0.024,-0.443,0.151,0.269,78
2014,113,0,24925,Jonathan Byrd,-0.027,0.079,-0.265,0.159,65
2014,114,0,26300,Matt Jones,-0.029,0.236,-0.421,0.157,60
2014,115,0,23353,J.J. Henry,-0.032,0.192,-0.119,-0.105,78
2014,115,0,22046,Geoff Ogilvy,-0.032,-0.02,0.038,-0.05,73
2014,117,0,24357,K.J. Choi,-0.039,-0.339,0.049,0.251,67
2014,118,0,1706,Davis Love III,-0.056,0.176,0.053,-0.285,63
2014,119,0,32334,Charlie Beljan,-0.058,0.523,-0.128,-0.453,67
2014,120,0,25349,Tim Wilkinson,-0.078,-0.145,-0.287,0.354,71
2014,121,0,21753,Brian Davis,-0.085,-0.064,-0.419,0.399,81
2014,122,0,25191,Gonzalo Fernandez-Castaño,-0.092,-0.262,-0.07,0.24,69
2014,123,0,1724,Jeff Maggert,-0.096,-0.135,0.2,-0.161,44
2014,124,0,24138,Ian Poulter,-0.106,0.042,-0.176,0.028,41
2014,125,0,34264,Hudson Swafford,-0.116,0.305,0.015,-0.436,58
2014,126,0,29926,Danny Lee,-0.123,0.157,-0.007,-0.272,69
2014,126,0,32640,Troy Merritt,-0.123,-0.213,0.261,-0.171,55
2014,128,0,20098,Stuart Appleby,-0.126,-0.311,-0.16,0.345,84
2014,129,0,34563,Chesson Hadley,-0.18,-0.319,0.242,-0.102,71
2014,130,0,28259,Sangmoon Bae,-0.202,0.179,-0.299,-0.081,65
2014,131,0,25562,Andres Romero,-0.207,0.05,-0.381,0.124,72
2014,132,0,34409,David Lingmerth,-0.22,0.094,-0.171,-0.142,67
2014,133,0,31193,Jim Renner,-0.221,-0.339,0.367,-0.248,52
2014,133,0,20160,Charlie Wi,-0.221,-0.35,-0.253,0.383,65
2014,135,0,27466,Spencer Levin,-0.23,-0.224,-0.113,0.107,50
2014,136,0,31202,William McGirt,-0.235,0.002,-0.202,-0.035,84
2014,137,0,28307,Matt Every,-0.236,-0.234,0.029,-0.031,65
2014,138,0,23621,Rory Sabbatini,-0.245,-0.065,0.021,-0.201,65
2014,139,0,24507,Jason Bohn,-0.253,-0.475,0.185,0.038,73
2014,140,0,29535,Brice Garnett,-0.255,-0.056,-0.197,-0.002,78
2014,140,0,24361,Pat Perez,-0.255,-0.28,0.063,-0.039,75
2014,142,0,24494,Erik Compton,-0.259,-0.089,0.066,-0.235,75
2014,143,0,28132,Tyrone Van Aswegen,-0.263,-0.735,0.291,0.181,65
2014,144,0,21878,Mark Wilson,-0.265,-0.232,-0.112,0.079,57
2014,145,0,23541,Ben Crane,-0.29,-0.297,-0.009,0.017,78
2014,146,0,21731,Freddie Jacobson,-0.293,-0.162,-0.199,0.068,81
2014,147,0,32150,Michael Thompson,-0.317,-0.211,-0.046,-0.06,60
2014,148,0,24140,Sean O'Hair,-0.327,0.121,-0.473,0.026,67
2014,149,0,30692,Scott Stallings,-0.369,0.135,-0.221,-0.283,63
2014,150,0,22913,John Rollins,-0.395,-0.204,0.002,-0.193,67
2014,151,0,20498,Briny Baird,-0.419,-0.249,-0.183,0.013,45
2014,152,0,26956,Bronson La'Cassie,-0.431,-0.04,-0.535,0.145,36
2014,153,0,34098,Russell Henley,-0.438,0.205,-0.371,-0.272,75
2014,154,0,24663,Y.E. Yang,-0.463,-0.097,-0.586,0.22,61
2014,155,0,33461,Morgan Hoffmann,-0.472,-0.172,-0.425,0.125,90
2014,156,0,23800,Bryce Molder,-0.482,-0.763,0.006,0.275,64
2014,157,0,35300,Andrew Loupe,-0.485,0.22,-0.509,-0.196,50
2014,158,0,31557,Jim Herman,-0.488,0.302,-0.238,-0.551,48
2014,159,0,27895,Jonas Blixt,-0.512,-0.434,-0.299,0.221,43
2014,160,0,30750,Tommy Gainey,-0.54,0.257,-0.057,-0.74,60
2014,161,0,35732,Wes Roach,-0.554,-0.149,-0.107,-0.298,50
2014,162,0,22621,Ben Curtis,-0.616,-0.257,-0.416,0.057,64
2014,162,0,26951,Johnson Wagner,-0.616,-0.209,-0.254,-0.152,58
2014,164,0,10860,Justin Leonard,-0.677,-0.752,-0.497,0.571,62
2014,164,0,32333,Kevin Tway,-0.677,0.048,-0.623,-0.102,47
2014,166,0,7867,Woody Austin,-0.696,-0.318,-0.169,-0.21,57
2014,167,0,19846,Brian Gay,-0.733,-0.508,-0.501,0.276,63
2014,168,0,25240,D.A. Points,-0.753,-0.424,-0.308,-0.021,55
2014,169,0,37273,Derek Ernst,-0.798,0.312,-0.694,-0.415,63
2014,170,0,28092,D.H. Lee,-0.82,-0.332,-0.591,0.103,45
2014,171,0,22371,Aaron Baddeley,-0.828,-0.589,-0.291,0.051,59
2014,172,0,35139,Richard Lee,-0.878,-0.15,-0.75,0.021,61
2014,173,0,10423,Mike Weir,-0.882,-1.582,0.257,0.443,53
2014,174,0,25720,Chad Collins,-0.884,-0.635,-0.522,0.273,61
2014,175,0,27120,Troy Matteson,-0.914,-0.264,-0.417,-0.233,49
2014,176,0,23409,James Driscoll,-0.958,-0.661,-0.146,-0.151,58
2014,177,0,20593,Greg Chalmers,-0.989,-0.503,-0.636,0.151,73
2022,1,0,47483,Will Zalatoris,1.77,0.602,1.063,0.106,57
2022,2,0,28237,Rory McIlroy,1.619,0.771,0.626,0.222,52
2022,3,0,33448,Justin Thomas,1.589,0.538,0.696,0.355,61
2022,4,0,46046,Scottie Scheffler,1.475,0.356,0.819,0.3,66
2022,5,0,29725,Tony Finau,1.408,0.543,0.659,0.206,71
2022,6,0,27129,Luke List,1.371,0.677,0.594,0.099,64
2022,7,0,40098,Matt Fitzpatrick,1.368,0.636,0.28,0.452,48
2022,8,0,34098,Russell Henley,1.354,0.06,0.969,0.325,63
2022,9,0,39971,Sungjae Im,1.342,0.651,0.308,0.383,75
