YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2013,108,0,23623,Bo Van Pelt,74.12,63,85,-0.24
2013,109,0,27120,Troy Matteson,74.11,83,112,-0.2
2013,110,0,33869,Eric Meierdierks,74.07,60,81,-0.18
2013,111,0,28310,Lee Williams,74.04,77,104,-0.26
2013,112,0,23788,D.J. Trahan,74.03,57,77,-0.18
2013,113,0,10423,Mike Weir,73.97,54,73,-0.35
2013,114,0,21099,David Lynn,73.95,88,119,-0.18
2013,115,0,24502,Adam Scott,73.91,68,92,-0.21
2013,116,0,27933,John Merrick,73.73,87,118,-0.26
2013,117,0,26497,Casey Wittenberg,73.68,70,95,-0.24
2013,118,0,34021,Bud Cauley,73.58,78,106,-0.23
2013,119,0,29425,Andrew Svoboda,73.42,58,79,-0.24
2013,120,0,20691,Greg Owen,73.39,91,124,-0.19
2013,121,0,21878,Mark Wilson,73.27,74,101,-0.15
2013,122,0,12716,Charley Hoffman,73.23,93,127,-0.27
2013,123,0,24490,George McNeill,73.21,82,112,-0.28
2013,124,0,35139,Richard Lee,73.17,90,123,-0.3
2013,125,0,32102,Rickie Fowler,73.15,79,108,-0.28
2013,125,0,33461,Morgan Hoffmann,73.15,79,108,-0.34
2013,127,0,25572,Graeme McDowell,73.13,49,67,-0.2
2013,127,0,23621,Rory Sabbatini,73.13,117,160,-0.28
2013,129,0,24924,Bill Haas,72.73,88,121,-0.28
2013,129,0,24361,Pat Perez,72.73,88,121,-0.31
2013,131,0,30750,Tommy Gainey,72.58,135,186,-0.32
2013,132,0,34174,John Huh,72.57,82,113,-0.21
2013,133,0,6522,Ernie Els,72.5,58,80,-0.28
2013,134,0,30852,Ryo Ishikawa,72.41,84,116,-0.24
2013,135,0,25240,D.A. Points,72.31,94,130,-0.23
2013,135,0,2206,David Toms,72.31,47,65,-0.34
2013,137,0,27129,Luke List,72.28,73,101,-0.25
