YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2014,49,0,24457,Jaco Van Zyl,$75100,0,7510000.0
2014,50,0,29720,Andres Gonzales,$75000,7500000,
2014,51,0,27119,Koumei Oda,$69753,6975266,
2014,52,0,33948,Byeong Hun An,$65350,6535013,
2014,53,0,32262,Mark Brown,$64000,0,6400000.0
2014,53,0,32753,Wenyi Huang,$64000,0,6400000.0
2014,55,0,37365,Brady Watt,$61288,6128800,
2014,56,0,26499,Rafa Cabrera Bello,$59950,5995000,
2014,57,0,40026,Daniel Berger,$59588,5958800,
2014,58,0,35296,Haotong Li,$58000,0,5800000.0
2014,59,0,32354,Seuk-hyun Baek,$54700,1295000,4175000.0
2014,60,0,34707,Siddikur Rahman,$53433,5343334,
2014,61,0,35582,Kristoffer Broberg,$52964,5296350,
2014,62,0,21284,Hiroyuki Fujita,$49000,0,4900000.0
2014,62,0,29930,Mike Hendry,$49000,0,4900000.0
2014,62,0,32815,Masahiro Kawamura,$49000,0,4900000.0
2014,65,0,28114,Dawie van der Walt,$46000,0,4600000.0
2014,66,0,21470,Daisuke Maruyama,$43000,0,4300000.0
2014,67,0,35957,Daniel Popovic,$42875,0,4287500.0
2014,68,0,30798,Yoshitaka Takeya,$42625,0,4262500.0
2014,69,0,33870,Ashun Wu,$42375,0,4237500.0
2014,70,0,31577,Tano Goya,$42000,0,4200000.0
2014,71,0,20832,Raphael Jacquelin,$41250,0,4125000.0
2014,72,0,28719,Mu Hu,$40750,0,4075000.0
2014,73,0,28072,Mingjie Huang,$40250,0,4025000.0
2014,74,0,34262,Jon Curran,$37952,3795200,
2014,75,0,33803,Lucas Bjerregaard,$37754,3775400,
2014,75,0,40058,Zac Blair,$37754,3775400,
2014,75,0,27302,Garth Mulroy,$37754,3775400,
2014,78,0,37351,Oliver Goss,$37160,3716000,
2014,79,0,31420,Anirban Lahiri,$34510,3451000,
2014,80,0,39974,Steven Ihm,$30628,3062833,
2014,81,0,22080,Prayad Marksaeng,$23100,2310000,
2014,82,0,27816,Jamie McLeary,$22808,2280848,
2014,82,0,25351,Chris Rodgers,$22808,2280848,
2014,84,0,37278,Nicholas Lindheim,$22649,2264900,
2014,84,0,1978,Fran Quinn,$22649,2264900,
2014,86,0,32070,Rafael Campos,$21306,2130625,
2014,86,0,31646,Emiliano Grillo,$21306,2130625,
2014,86,0,27139,David Skinns,$21306,2130625,
2014,89,0,32618,Rhein Gibson,$20844,2084370,
2014,90,0,32496,Clayton Rask,$20775,2077500,
2014,91,0,46507,Bobby Wyatt,$20405,2040500,
2014,92,0,20935,Toru Taniguchi,$19980,1998000,
2014,93,0,45294,Kevin Penner,$19800,1980000,
2014,94,0,29223,Sam Saunders,$18476,1847600,
2014,95,0,31121,Berry Henson,$18223,1822333,
2014,96,0,8635,Colin Montgomerie,$18033,1803333,
2014,97,0,32105,Nicholas Fung,$14980,1498000,
2014,98,0,30736,Oscar Fraustro,$14660,1466000,
2014,99,0,10387,Chris Thompson,$14559,1455900,
2014,100,0,26341,Wade Ormsby,$14070,1407000,
2014,101,0,26949,Josh Broadaway,$13671,1367142,
2014,102,0,29253,Jeff Curl,$13440,1344000,
2014,103,0,31416,Derek Fathauer,$13320,1332000,
2014,104,0,23706,Rashid Ismail,$13230,1323000,
2014,105,0,37189,Harold Varner III,$13199,1319900,
2014,106,0,35459,Chris Williams,$13176,1317600,
2014,107,0,34076,Joel Dahmen,$13034,1303400,
2014,107,0,33399,Adam Hadwin,$13034,1303400,
2014,109,0,33667,Carlos Ortiz,$12834,1283400,
2014,110,0,29476,Kyle Reifers,$12300,1230000,
