YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
2013,148,0,27933,John Merrick,44.26,54,122,50.0
2013,149,0,29289,S.Y. Noh,44.23,46,104,40.0
2013,150,0,24663,Y.E. Yang,44.14,49,111,53.0
2013,151,0,24361,Pat Perez,44.09,56,127,58.0
2013,152,0,27095,Nick Watney,44.07,52,118,49.0
2013,153,0,20645,John Senden,43.75,56,128,51.0
2013,154,0,20104,Ken Duke,43.66,62,142,74.0
2013,155,0,22961,David Mathis,43.64,48,110,56.0
2013,156,0,32698,Bobby Gates,43.62,41,94,49.0
2013,157,0,23353,J.J. Henry,43.36,49,113,44.0
2013,158,0,28237,Rory McIlroy,43.33,39,90,44.0
2013,159,0,25900,Lucas Glover,43.12,47,109,37.0
2013,160,0,34431,Robert Streb,43.09,53,123,42.0
2013,161,0,27556,Ted Potter Jr.,43.01,40,93,44.0
2013,162,0,31557,Jim Herman,42.86,33,77,25.0
2013,162,0,36884,Ben Kohles,42.86,48,112,51.0
2013,164,0,30925,Dustin Johnson,42.72,44,103,48.0
2013,165,0,1116,Michael Bradley,42.5,34,80,30.0
2013,166,0,22621,Ben Curtis,42.05,37,88,58.0
2013,167,0,25818,Scott Piercy,41.73,58,139,62.0
2013,168,0,26758,David Hearn,40.6,54,133,64.0
2013,169,0,31323,Gary Woodland,40.3,54,134,75.0
2013,170,0,24358,Robert Garrigus,39.09,43,110,53.0
2013,171,0,29479,Scott Brown,38.94,44,113,51.0
2013,172,0,25444,Justin Hicks,38.83,40,103,57.0
2013,173,0,30110,Kyle Stanley,38.18,42,110,51.0
2013,174,0,20848,Ángel Cabrera,36.94,41,111,60.0
2013,175,0,37273,Derek Ernst,36.84,42,114,51.0
2013,176,0,28455,Will Claxton,36.0,36,100,51.0
2013,177,0,23623,Bo Van Pelt,33.93,38,112,71.0
2013,178,0,23452,Nicolas Colsaerts,33.33,26,78,44.0
2013,178,0,23788,D.J. Trahan,33.33,20,60,31.0
2013,180,0,29425,Andrew Svoboda,29.51,18,61,35.0
2014,1,0,24924,Bill Haas,62.15,110,177,27.0
2014,2,0,10423,Mike Weir,61.95,70,113,33.0
2014,3,0,6567,Vijay Singh,61.36,81,132,40.0
2014,4,0,1810,Phil Mickelson,61.27,87,142,35.0
2014,5,0,20160,Charlie Wi,61.02,72,118,26.0
2014,6,0,23135,Tim Clark,60.98,75,123,43.0
2014,7,0,10860,Justin Leonard,60.58,83,137,47.0
2014,8,0,29289,S.Y. Noh,60.28,85,141,33.0
2014,9,0,27895,Jonas Blixt,59.29,67,113,31.0
2014,10,0,19846,Brian Gay,59.18,87,147,56.0
2014,10,0,22293,Heath Slocum,59.18,58,98,21.0
2014,12,0,20157,Retief Goosen,59.15,84,142,37.0
2014,13,0,20645,John Senden,59.01,95,161,36.0
2014,14,0,34360,Patrick Reed,58.97,92,156,55.0
2014,15,0,30927,Brendon Todd,58.24,106,182,60.0
2014,16,0,22405,Justin Rose,58.16,57,98,17.0
2014,17,0,20593,Greg Chalmers,58.08,97,167,65.0
2014,18,0,30926,Chris Kirk,57.89,99,171,35.0
2014,19,0,34046,Jordan Spieth,57.64,117,203,54.0
2014,20,0,28089,Jason Day,57.3,51,89,16.0
2014,21,0,26851,Marc Leishman,56.94,82,144,46.0
2014,22,0,33461,Morgan Hoffmann,56.89,95,167,47.0
2014,22,0,25396,Kevin Na,56.89,95,167,48.0
2014,24,0,35139,Richard Lee,56.83,79,139,43.0
2014,25,0,25720,Chad Collins,56.52,78,138,44.0
2014,26,0,21209,Sergio Garcia,56.36,62,110,12.0
2014,27,0,25191,Gonzalo Fernandez-Castaño,56.34,80,142,44.0
2014,27,0,23108,Matt Kuchar,56.34,80,142,36.0
2014,29,0,21753,Brian Davis,56.22,104,185,67.0
2014,30,0,23409,James Driscoll,55.97,75,134,43.0
2014,31,0,34261,Scott Langley,55.63,84,151,54.0
2014,32,0,21961,Charles Howell III,55.32,78,141,35.0
2014,33,0,33122,Russell Knox,55.2,69,125,37.0
2014,34,0,25349,Tim Wilkinson,55.07,76,138,56.0
2014,35,0,26758,David Hearn,54.88,90,164,51.0
2014,36,0,26331,Charl Schwartzel,54.78,63,115,30.0
2014,37,0,27556,Ted Potter Jr.,54.7,64,117,29.0
2014,38,0,23800,Bryce Molder,54.62,65,119,44.0
2014,39,0,28259,Sangmoon Bae,54.61,77,141,31.0
2014,40,0,22371,Aaron Baddeley,54.41,74,136,51.0
2014,40,0,23541,Ben Crane,54.41,74,136,53.0
2014,42,0,34174,John Huh,54.33,69,127,48.0
2014,43,0,24781,Hunter Mahan,54.32,88,162,51.0
2014,44,0,24357,K.J. Choi,54.3,82,151,54.0
2014,45,0,23320,Ryan Palmer,53.89,90,167,39.0
2014,46,0,28132,Tyrone Van Aswegen,53.78,64,119,37.0
2014,47,0,25686,Jason Dufner,53.76,50,93,28.0
2014,47,0,25572,Graeme McDowell,53.76,50,93,33.0
2014,49,0,24502,Adam Scott,53.66,66,123,31.0
2014,50,0,29221,Webb Simpson,53.62,74,138,42.0
2014,51,0,25274,Steven Bowditch,53.61,89,166,57.0
2014,52,0,27436,Graham DeLaet,53.45,62,116,34.0
2014,53,0,25562,Andres Romero,53.33,72,135,41.0
2014,54,0,24024,Zach Johnson,53.25,82,154,46.0
2014,55,0,32640,Troy Merritt,53.19,50,94,25.0
2014,56,0,32839,Hideki Matsuyama,53.06,78,147,37.0
2014,57,0,20098,Stuart Appleby,53.01,88,166,63.0
2014,58,0,27408,Martin Kaymer,52.63,60,114,23.0
2014,59,0,27466,Spencer Levin,52.53,52,99,32.0
2014,59,0,21878,Mark Wilson,52.53,52,99,36.0
2014,61,0,24140,Sean O'Hair,52.5,84,160,45.0
2014,62,0,29222,Billy Hurley III,52.34,67,128,43.0
2014,63,0,36689,Brooks Koepka,52.33,45,86,34.0
2014,64,0,28500,Martin Flores,52.31,68,130,41.0
2014,65,0,33419,Cameron Tringale,52.2,95,182,60.0
2014,66,0,27330,Josh Teater,52.17,72,138,52.0
2014,67,0,27963,Chris Stroud,52.14,73,140,40.0
2014,68,0,25240,D.A. Points,52.07,63,121,38.0
2014,69,0,30925,Dustin Johnson,51.96,53,102,19.0
2014,70,0,32102,Rickie Fowler,51.95,80,154,39.0
2014,71,0,27644,Brian Harman,51.81,86,166,47.0
2014,72,0,20498,Briny Baird,51.76,44,85,32.0
2014,73,0,23983,Luke Donald,51.4,55,107,48.0
2014,74,0,20104,Ken Duke,51.24,62,121,40.0
2014,75,0,20229,Stewart Cink,51.11,69,135,48.0
2014,75,0,35539,Luke Guthrie,51.11,69,135,51.0
2014,75,0,26956,Bronson La'Cassie,51.11,46,90,31.0
2014,78,0,31560,Brian Stuard,51.05,73,143,52.0
2014,79,0,28307,Matt Every,51.01,76,149,62.0
2014,80,0,32366,Kevin Chappell,50.97,79,155,45.0
2014,80,0,29535,Brice Garnett,50.97,79,155,63.0
2014,82,0,30852,Ryo Ishikawa,50.91,56,110,38.0
2014,83,0,28092,D.H. Lee,50.89,57,112,45.0
2014,84,0,33413,Ben Martin,50.79,64,126,29.0
2014,85,0,27770,Camilo Villegas,50.72,70,138,52.0
2014,86,0,34021,Bud Cauley,50.68,37,73,15.0
2014,87,0,1724,Jeff Maggert,50.59,43,85,38.0
2014,88,0,27120,Troy Matteson,50.57,44,87,35.0
2014,89,0,35300,Andrew Loupe,50.44,57,113,38.0
2014,90,0,33141,Keegan Bradley,50.4,63,125,40.0
2014,90,0,32150,Michael Thompson,50.4,63,125,39.0
2014,92,0,22378,Trevor Immelman,50.35,72,143,44.0
2014,93,0,8075,Jerry Kelly,50.34,75,149,46.0
2014,94,0,10809,Jim Furyk,50.0,55,110,39.0
2014,94,0,25632,Jimmy Walker,50.0,85,170,56.0
2014,96,0,28486,Michael Putnam,49.7,83,167,44.0
2014,97,0,24507,Jason Bohn,49.64,68,137,64.0
2014,98,0,20396,Lee Westwood,49.53,53,107,48.0
2014,99,0,12510,Chad Campbell,49.25,33,67,21.0
2014,100,0,29518,Brendan Steele,49.24,65,132,49.0
2014,101,0,24912,Will MacKenzie,49.23,64,130,53.0
2014,102,0,21731,Freddie Jacobson,49.06,78,159,56.0
2014,102,0,30944,Jason Kokrak,49.06,52,106,37.0
2014,104,0,24846,Ricky Barnes,48.98,72,147,53.0
2014,104,0,25364,Paul Casey,48.98,48,98,34.0
2014,106,0,23621,Rory Sabbatini,48.92,68,139,41.0
2014,107,0,29740,Brad Fritsch,48.91,45,92,39.0
2014,108,0,32448,James Hahn,48.85,64,131,52.0
2014,109,0,24138,Ian Poulter,48.76,59,121,46.0
2014,110,0,22046,Geoff Ogilvy,48.63,71,146,56.0
2014,111,0,32200,Roberto Castro,48.55,67,138,56.0
2014,112,0,34265,Will Wilcox,48.53,33,68,15.0
2014,113,0,29461,Jamie Lovemark,48.51,49,101,32.0
2014,114,0,34409,David Lingmerth,48.46,63,130,59.0
2014,115,0,24663,Y.E. Yang,48.37,74,153,56.0
2014,116,0,6522,Ernie Els,48.33,87,180,57.0
2014,117,0,27649,Brandt Snedeker,48.3,71,147,46.0
2014,118,0,24490,George McNeill,48.18,66,137,49.0
2014,119,0,34098,Russell Henley,48.1,76,158,78.0
2014,120,0,24494,Erik Compton,48.03,73,152,63.0
2014,121,0,10885,Robert Allenby,47.79,65,136,54.0
2014,121,0,26596,Ryan Moore,47.79,65,136,57.0
2014,123,0,28237,Rory McIlroy,47.5,57,120,33.0
2014,124,0,34099,Harris English,47.41,64,135,45.0
2014,125,0,22621,Ben Curtis,47.37,54,114,52.0
2014,125,0,24361,Pat Perez,47.37,54,114,47.0
2014,127,0,33418,Shawn Stefani,47.0,47,100,42.0
2014,128,0,25345,Carl Pettersson,46.91,76,162,51.0
2014,129,0,34563,Chesson Hadley,46.71,71,152,62.0
2014,130,0,28475,Jeff Overton,46.56,61,131,42.0
2014,131,0,27141,J.B. Holmes,46.55,81,174,70.0
2014,132,0,29479,Scott Brown,46.36,70,151,60.0
2014,133,0,31202,William McGirt,46.02,81,176,82.0
2014,134,0,12716,Charley Hoffman,45.71,64,140,59.0
2014,135,0,24358,Robert Garrigus,45.6,57,125,43.0
2014,136,0,27936,Martin Laird,45.36,44,97,30.0
2014,137,0,29420,Billy Horschel,45.08,55,122,50.0
2014,138,0,21528,Henrik Stenson,44.9,44,98,36.0
2014,139,0,22913,John Rollins,44.8,56,125,57.0
2014,140,0,23623,Bo Van Pelt,44.78,60,134,49.0
2014,141,0,30692,Scott Stallings,44.72,55,123,56.0
2014,142,0,23638,Brendon de Jonge,44.66,92,206,90.0
2014,143,0,28780,Nicholas Thompson,44.44,60,135,51.0
2014,143,0,2206,David Toms,44.44,36,81,36.0
2014,145,0,30110,Kyle Stanley,44.14,64,145,54.0
2014,146,0,26329,Louis Oosthuizen,44.12,30,68,31.0
2014,147,0,1706,Davis Love III,44.04,48,109,49.0
2014,148,0,34431,Robert Streb,43.97,51,116,51.0
2014,149,0,25444,Justin Hicks,43.88,61,139,68.0
2014,150,0,27064,Jhonattan Vegas,43.69,45,103,41.0
2014,151,0,29926,Danny Lee,43.59,51,117,47.0
2014,152,0,24925,Jonathan Byrd,43.51,57,131,46.0
2014,153,0,26289,Boo Weekley,43.48,50,115,41.0
2014,154,0,34264,Hudson Swafford,43.27,45,104,45.0
2014,155,0,27214,Kevin Streelman,43.17,60,139,64.0
2014,156,0,26679,Kevin Stadler,42.75,59,138,63.0
2014,157,0,25834,Daniel Summerhays,42.42,70,165,53.0
2014,158,0,26951,Johnson Wagner,42.27,41,97,45.0
2014,159,0,26300,Matt Jones,41.83,64,153,56.0
2014,160,0,25804,Bubba Watson,41.8,51,122,39.0
2014,161,0,31323,Gary Woodland,41.04,71,173,70.0
2014,162,0,31557,Jim Herman,40.91,36,88,32.0
2014,163,0,29478,Kevin Kisner,40.31,52,129,62.0
2014,164,0,30750,Tommy Gainey,40.15,53,132,62.0
2014,165,0,35732,Wes Roach,39.58,38,96,37.0
2014,166,0,31193,Jim Renner,38.83,40,103,47.0
2014,167,0,32334,Charlie Beljan,38.53,42,109,54.0
2014,167,0,37273,Derek Ernst,38.53,42,109,58.0
2014,169,0,7867,Woody Austin,38.04,35,92,49.0
2014,170,0,25900,Lucas Glover,37.78,34,90,58.0
2014,171,0,27095,Nick Watney,37.76,37,98,43.0
2014,172,0,20848,Ángel Cabrera,37.17,42,113,49.0
2014,173,0,23353,J.J. Henry,36.78,32,87,48.0
2014,174,0,29425,Andrew Svoboda,36.67,33,90,37.0
2014,175,0,27933,John Merrick,36.44,43,118,62.0
2014,176,0,35541,John Peterson,36.08,35,97,44.0
2014,177,0,32333,Kevin Tway,34.07,31,91,51.0
2022,1,0,33204,Shane Lowry,67.09,53,79,14.0
2022,2,0,48081,Xander Schauffele,64.95,63,97,12.0
2022,3,0,23108,Matt Kuchar,64.93,87,134,13.0
2022,4,0,45522,Christiaan Bezuidenhout,64.71,66,102,20.0
2022,5,0,19803,Ryan Armour,64.0,32,50,12.0
2022,6,0,40098,Matt Fitzpatrick,63.86,53,83,18.0
2022,7,0,39058,Lucas Herbert,63.73,65,102,29.0
2022,8,0,33448,Justin Thomas,62.71,74,118,22.0
2022,9,0,30911,Tommy Fleetwood,62.22,56,90,14.0
2022,10,0,27644,Brian Harman,61.87,86,139,29.0
2022,11,0,32150,Michael Thompson,61.65,82,133,23.0
2022,12,0,28237,Rory McIlroy,61.63,53,86,8.0
2022,13,0,21961,Charles Howell III,60.0,51,85,9.0
2022,14,0,29908,C.T. Pan,59.66,71,119,27.0
2022,15,0,33399,Adam Hadwin,59.2,74,125,30.0
2022,16,0,27349,Alex Noren,59.0,59,100,16.0
2022,17,0,34363,Tyrrell Hatton,58.89,53,90,28.0
2022,18,0,46402,Talor Gooch,58.87,73,124,28.0
2022,19,0,34610,Matthias Schwab,58.25,60,103,16.0
2022,20,0,48084,Wesley Bryan,58.23,46,79,26.0
2022,21,0,34256,Andrew Putnam,57.94,73,126,28.0
2022,22,0,35450,Patrick Cantlay,57.73,56,97,22.0
2022,23,0,47993,Denny McCarthy,57.69,90,156,38.0
2022,24,0,23983,Luke Donald,57.43,58,101,30.0
2022,25,0,34360,Patrick Reed,57.38,70,122,30.0
2022,26,0,39971,Sungjae Im,56.9,66,116,27.0
2022,27,0,29420,Billy Horschel,56.3,67,119,27.0
2022,28,0,39436,Joshua Creel,56.1,46,82,32.0
2022,29,0,23325,Vaughn Taylor,56.06,37,66,17.0
2022,30,0,24361,Pat Perez,56.0,56,100,24.0
2022,31,0,30926,Chris Kirk,55.97,75,134,37.0
2022,32,0,40250,Taylor Pendrith,55.91,52,93,14.0
2022,33,0,24024,Zach Johnson,55.86,62,111,39.0
2022,34,0,27974,Sung Kang,55.73,73,131,27.0
2022,35,0,22056,Cameron Percy,55.56,35,63,16.0
2022,36,0,51766,Wyndham Clark,55.47,76,137,38.0
2022,37,0,30944,Jason Kokrak,55.45,56,101,23.0
2022,38,0,32333,Kevin Tway,55.2,69,125,28.0
2022,39,0,45486,Joaquin Niemann,55.17,64,116,31.0
2022,40,0,30692,Scott Stallings,55.13,86,156,39.0
2022,41,0,48822,Sebastián Muñoz,55.12,70,127,30.0
2022,42,0,37189,Harold Varner III,54.95,61,111,25.0
2022,43,0,29974,Branden Grace,54.93,39,71,23.0
2022,44,0,32839,Hideki Matsuyama,54.92,67,122,28.0
2022,45,0,45157,Cam Davis,54.81,74,135,38.0
2022,46,0,35449,Adam Long,54.74,75,137,29.0
2022,47,0,24138,Ian Poulter,54.65,47,86,21.0
2022,48,0,39546,Keith Mitchell,54.62,71,130,32.0
2022,49,0,48117,Kurt Kitayama,54.44,49,90,21.0
2022,50,0,34174,John Huh,54.39,62,114,37.0
2022,51,0,49298,Kramer Hickok,54.31,63,116,48.0
2022,52,0,24924,Bill Haas,54.3,82,151,44.0
2022,53,0,36801,Mark Hubbard,53.77,57,106,16.0
2022,54,0,32791,K.H. Lee,53.42,86,161,38.0
2022,55,0,49771,J.T. Poston,53.28,73,137,41.0
2022,56,0,46601,Trey Mullinax,53.27,57,107,34.0
2022,57,0,30927,Brendon Todd,52.89,64,121,43.0
2022,58,0,29221,Webb Simpson,52.88,55,104,25.0
2022,59,0,28252,Seamus Power,52.85,65,123,47.0
2022,60,0,30978,Kiradech Aphibarnrat,52.75,48,91,33.0
2022,61,0,32448,James Hahn,52.73,58,110,28.0
2022,61,0,24502,Adam Scott,52.73,58,110,31.0
2022,63,0,27214,Kevin Streelman,52.7,78,148,39.0
2022,64,0,24925,Jonathan Byrd,52.44,43,82,14.0
2022,65,0,34264,Hudson Swafford,52.38,55,105,46.0
2022,66,0,25493,Nick Taylor,52.34,67,128,41.0
2022,67,0,35891,Cameron Smith,52.24,35,67,20.0
2022,68,0,29289,S.Y. Noh,52.13,49,94,31.0
2022,69,0,46550,Brandon Hagy,51.97,66,127,40.0
2022,69,0,35532,Tom Hoge,51.97,79,152,47.0
2022,71,0,32757,Patton Kizzire,51.85,70,135,54.0
2022,72,0,46340,Alex Smalley,51.75,59,114,27.0
2022,73,0,34563,Chesson Hadley,51.64,63,122,40.0
2022,74,0,30163,Henrik Norlander,51.61,48,93,25.0
2022,75,0,39977,Max Homa,51.59,65,126,39.0
2022,76,0,34046,Jordan Spieth,51.35,57,111,13.0
2022,77,0,26300,Matt Jones,51.3,59,115,24.0
2022,78,0,25198,Francesco Molinari,51.25,41,80,29.0
2022,79,0,51894,Vince Whaley,51.22,63,123,39.0
2022,80,0,35506,Mackenzie Hughes,51.13,68,133,53.0
2022,81,0,29725,Tony Finau,51.06,48,94,15.0
2022,82,0,20229,Stewart Cink,51.04,49,96,33.0
2022,83,0,36799,Stephan Jaeger,51.02,75,147,51.0
2022,84,0,45609,Tyler Duncan,50.98,52,102,39.0
2022,85,0,32139,Danny Willett,50.68,37,73,27.0
2022,86,0,46435,Austin Cook,50.5,51,101,38.0
2022,86,0,52375,Doug Ghim,50.5,51,101,32.0
2022,88,0,26851,Marc Leishman,50.43,58,115,38.0
2022,89,0,24980,Scott Gutschewski,50.0,41,82,25.0
2022,89,0,33597,Harry Higgs,50.0,72,144,55.0
2022,89,0,12716,Charley Hoffman,50.0,49,98,43.0
2022,89,0,36689,Brooks Koepka,50.0,41,82,29.0
2022,89,0,31420,Anirban Lahiri,50.0,48,96,32.0
2022,89,0,27936,Martin Laird,50.0,49,98,29.0
2022,89,0,34466,Peter Malnati,50.0,83,166,56.0
2022,89,0,25818,Scott Piercy,50.0,53,106,32.0
2022,89,0,49960,Sepp Straka,50.0,87,174,61.0
2022,89,0,10381,Curtis Thompson,50.0,54,108,33.0
2022,99,0,32640,Troy Merritt,49.69,79,159,66.0
2022,100,0,36326,David Lipsky,49.64,68,137,46.0
2022,101,0,26476,Chez Reavie,49.59,60,121,42.0
