YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
2013,117,0,34261,Scott Langley,-0.171,-10.939,-13.523,2.58,64
2013,117,0,23497,Tag Ridings,-0.171,-9.914,-12.997,3.08,58
2013,119,0,28092,D.H. Lee,-0.176,-10.202,-12.338,2.134,58
2013,120,0,24494,Erik Compton,-0.193,-12.557,-27.773,15.213,65
2013,121,0,25562,Andres Romero,-0.2,-10.387,-16.481,6.092,52
2013,122,0,34431,Robert Streb,-0.231,-14.298,-14.296,-0.003,62
2013,123,0,30692,Scott Stallings,-0.235,-15.534,-25.156,9.62,66
2013,123,0,33418,Shawn Stefani,-0.235,-11.734,-28.639,16.905,50
2013,125,0,34021,Bud Cauley,-0.247,-13.818,18.099,-31.917,56
2013,126,0,22621,Ben Curtis,-0.248,-11.388,-21.076,9.689,46
2013,126,0,28679,Fabián Gómez,-0.248,-13.901,-20.85,6.947,56
2013,128,0,20160,Charlie Wi,-0.251,-16.56,-28.192,11.63,66
2013,129,0,30163,Henrik Norlander,-0.254,-14.998,-5.542,-9.458,59
2013,130,0,19846,Brian Gay,-0.266,-18.887,-49.253,30.362,71
2013,131,0,1724,Jeff Maggert,-0.267,-15.214,2.808,-18.022,57
2013,132,0,23452,Nicolas Colsaerts,-0.268,-9.63,11.2,-20.83,36
2013,133,0,24846,Ricky Barnes,-0.278,-18.083,19.895,-37.979,65
2013,134,0,19970,Robert Karlsson,-0.286,-10.586,1.874,-12.462,37
2013,135,0,22378,Trevor Immelman,-0.291,-18.019,4.616,-22.637,62
2013,136,0,27644,Brian Harman,-0.296,-22.504,-33.699,11.191,76
2013,137,0,22371,Aaron Baddeley,-0.319,-18.803,-57.783,38.976,59
2013,138,0,25274,Steven Bowditch,-0.329,-19.098,-16.426,-2.675,58
2013,139,0,30110,Kyle Stanley,-0.332,-19.949,21.056,-41.004,60
2013,140,0,12782,Tim Herron,-0.338,-14.858,-13.041,-1.816,44
2013,141,0,10213,Dicky Pride,-0.361,-21.318,-20.667,-0.652,59
2013,142,0,22806,Doug LaBelle II,-0.386,-22.802,-54.985,32.18,59
2013,143,0,27503,Steve LeBrun,-0.398,-21.112,-11.518,-9.599,53
2013,144,0,27895,Jonas Blixt,-0.403,-27.001,-47.883,20.883,67
2013,145,0,36884,Ben Kohles,-0.459,-28.432,-31.579,3.144,62
2013,146,0,29289,S.Y. Noh,-0.472,-29.288,-0.577,-28.715,62
2013,147,0,32150,Michael Thompson,-0.511,-27.086,-20.749,-6.336,53
2013,148,0,20443,Jin Park,-0.512,-22.006,-20.868,-1.14,43
2013,149,0,32334,Charlie Beljan,-0.524,-28.837,-17.58,-11.257,55
2013,150,0,23788,D.J. Trahan,-0.531,-20.195,-10.825,-9.373,38
2013,151,0,8725,Tom Gillis,-0.543,-32.589,-42.988,10.396,60
2013,152,0,30852,Ryo Ishikawa,-0.547,-30.102,7.476,-37.58,55
2013,153,0,29425,Andrew Svoboda,-0.562,-19.666,-22.012,2.342,35
2013,154,0,24663,Y.E. Yang,-0.573,-23.506,-20.678,-2.827,41
2013,155,0,6004,Stephen Ames,-0.584,-25.685,-57.057,31.372,44
2013,156,0,28135,Aaron Watkins,-0.589,-20.601,-34.67,14.068,35
2013,157,0,27120,Troy Matteson,-0.61,-36.005,-36.204,0.196,59
2013,158,0,20691,Greg Owen,-0.615,-40.572,3.59,-44.163,66
2013,159,0,26497,Casey Wittenberg,-0.62,-37.823,-53.342,15.516,61
2013,160,0,22046,Geoff Ogilvy,-0.649,-27.242,-13.068,-14.174,42
2013,161,0,2206,David Toms,-0.679,-21.737,-9.625,-12.112,32
2013,162,0,10423,Mike Weir,-0.771,-36.243,-49.79,13.544,47
2013,163,0,30750,Tommy Gainey,-0.781,-58.572,-65.253,6.682,75
2013,164,0,28310,Lee Williams,-0.79,-40.31,-18.559,-21.752,51
2013,165,0,28455,Will Claxton,-0.804,-45.023,-5.329,-39.696,56
2013,166,0,20572,Rod Pampling,-0.857,-29.999,-10.261,-19.74,35
2013,167,0,10885,Robert Allenby,-0.859,-44.678,-27.146,-17.531,52
2013,168,0,22295,Darron Stiles,-0.912,-38.286,-20.337,-17.952,42
2013,169,0,26951,Johnson Wagner,-0.946,-49.207,-63.303,14.096,52
2013,170,0,24399,Scott Gardiner,-0.979,-50.905,-33.728,-17.179,52
2013,171,0,24140,Sean O'Hair,-1.022,-52.116,-37.986,-14.131,51
2013,172,0,25336,Alistair Presnell,-1.03,-47.367,-46.46,-0.909,46
2013,173,0,37273,Derek Ernst,-1.075,-52.663,-42.093,-10.569,49
2013,174,0,22961,David Mathis,-1.149,-71.254,-43.464,-27.791,62
2013,175,0,24227,Justin Bolli,-1.232,-56.671,-58.419,1.744,46
2013,176,0,30711,Colt Knost,-1.279,-74.164,-99.419,25.252,58
2013,177,0,1116,Michael Bradley,-1.319,-56.728,-37.362,-19.368,43
2013,178,0,27129,Luke List,-1.344,-69.882,-56.019,-13.865,52
2013,179,0,32698,Bobby Gates,-1.398,-53.106,-53.509,0.401,38
2013,180,0,33869,Eric Meierdierks,-1.476,-54.625,-18.452,-36.175,37
2014,1,0,28237,Rory McIlroy,2.266,108.746,95.596,13.15,48
2014,2,0,21209,Sergio Garcia,1.984,79.369,72.707,6.662,40
2014,3,0,10809,Jim Furyk,1.796,118.54,112.517,6.024,66
2014,4,0,24502,Adam Scott,1.72,96.308,84.001,12.309,56
2014,5,0,23108,Matt Kuchar,1.573,119.574,84.859,34.717,76
2014,6,0,22405,Justin Rose,1.466,76.256,78.322,-2.062,52
2014,7,0,28089,Jason Day,1.389,45.849,35.398,10.451,33
2014,8,0,25804,Bubba Watson,1.352,75.695,78.51,-2.812,56
2014,9,0,26331,Charl Schwartzel,1.341,72.436,69.444,2.994,54
2014,10,0,30925,Dustin Johnson,1.331,54.553,51.193,3.362,41
2014,11,0,23320,Ryan Palmer,1.265,84.769,65.041,19.733,67
2014,12,0,25632,Jimmy Walker,1.253,91.491,56.508,34.989,73
2014,13,0,25572,Graeme McDowell,1.171,53.881,13.29,40.589,46
2014,14,0,27436,Graham DeLaet,1.168,74.753,80.741,-5.982,64
2014,15,0,32839,Hideki Matsuyama,1.152,73.751,98.883,-25.129,64
2014,16,0,24924,Bill Haas,1.09,89.418,77.36,12.063,82
2014,17,0,25364,Paul Casey,1.008,44.336,31.892,12.446,44
2014,18,0,33141,Keegan Bradley,0.994,66.589,49.587,17.003,67
2014,19,0,21528,Henrik Stenson,0.992,37.693,44.141,-6.447,38
2014,20,0,34046,Jordan Spieth,0.98,77.4,45.885,31.52,79
2014,21,0,36689,Brooks Koepka,0.958,40.255,33.472,6.783,42
2014,22,0,12716,Charley Hoffman,0.956,72.688,52.502,20.191,76
2014,23,0,25396,Kevin Na,0.954,74.378,49.791,24.589,78
2014,24,0,30944,Jason Kokrak,0.908,55.384,41.851,13.532,61
2014,25,0,31323,Gary Woodland,0.9,65.73,76.581,-10.847,73
2014,26,0,29221,Webb Simpson,0.88,65.133,42.933,22.203,74
2014,27,0,1810,Phil Mickelson,0.868,43.419,31.697,11.722,50
2014,28,0,30926,Chris Kirk,0.862,74.138,42.014,32.127,86
2014,29,0,24024,Zach Johnson,0.857,72.001,63.114,8.889,84
2014,30,0,26596,Ryan Moore,0.836,51.844,49.218,2.629,62
2014,31,0,33122,Russell Knox,0.822,68.253,77.881,-9.627,83
2014,32,0,20645,John Senden,0.805,65.177,26.594,38.587,81
2014,33,0,24490,George McNeill,0.799,55.92,36.968,18.955,70
2014,34,0,30927,Brendon Todd,0.793,72.207,11.781,60.431,91
2014,35,0,32102,Rickie Fowler,0.769,47.703,29.729,17.976,62
2014,36,0,21961,Charles Howell III,0.755,71.686,68.141,3.549,95
2014,37,0,26851,Marc Leishman,0.749,51.681,52.826,-1.14,69
2014,38,0,29420,Billy Horschel,0.738,50.919,35.712,15.21,69
2014,39,0,32366,Kevin Chappell,0.692,60.194,84.364,-24.167,87
2014,40,0,23983,Luke Donald,0.69,30.361,7.628,22.733,44
2014,41,0,34099,Harris English,0.677,50.126,52.223,-2.092,74
2014,42,0,25834,Daniel Summerhays,0.675,59.422,16.152,43.275,88
2014,43,0,33419,Cameron Tringale,0.668,65.428,54.924,10.507,98
2014,44,0,20396,Lee Westwood,0.646,27.796,21.287,6.509,43
2014,45,0,27649,Brandt Snedeker,0.644,42.505,20.967,21.541,66
2014,46,0,27095,Nick Watney,0.613,34.303,38.498,-4.191,56
2014,47,0,8075,Jerry Kelly,0.527,34.784,19.033,15.752,66
2014,48,0,25686,Jason Dufner,0.522,21.916,46.128,-24.208,42
2014,49,0,24781,Hunter Mahan,0.52,37.461,22.576,14.888,72
2014,50,0,29518,Brendan Steele,0.519,36.317,27.856,8.462,70
2014,51,0,27644,Brian Harman,0.515,52.053,40.657,11.399,101
2014,52,0,28307,Matt Every,0.497,32.337,-15.331,47.669,65
2014,53,0,6522,Ernie Els,0.483,30.434,41.192,-10.756,63
2014,54,0,2206,David Toms,0.46,24.858,21.893,2.97,54
2014,55,0,26758,David Hearn,0.451,36.991,11.154,25.838,82
2014,56,0,34431,Robert Streb,0.438,28.039,20.432,7.609,64
2014,57,0,24358,Robert Garrigus,0.429,31.319,27.885,3.439,73
2014,58,0,33413,Ben Martin,0.421,26.545,8.209,18.338,63
2014,59,0,33418,Shawn Stefani,0.418,23.809,32.143,-8.331,57
2014,59,0,27963,Chris Stroud,0.418,30.098,16.983,13.118,72
2014,61,0,21731,Freddie Jacobson,0.411,33.253,-23.735,56.992,81
2014,61,0,26679,Kevin Stadler,0.411,26.72,57.074,-30.351,65
2014,63,0,27141,J.B. Holmes,0.401,30.894,36.65,-5.753,77
2014,64,0,29478,Kevin Kisner,0.397,27.811,0.637,27.176,70
2014,65,0,23623,Bo Van Pelt,0.378,25.325,28.903,-3.574,67
2014,66,0,20098,Stuart Appleby,0.361,30.3,-10.572,40.874,84
2014,67,0,34265,Will Wilcox,0.349,13.943,22.085,-8.141,40
2014,68,0,29479,Scott Brown,0.345,28.635,11.134,17.502,83
2014,69,0,29425,Andrew Svoboda,0.344,22.707,24.413,-1.704,66
2014,70,0,34360,Patrick Reed,0.331,24.461,6.021,18.44,74
2014,71,0,20157,Retief Goosen,0.329,25.623,-1.838,27.461,78
2014,72,0,31560,Brian Stuard,0.326,24.108,3.141,20.973,74
2014,73,0,30852,Ryo Ishikawa,0.323,20.002,14.324,5.682,62
2014,74,0,27770,Camilo Villegas,0.315,26.478,26.502,-0.021,84
2014,75,0,29222,Billy Hurley III,0.309,22.216,19.404,2.815,72
2014,76,0,29289,S.Y. Noh,0.306,22.945,32.036,-9.089,75
2014,77,0,24846,Ricky Barnes,0.302,23.518,11.286,12.237,78
2014,78,0,35539,Luke Guthrie,0.299,22.746,8.293,14.457,76
2014,79,0,24357,K.J. Choi,0.293,19.63,-2.623,22.255,67
2014,80,0,34261,Scott Langley,0.284,22.474,1.289,21.185,79
2014,81,0,12510,Chad Campbell,0.275,12.663,32.617,-19.952,46
2014,82,0,25345,Carl Pettersson,0.259,22.027,33.767,-11.737,85
2014,83,0,22293,Heath Slocum,0.249,15.426,20.289,-4.862,62
2014,84,0,27408,Martin Kaymer,0.244,11.708,17.044,-5.332,48
2014,85,0,23638,Brendon de Jonge,0.224,20.596,23.559,-2.961,92
2014,85,0,24912,Will MacKenzie,0.224,16.386,5.114,11.273,73
2014,87,0,28500,Martin Flores,0.218,14.839,24.601,-9.76,68
2014,88,0,28259,Sangmoon Bae,0.216,14.056,-13.12,27.179,65
2014,89,0,20848,Ángel Cabrera,0.205,12.493,12.056,0.439,61
2014,90,0,32150,Michael Thompson,0.149,8.923,-19.026,27.951,60
2014,91,0,25562,Andres Romero,0.145,10.473,-14.925,25.399,72
2014,92,0,25349,Tim Wilkinson,0.127,9.034,-5.534,14.569,71
2014,93,0,20229,Stewart Cink,0.113,8.122,17.521,-9.399,72
2014,93,0,26300,Matt Jones,0.113,6.793,-1.716,8.511,60
2014,95,0,28486,Michael Putnam,0.108,9.853,47.056,-37.202,91
2014,96,0,10885,Robert Allenby,0.105,7.37,18.805,-11.431,70
2014,97,0,23135,Tim Clark,0.086,5.317,3.781,1.538,62
2014,98,0,31202,William McGirt,0.079,6.596,-19.768,26.367,84
2014,99,0,27214,Kevin Streelman,0.074,4.424,4.092,0.333,60
2014,100,0,25444,Justin Hicks,0.066,5.952,-0.233,6.188,90
2014,101,0,21753,Brian Davis,0.061,4.928,-6.847,11.779,81
2014,101,0,28475,Jeff Overton,0.061,4.038,2.911,1.129,66
2014,103,0,29740,Brad Fritsch,0.06,2.342,4.29,-1.947,39
2014,104,0,22371,Aaron Baddeley,0.044,2.589,-48.855,51.445,59
2014,105,0,33461,Morgan Hoffmann,0.034,3.045,-42.474,45.523,90
2014,106,0,24494,Erik Compton,0.023,1.716,-19.413,21.133,75
2014,107,0,29926,Danny Lee,0.018,1.268,-8.47,9.737,69
2014,108,0,24361,Pat Perez,-0.004,-0.303,-19.16,18.859,75
2014,109,0,6567,Vijay Singh,-0.025,-1.868,42.119,-43.983,76
2014,110,0,24138,Ian Poulter,-0.038,-1.568,-4.327,2.759,41
2014,111,0,27064,Jhonattan Vegas,-0.056,-3.578,20.1,-23.675,64
2014,112,0,27556,Ted Potter Jr.,-0.09,-5.408,7.527,-12.934,60
2014,113,0,32640,Troy Merritt,-0.099,-5.461,-6.788,1.325,55
2014,114,0,34021,Bud Cauley,-0.105,-4.832,13.065,-17.896,46
2014,115,0,34098,Russell Henley,-0.106,-7.964,-32.882,24.92,75
2014,116,0,20160,Charlie Wi,-0.108,-7.033,-14.34,7.308,65
2014,117,0,27936,Martin Laird,-0.116,-6.402,2.09,-8.49,55
2014,118,0,24507,Jason Bohn,-0.127,-9.259,-18.458,9.201,73
2014,119,0,20593,Greg Chalmers,-0.133,-9.728,-72.206,62.482,73
2014,120,0,35300,Andrew Loupe,-0.136,-6.78,-24.272,17.494,50
2014,121,0,34563,Chesson Hadley,-0.14,-9.926,-12.81,2.884,71
2014,122,0,27330,Josh Teater,-0.143,-10.71,5.679,-16.385,75
2014,123,0,29535,Brice Garnett,-0.147,-11.452,-19.923,8.475,78
2014,124,0,23541,Ben Crane,-0.152,-11.862,-22.585,10.726,78
2014,125,0,34174,John Huh,-0.169,-11.82,-0.671,-11.142,70
2014,126,0,20104,Ken Duke,-0.178,-11.759,15.212,-26.967,66
2014,127,0,10860,Justin Leonard,-0.181,-11.252,-42.002,30.751,62
2014,128,0,25274,Steven Bowditch,-0.182,-14.173,31.111,-45.28,78
2014,129,0,27895,Jonas Blixt,-0.209,-8.974,-22.0,13.028,43
2014,130,0,25191,Gonzalo Fernandez-Castaño,-0.211,-14.588,-6.324,-8.265,69
2014,131,0,22621,Ben Curtis,-0.216,-13.813,-39.434,25.623,64
2014,132,0,26329,Louis Oosthuizen,-0.217,-6.517,6.368,-12.882,30
2014,133,0,23353,J.J. Henry,-0.219,-17.051,-2.479,-14.566,78
2014,134,0,23800,Bryce Molder,-0.233,-14.936,-30.861,15.929,64
2014,135,0,32448,James Hahn,-0.236,-17.238,5.096,-22.332,73
2014,136,0,24140,Sean O'Hair,-0.244,-16.374,-21.881,5.51,67
2014,137,0,28132,Tyrone Van Aswegen,-0.247,-16.054,-17.126,1.074,65
2014,138,0,26289,Boo Weekley,-0.277,-15.526,48.974,-64.497,56
2014,139,0,32334,Charlie Beljan,-0.289,-19.35,-3.857,-15.491,67
2014,140,0,24925,Jonathan Byrd,-0.298,-19.399,-1.781,-17.614,65
2014,141,0,32200,Roberto Castro,-0.3,-17.692,4.981,-22.671,59
2014,142,0,34409,David Lingmerth,-0.307,-20.558,-14.734,-5.82,67
2014,143,0,34264,Hudson Swafford,-0.316,-18.321,-6.701,-11.617,58
2014,144,0,22378,Trevor Immelman,-0.317,-21.237,10.544,-31.78,67
2014,145,0,27466,Spencer Levin,-0.324,-16.203,-11.515,-4.683,50
2014,146,0,29461,Jamie Lovemark,-0.351,-16.487,11.031,-27.518,47
2014,147,0,22046,Geoff Ogilvy,-0.363,-26.5,-2.301,-24.193,73
2014,148,0,1706,Davis Love III,-0.418,-26.316,-3.54,-22.774,63
2014,149,0,35139,Richard Lee,-0.432,-26.374,-53.552,27.183,61
2014,150,0,25720,Chad Collins,-0.446,-27.185,-53.902,26.719,61
2014,151,0,19846,Brian Gay,-0.465,-29.278,-46.178,16.901,63
2014,152,0,35541,John Peterson,-0.48,-26.394,18.675,-45.067,55
2014,153,0,27933,John Merrick,-0.517,-37.219,3.706,-40.919,72
2014,153,0,28780,Nicholas Thompson,-0.517,-36.169,7.348,-43.514,70
2014,155,0,26956,Bronson La'Cassie,-0.519,-18.682,-15.512,-3.17,36
2014,156,0,30750,Tommy Gainey,-0.521,-31.286,-32.424,1.14,60
2014,157,0,24663,Y.E. Yang,-0.536,-32.695,-28.261,-4.43,61
2014,158,0,35732,Wes Roach,-0.554,-27.719,-27.702,-0.015,50
2014,159,0,26951,Johnson Wagner,-0.565,-32.795,-35.723,2.927,58
2014,160,0,23621,Rory Sabbatini,-0.571,-37.089,-15.923,-21.162,65
2014,161,0,20498,Briny Baird,-0.575,-25.874,-18.848,-7.024,45
2014,162,0,10423,Mike Weir,-0.626,-33.194,-46.753,13.559,53
2014,163,0,22913,John Rollins,-0.647,-43.319,-26.452,-16.864,67
2014,164,0,30692,Scott Stallings,-0.673,-42.42,-23.226,-19.191,63
2014,165,0,1724,Jeff Maggert,-0.748,-32.899,-4.204,-28.696,44
2014,166,0,28092,D.H. Lee,-0.796,-35.84,-36.902,1.062,45
2014,167,0,21878,Mark Wilson,-0.804,-45.826,-15.078,-30.747,57
2014,168,0,7867,Woody Austin,-0.833,-47.497,-39.687,-7.81,57
2014,169,0,30110,Kyle Stanley,-0.834,-60.021,39.718,-99.737,72
2014,169,0,32333,Kevin Tway,-0.834,-39.185,-31.827,-7.357,47
2014,171,0,23409,James Driscoll,-0.835,-48.418,-55.552,7.137,58
2014,172,0,31557,Jim Herman,-0.85,-40.778,-23.412,-17.364,48
2014,173,0,25900,Lucas Glover,-0.936,-43.979,25.325,-69.302,47
2014,174,0,31193,Jim Renner,-1.013,-52.667,-11.468,-41.196,52
2014,175,0,25240,D.A. Points,-1.097,-60.317,-41.397,-18.917,55
2014,176,0,27120,Troy Matteson,-1.337,-65.494,-44.81,-20.683,49
2014,177,0,37273,Derek Ernst,-1.356,-85.436,-50.277,-35.154,63
2022,1,0,28237,Rory McIlroy,2.115,109.968,84.208,25.762,52
2022,2,0,40098,Matt Fitzpatrick,1.792,86.035,65.65,20.385,48
2022,3,0,47483,Will Zalatoris,1.767,100.723,100.913,-0.188,57
2022,4,0,33448,Justin Thomas,1.68,102.492,96.939,5.553,61
2022,5,0,46046,Scottie Scheffler,1.677,110.666,97.362,13.304,66
2022,6,0,39971,Sungjae Im,1.668,125.131,100.652,24.48,75
2022,7,0,46970,Jon Rahm,1.656,91.104,70.938,20.167,55
2022,8,0,48081,Xander Schauffele,1.652,94.177,74.616,19.561,57
