YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
2013,77,0,21099,David Lynn,57.75,41,71,-44,-20.00
2013,78,0,12782,Tim Herron,57.63,34,59,-37,-6.00
2013,79,0,6573,Brandt Jobe,57.47,50,87,-54,-4.00
2013,79,0,27408,Martin Kaymer,57.47,50,87,-52,-6.00
2013,81,0,31323,Gary Woodland,57.45,108,188,-116,+6.00
2013,82,0,35539,Luke Guthrie,57.43,58,101,-60,-24.00
2013,82,0,24490,George McNeill,57.43,58,101,-65,E
2013,84,0,28455,Will Claxton,57.32,47,82,-50,E
2013,84,0,26289,Boo Weekley,57.32,94,164,-98,-11.00
2013,86,0,21961,Charles Howell III,57.3,102,178,-108,-5.00
2013,87,0,27895,Jonas Blixt,57.26,67,117,-70,-9.00
2013,88,0,26300,Matt Jones,57.25,79,138,-84,-3.00
2013,88,0,20691,Greg Owen,57.25,75,131,-82,+6.00
2013,90,0,23320,Ryan Palmer,57.24,87,152,-91,-9.00
2013,91,0,23541,Ben Crane,57.14,36,63,-39,-19.00
2013,91,0,25240,D.A. Points,57.14,64,112,-65,-11.00
2013,91,0,23623,Bo Van Pelt,57.14,56,98,-60,+1.00
2013,91,0,25804,Bubba Watson,57.14,96,168,-101,+2.00
2013,95,0,29479,Scott Brown,57.01,61,107,-66,E
2013,96,0,8725,Tom Gillis,56.96,45,79,-47,-8.00
2013,97,0,29221,Webb Simpson,56.94,82,144,-86,-19.00
2013,98,0,12510,Chad Campbell,56.92,74,130,-80,-15.00
2013,99,0,35139,Richard Lee,56.84,54,95,-56,-29.00
2013,100,0,22913,John Rollins,56.82,75,132,-78,-3.00
2013,101,0,20160,Charlie Wi,56.63,47,83,-51,-7.00
2013,102,0,1320,Bob Estes,56.58,43,76,-46,-27.00
2013,103,0,27120,Troy Matteson,56.57,56,99,-61,-2.00
2013,104,0,24024,Zach Johnson,56.36,62,110,-65,-21.00
2013,105,0,27936,Martin Laird,56.31,58,103,-65,-1.00
2013,106,0,30926,Chris Kirk,56.25,81,144,-94,-6.00
2013,107,0,33461,Morgan Hoffmann,56.12,55,98,-59,-6.00
2013,108,0,19846,Brian Gay,55.88,38,68,-38,-14.00
2013,109,0,28237,Rory McIlroy,55.56,60,108,-65,+5.00
2013,109,0,34046,Jordan Spieth,55.56,75,135,-85,-3.00
2013,109,0,22295,Darron Stiles,55.56,25,45,-28,-11.00
2013,112,0,24781,Hunter Mahan,55.49,91,164,-94,-13.00
2013,113,0,25818,Scott Piercy,55.48,81,146,-87,-2.00
2013,114,0,27503,Steve LeBrun,55.42,46,83,-49,-10.00
2013,115,0,29425,Andrew Svoboda,55.38,36,65,-40,-2.00
2013,116,0,32334,Charlie Beljan,55.37,67,121,-70,+12.00
2013,116,0,24361,Pat Perez,55.37,67,121,-70,E
2013,118,0,10423,Mike Weir,55.36,31,56,-31,-18.00
2013,119,0,30110,Kyle Stanley,55.15,91,165,-101,+8.00
2013,120,0,1116,Michael Bradley,55.1,27,49,-27,-4.00
2013,121,0,28259,Sangmoon Bae,55.08,65,118,-67,+1.00
2013,121,0,25900,Lucas Glover,55.08,65,118,-70,-4.00
2013,123,0,8075,Jerry Kelly,55.06,49,89,-53,-16.00
2013,124,0,27095,Nick Watney,54.97,83,151,-89,-20.00
2013,125,0,23409,James Driscoll,54.55,54,99,-55,-3.00
2013,125,0,21731,Freddie Jacobson,54.55,42,77,-47,-18.00
2013,125,0,28310,Lee Williams,54.55,30,55,-31,-20.00
2013,128,0,29289,S.Y. Noh,54.47,67,123,-69,+18.00
2013,129,0,27933,John Merrick,54.21,58,107,-66,-26.00
2013,130,0,30750,Tommy Gainey,54.2,71,131,-73,-3.00
2013,131,0,23353,J.J. Henry,54.05,60,111,-65,-11.00
2013,132,0,27644,Brian Harman,53.96,75,139,-82,+1.00
2013,133,0,26679,Kevin Stadler,53.85,84,156,-91,-9.00
2013,134,0,21878,Mark Wilson,53.73,36,67,-38,-21.00
2013,135,0,34174,John Huh,53.52,76,142,-81,-2.00
2013,136,0,20766,Padraig Harrington,53.25,41,77,-44,E
2013,137,0,28307,Matt Every,53.04,96,181,-103,+7.00
2013,138,0,6567,Vijay Singh,52.94,45,85,-46,E
2013,139,0,24138,Ian Poulter,52.86,37,70,-39,-11.00
2013,140,0,23452,Nicolas Colsaerts,52.78,38,72,-41,+1.00
2013,141,0,24358,Robert Garrigus,52.7,78,148,-81,+9.00
2013,141,0,10860,Justin Leonard,52.7,39,74,-43,-39.00
2013,143,0,24357,K.J. Choi,52.56,41,78,-43,-38.00
2013,144,0,22378,Trevor Immelman,52.5,42,80,-42,-8.00
2013,145,0,20104,Ken Duke,52.44,43,82,-45,-19.00
2013,146,0,20848,Ángel Cabrera,52.31,68,130,-70,+4.00
2013,147,0,34431,Robert Streb,52.21,59,113,-61,+1.00
2013,148,0,23788,D.J. Trahan,52.11,37,71,-39,-2.00
2013,149,0,37273,Derek Ernst,52.08,50,96,-53,+1.00
2013,150,0,26497,Casey Wittenberg,51.9,41,79,-42,+2.00
2013,151,0,20098,Stuart Appleby,51.85,56,108,-59,-20.00
2013,152,0,28780,Nicholas Thompson,51.57,82,159,-89,-3.00
2013,153,0,36884,Ben Kohles,51.35,38,74,-43,-4.00
2013,154,0,24507,Jason Bohn,51.32,39,76,-39,-26.00
2013,155,0,26851,Marc Leishman,51.13,68,133,-71,+1.00
2013,156,0,24140,Sean O'Hair,51.0,51,100,-56,+3.00
2013,157,0,26758,David Hearn,50.55,46,91,-46,-22.00
2013,158,0,27770,Camilo Villegas,50.47,54,107,-59,-21.00
2013,159,0,22056,Cameron Percy,50.45,56,111,-58,+3.00
2013,160,0,21753,Brian Davis,50.0,50,100,-54,-35.00
2013,160,0,1724,Jeff Maggert,50.0,40,80,-42,-11.00
2013,162,0,27556,Ted Potter Jr.,49.32,36,73,-40,-10.00
2013,163,0,22621,Ben Curtis,49.02,25,51,-26,+1.00
2013,163,0,25686,Jason Dufner,49.02,50,102,-51,-20.00
2013,163,0,28475,Jeff Overton,49.02,75,153,-79,-7.00
2013,166,0,24924,Bill Haas,48.85,64,131,-69,-16.00
2013,167,0,22046,Geoff Ogilvy,48.65,36,74,-37,+18.00
2013,168,0,33869,Eric Meierdierks,48.15,39,81,-39,+2.00
2013,169,0,25444,Justin Hicks,47.67,41,86,-45,-8.00
2013,169,0,26951,Johnson Wagner,47.67,41,86,-43,+8.00
2013,171,0,26476,Chez Reavie,46.99,39,83,-42,-11.00
2013,172,0,10885,Robert Allenby,46.97,31,66,-32,+6.00
2013,173,0,24846,Ricky Barnes,46.67,49,105,-50,-12.00
2013,174,0,22961,David Mathis,46.59,41,88,-42,-11.00
2013,175,0,30852,Ryo Ishikawa,45.1,46,102,-48,+1.00
2013,176,0,10213,Dicky Pride,44.44,28,63,-28,-25.00
2013,177,0,24227,Justin Bolli,42.86,21,49,-21,-2.00
2013,178,0,24494,Erik Compton,42.34,47,111,-50,-7.00
2013,179,0,32698,Bobby Gates,41.38,24,58,-24,+4.00
2013,179,0,2206,David Toms,41.38,12,29,-15,-6.00
2014,1,0,28132,Tyrone Van Aswegen,72.73,64,88,-64,+1.00
2014,2,0,27895,Jonas Blixt,68.66,46,67,-48,+7.00
2014,3,0,21753,Brian Davis,68.07,81,119,-88,-28.00
2014,4,0,22405,Justin Rose,66.67,72,108,-78,-1.00
2014,5,0,10809,Jim Furyk,66.22,49,74,-52,-42.00
2014,6,0,34563,Chesson Hadley,65.83,79,120,-80,-4.00
2014,7,0,23108,Matt Kuchar,65.55,78,119,-83,-23.00
2014,8,0,8075,Jerry Kelly,65.38,51,78,-53,-22.00
2014,9,0,20098,Stuart Appleby,65.22,60,92,-61,-29.00
2014,10,0,34360,Patrick Reed,65.12,84,129,-93,-2.00
2014,11,0,25632,Jimmy Walker,64.33,110,171,-114,-2.00
2014,12,0,29535,Brice Garnett,64.0,80,125,-84,-7.00
2014,13,0,24502,Adam Scott,63.91,85,133,-92,-12.00
2014,14,0,34046,Jordan Spieth,63.7,93,146,-95,-13.00
2014,15,0,24357,K.J. Choi,63.29,50,79,-55,-20.00
2014,16,0,27936,Martin Laird,63.11,77,122,-86,-1.00
2014,17,0,24024,Zach Johnson,63.08,82,130,-86,-33.00
2014,18,0,32448,James Hahn,62.81,76,121,-82,+3.00
2014,19,0,25396,Kevin Na,62.76,91,145,-99,-16.00
2014,20,0,20157,Retief Goosen,62.73,69,110,-70,-8.00
2014,21,0,24138,Ian Poulter,62.32,43,69,-44,-14.00
2014,22,0,26331,Charl Schwartzel,62.3,76,122,-82,-12.00
2014,23,0,7867,Woody Austin,62.2,51,82,-51,-21.00
2014,24,0,33461,Morgan Hoffmann,62.07,108,174,-115,+5.00
2014,25,0,34265,Will Wilcox,61.9,52,84,-56,-4.00
2014,26,0,22371,Aaron Baddeley,61.61,69,112,-71,-1.00
2014,27,0,28237,Rory McIlroy,61.59,85,138,-91,+2.00
2014,28,0,25274,Steven Bowditch,61.45,102,166,-115,+2.00
2014,29,0,24846,Ricky Barnes,61.42,78,127,-83,+1.00
2014,30,0,25686,Jason Dufner,61.33,46,75,-49,-10.00
2014,31,0,29740,Brad Fritsch,61.19,41,67,-42,-6.00
2014,32,0,30926,Chris Kirk,60.65,94,155,-102,-14.00
2014,33,0,32150,Michael Thompson,60.61,60,99,-62,-16.00
2014,34,0,23800,Bryce Molder,60.56,43,71,-45,-29.00
2014,35,0,34431,Robert Streb,60.53,69,114,-75,-4.00
2014,36,0,27330,Josh Teater,60.45,81,134,-83,-4.00
2014,37,0,23983,Luke Donald,60.34,35,58,-37,-17.00
2014,38,0,22621,Ben Curtis,60.27,44,73,-46,-9.00
2014,39,0,28307,Matt Every,60.19,65,108,-69,-9.00
2014,40,0,29518,Brendan Steele,60.14,83,138,-90,-10.00
2014,41,0,24924,Bill Haas,60.13,92,153,-98,-16.00
2014,42,0,27963,Chris Stroud,59.84,76,127,-78,-2.00
2014,43,0,20396,Lee Westwood,59.79,58,97,-63,+2.00
2014,44,0,25364,Paul Casey,59.72,43,72,-47,-5.00
2014,44,0,30944,Jason Kokrak,59.72,86,144,-92,+7.00
2014,46,0,23409,James Driscoll,59.57,56,94,-59,-7.00
2014,47,0,25804,Bubba Watson,59.42,82,138,-89,E
2014,48,0,32200,Roberto Castro,59.3,51,86,-56,-12.00
2014,48,0,32333,Kevin Tway,59.3,51,86,-52,-7.00
2014,50,0,22293,Heath Slocum,59.15,42,71,-44,-18.00
2014,51,0,32839,Hideki Matsuyama,59.06,75,127,-82,-22.00
2014,52,0,10885,Robert Allenby,59.0,59,100,-61,+2.00
2014,53,0,20645,John Senden,58.9,86,146,-94,-14.00
2014,54,0,20498,Briny Baird,58.82,40,68,-41,-10.00
2014,55,0,24912,Will MacKenzie,58.78,77,131,-86,+5.00
2014,56,0,12716,Charley Hoffman,58.68,98,167,-101,+6.00
2014,57,0,33419,Cameron Tringale,58.49,93,159,-99,-34.00
2014,58,0,30852,Ryo Ishikawa,58.47,69,118,-73,-8.00
2014,59,0,23320,Ryan Palmer,58.44,90,154,-99,+2.00
2014,60,0,24507,Jason Bohn,58.43,52,89,-53,-22.00
2014,60,0,27141,J.B. Holmes,58.43,104,178,-106,+6.00
2014,62,0,26300,Matt Jones,58.27,81,139,-92,+4.00
2014,63,0,34261,Scott Langley,58.25,60,103,-63,-28.00
2014,64,0,29478,Kevin Kisner,58.18,64,110,-66,-17.00
2014,65,0,27064,Jhonattan Vegas,58.16,82,141,-85,-6.00
2014,66,0,6567,Vijay Singh,58.14,75,129,-79,-23.00
2014,67,0,32366,Kevin Chappell,58.13,93,160,-99,-4.00
2014,68,0,25191,Gonzalo Fernandez-Castaño,58.12,68,117,-71,+9.00
2014,69,0,32334,Charlie Beljan,58.06,72,124,-78,+2.00
2014,70,0,34099,Harris English,57.99,98,169,-105,-4.00
2014,71,0,34098,Russell Henley,57.97,80,138,-85,-3.00
2014,72,0,21528,Henrik Stenson,57.89,55,95,-57,-10.00
2014,73,0,28259,Sangmoon Bae,57.78,78,135,-83,-10.00
2014,74,0,26956,Bronson La'Cassie,57.63,34,59,-36,-3.00
2014,75,0,29221,Webb Simpson,57.58,76,132,-82,-26.00
2014,76,0,30925,Dustin Johnson,57.55,61,106,-68,-6.00
2014,77,0,27649,Brandt Snedeker,57.27,63,110,-67,-16.00
2014,78,0,20593,Greg Chalmers,57.14,56,98,-57,-12.00
2014,78,0,29420,Billy Horschel,57.14,80,140,-87,-3.00
2014,80,0,32102,Rickie Fowler,56.94,82,144,-84,-9.00
2014,81,0,29289,S.Y. Noh,56.83,79,139,-84,-17.00
2014,82,0,20229,Stewart Cink,56.78,67,118,-76,-13.00
2014,83,0,32640,Troy Merritt,56.67,34,60,-37,-3.00
2014,84,0,28475,Jeff Overton,56.56,69,122,-74,+3.00
2014,85,0,22378,Trevor Immelman,56.48,61,108,-68,-4.00
2014,86,0,26596,Ryan Moore,56.41,66,117,-73,-6.00
2014,87,0,2206,David Toms,56.36,31,55,-33,-16.00
2014,88,0,25562,Andres Romero,56.25,81,144,-90,-2.00
2014,89,0,31193,Jim Renner,56.0,42,75,-44,+1.00
2014,90,0,10423,Mike Weir,55.93,33,59,-36,-5.00
2014,91,0,23638,Brendon de Jonge,55.76,92,165,-96,-2.00
2014,92,0,35732,Wes Roach,55.68,49,88,-51,+6.00
2014,93,0,25900,Lucas Glover,55.56,55,99,-59,+9.00
2014,93,0,35539,Luke Guthrie,55.56,70,126,-74,-16.00
2014,95,0,28500,Martin Flores,55.46,66,119,-69,-11.00
2014,96,0,27095,Nick Watney,55.45,56,101,-57,-10.00
2014,97,0,21961,Charles Howell III,55.44,107,193,-115,-24.00
2014,98,0,1706,Davis Love III,55.34,57,103,-62,+3.00
2014,99,0,33413,Ben Martin,55.24,58,105,-62,+1.00
2014,100,0,26758,David Hearn,55.1,54,98,-55,-34.00
2014,101,0,28486,Michael Putnam,55.03,104,189,-111,+3.00
2014,102,0,1810,Phil Mickelson,54.87,62,113,-64,-4.00
2014,103,0,25444,Justin Hicks,54.76,69,126,-70,-24.00
2014,104,0,20104,Ken Duke,54.63,59,108,-61,-14.00
2014,105,0,36689,Brooks Koepka,54.55,48,88,-51,E
2014,106,0,24781,Hunter Mahan,54.48,79,145,-82,-12.00
2014,107,0,6522,Ernie Els,54.41,74,136,-79,+1.00
2014,108,0,21731,Freddie Jacobson,54.39,62,114,-66,-15.00
2014,109,0,27770,Camilo Villegas,54.35,75,138,-79,-2.00
2014,110,0,25834,Daniel Summerhays,54.27,89,164,-99,-19.00
2014,111,0,27644,Brian Harman,54.25,83,153,-92,-13.00
2014,112,0,26951,Johnson Wagner,54.02,47,87,-53,-1.00
2014,113,0,23135,Tim Clark,54.0,27,50,-28,-24.00
2014,114,0,10860,Justin Leonard,53.85,21,39,-21,-33.00
2014,115,0,24663,Y.E. Yang,53.76,50,93,-52,-6.00
2014,116,0,28089,Jason Day,53.73,36,67,-37,-6.00
2014,117,0,24361,Pat Perez,53.72,65,121,-69,-21.00
2014,117,0,27214,Kevin Streelman,53.72,65,121,-70,-8.00
2014,119,0,33418,Shawn Stefani,53.7,58,108,-65,-11.00
2014,120,0,20160,Charlie Wi,53.68,51,95,-54,-12.00
2014,121,0,34021,Bud Cauley,53.66,44,82,-47,-3.00
2014,122,0,27408,Martin Kaymer,53.64,59,110,-62,+11.00
2014,123,0,24494,Erik Compton,53.62,74,138,-80,+1.00
2014,124,0,25349,Tim Wilkinson,53.57,45,84,-49,-34.00
2014,125,0,24490,George McNeill,53.45,62,116,-69,-16.00
2014,126,0,34264,Hudson Swafford,53.4,55,103,-59,+4.00
2014,127,0,27436,Graham DeLaet,53.38,71,133,-75,-11.00
2014,128,0,24140,Sean O'Hair,53.33,72,135,-78,E
2014,129,0,33122,Russell Knox,53.1,60,113,-67,-15.00
2014,129,0,29461,Jamie Lovemark,53.1,60,113,-62,+1.00
2014,129,0,26679,Kevin Stadler,53.1,77,145,-82,-5.00
2014,132,0,25720,Chad Collins,52.94,36,68,-37,-8.00
2014,133,0,24925,Jonathan Byrd,52.78,57,108,-59,-9.00
2014,134,0,29926,Danny Lee,52.76,67,127,-69,-7.00
2014,135,0,20848,Ángel Cabrera,52.67,69,131,-71,-1.00
2014,136,0,30927,Brendon Todd,52.53,52,99,-56,-40.00
2014,137,0,35300,Andrew Loupe,52.43,54,103,-57,+3.00
2014,138,0,19846,Brian Gay,52.31,34,65,-37,-8.00
2014,139,0,25345,Carl Pettersson,52.2,83,159,-90,-7.00
2014,140,0,24358,Robert Garrigus,51.98,92,177,-99,-6.00
2014,141,0,27933,John Merrick,51.85,70,135,-77,-6.00
2014,141,0,26329,Louis Oosthuizen,51.85,28,54,-28,+4.00
2014,141,0,21878,Mark Wilson,51.85,42,81,-45,-3.00
2014,144,0,31560,Brian Stuard,51.82,57,110,-62,-33.00
2014,145,0,23623,Bo Van Pelt,51.46,53,103,-60,-16.00
2014,146,0,29425,Andrew Svoboda,51.4,55,107,-57,-16.00
2014,147,0,31323,Gary Woodland,51.35,95,185,-99,+2.00
2014,148,0,29222,Billy Hurley III,51.25,41,80,-44,-27.00
2014,149,0,26289,Boo Weekley,51.02,50,98,-52,-2.00
2014,150,0,25572,Graeme McDowell,50.94,27,53,-29,-23.00
2014,151,0,26851,Marc Leishman,50.7,72,142,-83,-13.00
2014,152,0,33141,Keegan Bradley,50.69,73,144,-76,+4.00
2014,153,0,27120,Troy Matteson,50.59,43,85,-43,E
2014,154,0,28780,Nicholas Thompson,50.45,56,111,-63,-12.00
2014,155,0,30110,Kyle Stanley,50.31,80,159,-83,+8.00
2014,156,0,34409,David Lingmerth,50.0,53,106,-57,-2.00
2014,157,0,23353,J.J. Henry,49.55,55,111,-57,+3.00
2014,158,0,30750,Tommy Gainey,49.52,52,105,-56,-2.00
2014,159,0,23541,Ben Crane,49.48,48,97,-51,-2.00
2014,160,0,37273,Derek Ernst,49.25,66,134,-69,+11.00
2014,161,0,31202,William McGirt,48.94,69,141,-72,-21.00
2014,162,0,30692,Scott Stallings,48.74,58,119,-64,-2.00
2014,163,0,22913,John Rollins,48.45,47,97,-48,-9.00
2014,164,0,29479,Scott Brown,47.77,75,157,-79,-13.00
2014,165,0,27466,Spencer Levin,47.76,32,67,-32,-15.00
2014,166,0,25240,D.A. Points,47.73,42,88,-43,+1.00
2014,167,0,27556,Ted Potter Jr.,46.51,40,86,-42,-9.00
2014,168,0,23621,Rory Sabbatini,46.4,58,125,-61,-4.00
2014,169,0,21209,Sergio Garcia,46.15,36,78,-38,+3.00
2014,170,0,34174,John Huh,45.87,50,109,-53,-11.00
2014,171,0,22046,Geoff Ogilvy,45.74,59,129,-65,-22.00
2014,172,0,35541,John Peterson,44.92,53,118,-54,+5.00
2014,173,0,31557,Jim Herman,43.33,39,90,-41,E
2014,174,0,28092,D.H. Lee,42.59,23,54,-24,-8.00
2014,175,0,1724,Jeff Maggert,42.11,24,57,-25,-6.00
2014,176,0,12510,Chad Campbell,41.27,26,63,-28,-7.00
2014,177,0,35139,Richard Lee,39.39,39,99,-42,-20.00
2022,1,0,35891,Cameron Smith,72.57,82,113,-88,-15.00
2022,2,0,40098,Matt Fitzpatrick,70.37,76,108,-80,-1.00
2022,3,0,34363,Tyrrell Hatton,69.51,57,82,-62,-6.00
2022,4,0,33204,Shane Lowry,67.86,57,84,-62,-9.00
2022,5,0,46046,Scottie Scheffler,66.47,115,173,-122,-8.00
2022,6,0,35450,Patrick Cantlay,66.44,97,146,-103,-10.00
2022,6,0,33399,Adam Hadwin,66.44,99,149,-103,-30.00
2022,8,0,45486,Joaquin Niemann,66.43,95,143,-102,-5.00
2022,9,0,29420,Billy Horschel,66.04,70,106,-77,-12.00
2022,10,0,48084,Wesley Bryan,65.79,50,76,-55,+3.00
2022,11,0,56278,Matthew Wolff,65.12,56,86,-59,+20.00
2022,12,0,46601,Trey Mullinax,65.03,119,183,-129,+10.00
2022,13,0,28089,Jason Day,64.91,74,114,-76,-2.00
2022,13,0,34174,John Huh,64.91,74,114,-78,E
2022,15,0,33448,Justin Thomas,64.6,104,161,-114,-13.00
2022,16,0,47504,Sam Burns,64.46,107,166,-113,-17.00
2022,16,0,31646,Emiliano Grillo,64.46,107,166,-114,-10.00
2022,18,0,46402,Talor Gooch,64.44,87,135,-97,-5.00
2022,19,0,28237,Rory McIlroy,64.34,92,143,-100,-2.00
2022,20,0,45522,Christiaan Bezuidenhout,64.29,54,84,-58,-10.00
2022,21,0,26851,Marc Leishman,64.24,97,151,-106,-14.00
2022,21,0,48081,Xander Schauffele,64.24,97,151,-102,-6.00
2022,23,0,46442,Maverick McNealy,64.17,120,187,-135,-3.00
2022,24,0,34610,Matthias Schwab,64.04,57,89,-61,-17.00
2022,25,0,57366,Cameron Young,63.95,110,172,-116,+5.00
2022,26,0,22056,Cameron Percy,63.93,39,61,-42,-10.00
2022,27,0,36801,Mark Hubbard,63.71,79,124,-88,-11.00
2022,28,0,39436,Joshua Creel,63.64,35,55,-35,+4.00
2022,28,0,32662,Michael Gligic,63.64,91,143,-100,-2.00
2022,28,0,46414,Aaron Rai,63.64,84,132,-88,-16.00
2022,31,0,36852,Jim Knous,63.51,47,74,-49,+4.00
2022,32,0,45157,Cam Davis,63.49,120,189,-133,-2.00
2022,33,0,27139,David Skinns,63.28,81,128,-86,+11.00
2022,33,0,31323,Gary Woodland,63.28,81,128,-88,+3.00
2022,35,0,39324,J.J. Spaun,63.19,91,144,-95,-12.00
2022,36,0,39977,Max Homa,63.07,111,176,-121,-16.00
2022,37,0,52372,Cameron Champ,63.04,87,138,-93,-4.00
2022,38,0,49771,J.T. Poston,62.79,108,172,-118,-3.00
2022,39,0,34046,Jordan Spieth,62.65,104,166,-113,-11.00
2022,40,0,34098,Russell Henley,62.5,80,128,-89,-11.00
2022,40,0,39971,Sungjae Im,62.5,120,192,-135,-13.00
2022,40,0,47983,Chad Ramey,62.5,55,88,-58,-8.00
2022,43,0,24980,Scott Gutschewski,62.32,43,69,-48,-10.00
2022,44,0,32791,K.H. Lee,62.2,130,209,-140,+9.00
2022,45,0,32139,Danny Willett,62.07,54,87,-55,-6.00
2022,46,0,27644,Brian Harman,62.02,80,129,-84,-11.00
2022,47,0,52374,Brandon Wu,61.95,70,113,-75,-7.00
