RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
51,0,49298,Kramer Hickok,54.31,63,116,+48.00
52,0,24924,Bill Haas,54.30,82,151,+44.00
53,0,36801,Mark Hubbard,53.77,57,106,+16.00
54,0,32791,K.H. Lee,53.42,86,161,+38.00
55,0,49771,J.T. Poston,53.28,73,137,+41.00
56,0,46601,Trey Mullinax,53.27,57,107,+34.00
57,0,30927,Brendon Todd,52.89,64,121,+43.00
58,0,29221,Webb Simpson,52.88,55,104,+25.00
59,0,28252,Seamus Power,52.85,65,123,+47.00
60,0,30978,Kiradech Aphibarnrat,52.75,48,91,+33.00
61,0,32448,James Hahn,52.73,58,110,+28.00
61,0,24502,Adam Scott,52.73,58,110,+31.00
63,0,27214,Kevin Streelman,52.70,78,148,+39.00
64,0,24925,Jonathan Byrd,52.44,43,82,+14.00
65,0,34264,Hudson Swafford,52.38,55,105,+46.00
66,0,25493,Nick Taylor,52.34,67,128,+41.00
67,0,35891,Cameron Smith,52.24,35,67,+20.00
68,0,29289,S.Y. Noh,52.13,49,94,+31.00
69,0,46550,Brandon Hagy,51.97,66,127,+40.00
69,0,35532,Tom Hoge,51.97,79,152,+47.00
71,0,32757,Patton Kizzire,51.85,70,135,+54.00
72,0,46340,Alex Smalley,51.75,59,114,+27.00
73,0,34563,Chesson Hadley,51.64,63,122,+40.00
74,0,30163,Henrik Norlander,51.61,48,93,+25.00
75,0,39977,Max Homa,51.59,65,126,+39.00
76,0,34046,Jordan Spieth,51.35,57,111,+13.00
77,0,26300,Matt Jones,51.30,59,115,+24.00
78,0,25198,Francesco Molinari,51.25,41,80,+29.00
79,0,51894,Vince Whaley,51.22,63,123,+39.00
80,0,35506,Mackenzie Hughes,51.13,68,133,+53.00
81,0,29725,Tony Finau,51.06,48,94,+15.00
82,0,20229,Stewart Cink,51.04,49,96,+33.00
83,0,36799,Stephan Jaeger,51.02,75,147,+51.00
84,0,45609,Tyler Duncan,50.98,52,102,+39.00
85,0,32139,Danny Willett,50.68,37,73,+27.00
86,0,46435,Austin Cook,50.50,51,101,+38.00
86,0,52375,Doug Ghim,50.50,51,101,+32.00
88,0,26851,Marc Leishman,50.43,58,115,+38.00
89,0,24980,Scott Gutschewski,50.00,41,82,+25.00
89,0,33597,Harry Higgs,50.00,72,144,+55.00
89,0,12716,Charley Hoffman,50.00,49,98,+43.00
89,0,36689,Brooks Koepka,50.00,41,82,+29.00
89,0,31420,Anirban Lahiri,50.00,48,96,+32.00
89,0,27936,Martin Laird,50.00,49,98,+29.00
89,0,34466,Peter Malnati,50.00,83,166,+56.00
89,0,25818,Scott Piercy,50.00,53,106,+32.00
89,0,49960,Sepp Straka,50.00,87,174,+61.00
89,0,10381,Curtis Thompson,50.00,54,108,+33.00
99,0,32640,Troy Merritt,49.69,79,159,+66.00
100,0,36326,David Lipsky,49.64,68,137,+46.00
101,0,26476,Chez Reavie,49.59,60,121,+42.00
102,0,47504,Sam Burns,49.57,57,115,+31.00
102,0,32102,Rickie Fowler,49.57,57,115,+48.00
104,0,46046,Scottie Scheffler,49.53,53,107,+26.00
105,0,29478,Kevin Kisner,49.51,51,103,+29.00
106,0,23320,Ryan Palmer,49.50,50,101,+35.00
107,0,29535,Brice Garnett,49.12,56,114,+34.00
108,0,29926,Danny Lee,49.07,53,108,+40.00
109,0,32662,Michael Gligic,49.06,52,106,+25.00
109,0,35461,Beau Hossler,49.06,78,159,+61.00
111,0,47483,Will Zalatoris,49.00,49,100,+35.00
112,0,23621,Rory Sabbatini,48.96,47,96,+36.00
113,0,52374,Brandon Wu,48.91,45,92,+29.00
114,0,55708,Hayden Buckley,48.76,59,121,+23.00
115,0,46442,Maverick McNealy,48.61,70,144,+48.00
116,0,51997,Andrew Novak,48.48,48,99,+27.00
116,0,46414,Aaron Rai,48.48,64,132,+52.00
118,0,34431,Robert Streb,48.44,62,128,+46.00
119,0,27139,David Skinns,48.39,45,93,+29.00
120,0,31323,Gary Woodland,48.35,44,91,+31.00
121,0,57366,Cameron Young,48.23,68,141,+55.00
122,0,37455,Si Woo Kim,48.21,81,168,+53.00
122,0,27064,Jhonattan Vegas,48.21,54,112,+22.00
124,0,49947,Taylor Moore,48.20,67,139,+38.00
125,0,45526,Abraham Ancer,47.96,47,98,+30.00
126,0,47995,Davis Riley,47.83,77,161,+45.00
127,0,40115,Adam Svensson,47.71,73,153,+52.00
128,0,33141,Keegan Bradley,47.66,61,128,+49.00
128,0,36699,Patrick Rodgers,47.66,61,128,+36.00
130,0,27129,Luke List,47.62,60,126,+38.00
131,0,35310,Lanto Griffin,47.59,69,145,+63.00
132,0,32816,Satoshi Kodaira,47.50,38,80,+30.00
133,0,53165,Doc Redman,47.32,53,112,+31.00
134,0,51890,Greyson Sigg,47.29,61,129,+37.00
135,0,50525,Collin Morikawa,47.19,42,89,+35.00
136,0,47529,Mito Pereira,47.10,65,138,+46.00
137,0,28089,Jason Day,47.06,48,102,+28.00
138,0,27649,Brandt Snedeker,47.00,47,100,+35.00
139,0,48699,Callum Tarren,46.60,48,103,+36.00
139,0,27095,Nick Watney,46.60,48,103,+47.00
141,0,39953,Chase Seiffert,46.58,34,73,+36.00
142,0,34076,Joel Dahmen,46.48,66,142,+57.00
143,0,22405,Justin Rose,46.25,37,80,+24.00
144,0,29970,Dylan Frittelli,46.21,67,145,+45.00
145,0,35879,Kelly Kraft,45.97,57,124,+46.00
146,0,35110,Brett Drewitt,45.71,32,70,+27.00
146,0,48887,Matt Wallace,45.71,32,70,+20.00
148,0,39997,Corey Conners,45.61,52,114,+32.00
149,0,36852,Jim Knous,45.57,36,79,+28.00
150,0,46717,Viktor Hovland,45.45,50,110,+43.00
151,0,29518,Brendan Steele,45.22,52,115,+30.00
152,0,51634,Sahith Theegala,45.20,80,177,+54.00
