RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
91,0,24925,Jonathan Byrd,70.76,917,1296,-264.00
92,0,29910,Blake Adams,70.74,1337,1890,-337.00
93,0,20127,Chris Riley,70.67,865,1224,-169.00
94,0,10733,Kent Jones,70.65,852,1206,-180.00
94,0,26668,Marc Turnesa,70.65,585,828,-117.00
96,0,27120,Troy Matteson,70.64,1030,1458,-261.00
97,0,20766,Padraig Harrington,70.49,571,810,-143.00
97,0,20436,Garrett Willis,70.49,812,1152,-198.00
99,0,27974,Sung Kang,70.48,647,918,-157.00
100,0,34255,Joseph Bramlett,70.40,773,1098,-161.00
101,0,12782,Tim Herron,70.35,975,1386,-225.00
102,0,32150,Michael Thompson,70.29,873,1242,-213.00
103,0,24604,Hunter Haas,70.26,1075,1530,-283.00
104,0,06251,Chris DiMarco,70.19,1036,1476,-237.00
105,0,08375,Paul Stankowski,70.17,821,1170,-194.00
106,0,24361,Pat Perez,70.16,884,1260,-230.00
107,0,25572,Graeme McDowell,70.12,467,666,-134.00
108,0,30946,Alex Prugh,70.11,896,1278,-197.00
109,0,10505,Shane Bertsch,70.09,656,936,-173.00
109,0,23320,Ryan Palmer,70.09,757,1080,-180.00
111,0,23673,Michael Connell,69.98,907,1296,-183.00
112,0,23800,Bryce Molder,69.95,894,1278,-245.00
113,0,22621,Ben Curtis,69.89,780,1116,-169.00
114,0,10860,Justin Leonard,69.82,930,1332,-179.00
115,0,26596,Ryan Moore,69.81,754,1080,-218.00
116,0,26851,Marc Leishman,69.79,1005,1440,-251.00
117,0,28089,Jason Day,69.77,741,1062,-219.00
118,0,01313,Steve Elkington,69.71,527,756,-118.00
119,0,32102,Rickie Fowler,69.70,828,1188,-262.00
120,0,21731,Freddie Jacobson,69.68,878,1260,-232.00
121,0,26287,Roland Thatcher,69.67,765,1098,-163.00
122,0,28679,Fabián Gómez,69.62,864,1241,-209.00
123,0,27770,Camilo Villegas,69.59,714,1026,-182.00
124,0,32366,Kevin Chappell,69.49,763,1098,-170.00
125,0,19846,Brian Gay,69.44,925,1332,-240.00
125,0,06643,Paul Goydos,69.44,925,1332,-194.00
125,0,25444,Justin Hicks,69.44,550,792,-82.00
